Date,Nakuru,Kampala
2016-01-01,6.269643121194631,5.969865126935269
2016-01-15,6.271738240300797,5.8855170059367845
2016-02-01,6.1775682141919575,5.958950814007155
2016-02-15,6.065022496009283,5.955617794596877
2016-03-01,6.163987426248881,5.9640798968472035
2016-03-15,6.2555229799993395,5.916258313000828
2016-04-01,6.164652539769697,5.984397783085841
2016-04-15,6.266657541376189,6.0087147913069865
2016-05-01,6.269322468996456,5.992603814703873
2016-05-15,6.260913208783499,5.928847986257203
2016-06-01,6.255232722228788,6.000340059619703
2016-06-15,6.338471865456233,5.998142305638953
2016-07-01,6.33448335957486,5.986408941062014
2016-07-15,6.408322700959061,6.059513895246804
2016-08-01,6.411774645994671,6.206733056318419
2016-08-15,6.346797217954415,6.178142286718774
2016-09-01,6.409113110531074,5.931330274039128
2016-09-15,6.406004268809988,5.971917235529052
2016-10-01,6.402905062039947,6.038237994467524
2016-10-15,6.39935031465575,6.135130873309249
2016-11-01,6.225965838630675,6.18503626172917
2016-11-15,6.220344771712386,6.245436340302469
2016-12-01,6.45054822271013,6.303407971945689
2016-12-15,6.4495104143997155,6.426360802458954
2017-01-01,6.439159412503881,6.424294917311788
2017-01-15,6.491377814802274,6.46784330130732
2017-02-01,6.48015945940407,6.438182518753147
2017-02-15,6.475256959020295,6.456406483124705
2017-03-01,6.492448857128271,6.433756537325549
2017-03-15,6.527492390219751,6.444134157483775
2017-04-01,6.513609846560578,6.411815898740327
2017-04-15,6.733790312209459,6.6167693122360465
2017-05-01,6.827280321601237,6.609154152421307
2017-05-15,6.832367126674707,6.651157472929973
2017-06-01,6.51886252955458,6.598349920832463
2017-06-15,6.523060158669789,6.528490626350559
2017-07-01,6.523459192397635,6.122483898456167
2017-07-15,6.51976849303224,6.177429919199405
2017-08-01,6.449373265838694,6.219172051891497
2017-08-15,6.588682253264534,6.221904564035328
2017-09-01,6.647203635419596,6.21706955057843
2017-09-15,6.649234530454639,6.260786644586643
2017-10-01,6.530095537388278,6.25757878317172
2017-10-15,6.533480223211691,6.0959569293486515
2017-11-01,6.651323114272416,6.490122621510149
2017-11-15,6.6509140830322275,6.202083936018567
2017-12-01,6.616683259191621,6.199259239942363
2017-12-15,6.636010161368536,6.20072944042185
2018-01-01,6.5428810290214185,6.085991273891787
2018-01-15,6.6260861632375025,6.093007630923488
2018-02-01,6.571196457534675,6.091974649613189
2018-02-15,6.5048931310893465,6.110455785799122
2018-03-01,6.47051388598808,6.083188164709767
2018-03-15,6.49820502613868,6.079821860869233
2018-04-01,6.427546572685042,6.123893015909692
2018-04-15,6.430702443773156,6.119565155834772
2018-05-01,6.457837637091864,6.085738614760137
2018-05-15,6.493245287333208,6.056185647326365
2018-06-01,6.491488023834004,5.909885772883303
2018-06-15,6.465465369464242,5.899323049235942
2018-07-01,6.43717092672199,5.840267704300021
2018-07-15,6.436294272020863,5.649097005083259
2018-08-01,6.432990418353861,5.467431007872181
2018-08-15,6.429675613045191,5.628345580121404
2018-09-01,6.417267898358417,5.526399935507779
2018-09-15,6.41855687214752,5.689119464595366
2018-10-01,6.4225499004819016,5.69957371962666
2018-10-15,6.42881924802643,5.700318809555521
2018-11-01,6.424351125843935,5.778881477414169
2018-11-15,6.411615967657628,5.824251725093439
2018-12-01,6.4090365056953,5.860350561713563
2018-12-15,6.431649536576872,5.798257397085895
2019-01-01,,5.789347754890795
2019-01-15,6.475397051066472,5.865071969663276
2019-02-01,6.418251928983971,5.870525719778315
2019-02-15,6.41322660876446,5.948900478153654
2019-03-01,6.407591212060947,5.856292101256782
2019-03-15,6.395011114949591,5.783783672336026
2019-04-01,6.3234286247653015,5.841175693608735
2019-04-15,6.313983213879818,5.9040897218658595
2019-05-01,6.387003774771569,6.012072877856533
2019-05-15,6.383004351875905,6.016729375660117
2019-06-01,6.381673373869312,6.017236747212243
2019-06-15,6.366455302461724,6.031614643169441
2019-07-01,6.351002057865671,6.138397671441232
2019-07-15,6.252205775936364,6.033906762562189
2019-08-01,6.282418809701479,5.917209673028302
2019-08-15,6.319020384118148,5.706072661330043
2019-09-01,6.2794359986692605,5.706978502181697
2019-09-15,6.296659512544104,5.780334941770064
2019-10-01,6.274654045926108,5.706477203017882
2019-10-15,6.273126652807842,5.699239051090859
2019-11-01,6.12692720928323,6.04807999073588
2019-11-15,6.130131227149029,5.905718291584433
2019-12-01,6.128281615454731,5.9037179594778175
2019-12-15,6.1304956853001045,5.842217143333874
2020-01-01,6.126025836353637,5.9312467090679695
2020-01-15,6.127925118388319,5.840858504086831
2020-02-01,6.1264923411749175,5.614840536866957
2020-02-15,6.121759889965547,5.617571013347163
