Date,Masindi,Gulu
2016-01-01,6.695282992076009,
2016-01-15,6.720822459543145,
2016-02-01,6.730876771790358,
2016-02-15,,
2016-03-01,6.750687117923312,
2016-03-15,6.752140206445604,
2016-04-01,6.746014980333689,
2016-04-15,6.770894058271242,
2016-05-01,6.771018518893061,
2016-05-15,6.759652894450565,
2016-06-01,6.7626378901459425,
2016-06-15,6.761624268926409,
2016-07-01,6.747550490779322,
2016-07-15,6.681068506484302,
2016-08-01,6.676617289707049,
2016-08-15,6.675174588352429,
2016-09-01,6.668386947214642,
2016-09-15,6.663273905315209,
2016-10-01,6.65517982382773,
2016-10-15,6.636454757742766,
2016-11-01,6.615628319914756,
2016-11-15,6.581908576923682,
2016-12-01,6.57462355454389,
2016-12-15,6.5836271608819565,
2017-01-01,6.576430002121544,
2017-01-15,6.576469175913188,
2017-02-01,6.576508348170308,
2017-02-15,6.57193873301775,6.231664210446798
2017-03-01,6.7597819649749775,6.636497933128246
2017-03-15,6.780810600762836,6.697273620986578
2017-04-01,6.794305764650775,6.7202750991338664
2017-04-15,6.882671939423787,6.80594940195349
2017-05-01,6.875027678466785,6.849349330140923
2017-05-15,6.882480322191302,6.856444448949938
2017-06-01,6.892433478336285,6.811288674668854
2017-06-15,6.895987797507099,6.7891845540846925
2017-07-01,6.869776385633712,6.829139819380088
2017-07-15,6.843314536597355,6.788232086813484
2017-08-01,6.813956437599327,6.783833678144218
2017-08-15,6.809592370749438,6.781011834288804
2017-09-01,6.80253046041779,6.6846235627435355
2017-09-15,6.7968025171811925,6.685342731159636
2017-10-01,6.74085635860623,6.6796569722221655
2017-10-15,6.7292307088611825,6.757549329050427
2017-11-01,6.733214621992752,6.76041295125006
2017-11-15,6.734878691666694,6.606949343958833
2017-12-01,6.729146632633346,6.199259239942363
2017-12-15,6.539895886126755,6.202526386098552
2018-01-01,6.532359181336218,6.413767803545446
2018-01-15,6.6040338363770426,6.460655253531695
2018-02-01,6.603402501641885,6.460625784598636
2018-02-15,6.60222186894349,6.456851928031553
2018-03-01,6.688957332162318,6.45168807858446
2018-03-15,6.743758663329377,6.590647484635223
2018-04-01,6.816074479349679,6.733532677304411
2018-04-15,6.838489419940326,6.731137184980545
2018-05-01,6.83232249954551,6.722959450631854
2018-05-15,6.830324752527179,6.7222195924777495
2018-06-01,6.811044716095681,6.7011563789895945
2018-06-15,6.765332120597391,6.459625414609938
2018-07-01,6.7059345306596025,6.486531298961116
2018-07-15,6.490240999896085,6.490902156944962
2018-08-01,6.492592570548907,6.562373567651328
2018-08-15,6.476530358526835,6.545877777083623
2018-09-01,6.498630683264274,6.529873262589601
2018-09-15,6.525950409243852,6.4439344973136325
2018-10-01,6.532734130413318,6.349909934754797
2018-10-15,6.534734713288011,6.35216218397423
2018-11-01,6.695172209288324,6.135021518959832
2018-11-15,6.705670331253574,6.145259736017071
2018-12-01,6.485166027835435,6.287794576540503
2018-12-15,6.49140457764584,6.249048775909825
2019-01-01,6.650159334444721,6.313375585282755
2019-01-15,6.57160134506392,6.373813365371398
2019-02-01,6.658761865674257,6.421413925696376
2019-02-15,6.716115546690544,6.456353417441004
2019-03-01,6.7055186025503914,6.444624617700839
2019-03-15,6.728099071658377,6.475614197011224
2019-04-01,6.770255581599211,6.518102930301916
2019-04-15,6.766519449926777,6.681731580768336
2019-05-01,6.776911986872595,6.418230746643598
2019-05-15,6.784649790622513,6.5275549994261075
2019-06-01,6.789948738184538,6.492660443927318
2019-06-15,6.782374576513997,6.523096404100963
2019-07-01,6.755344281790383,
2019-07-15,,
2019-08-01,6.698987818413443,6.609212033772314
2019-08-15,6.69514251502043,6.608178758212241
2019-09-01,6.698618671297639,6.608290855962463
2019-09-15,6.697666798152629,6.6084772868675135
2019-10-01,6.6941109837239425,6.604678125599532
2019-10-15,6.69040205049575,6.4310650862159155
2019-11-01,6.686167394112799,6.426054262706004
2019-11-15,6.686257294259389,6.464681550948579
2019-12-01,6.6853024405543255,6.538093822622349
2019-12-15,6.690208244650055,6.690208244650055
2020-01-01,6.685214353074378,6.685214353074378
2020-01-15,6.686768439199186,6.686768439199186
2020-02-01,6.685716070563467,6.626717729801511
2020-02-15,6.68645276785693,6.533861745221318
