Date,Kamembe,Ngozi
2016-01-01,,6.408598092521518
2016-01-15,,6.460386571184393
2016-02-01,,6.406835352772732
2016-02-15,,6.391840125994663
2016-03-01,,6.296030483522933
2016-03-15,,6.273848186888247
2016-04-01,,6.294783285108781
2016-04-15,,6.392427514520984
2016-05-01,,6.388299461503785
2016-05-15,,6.269464588382725
2016-06-01,,6.372081429814081
2016-06-15,,6.3003969465061225
2016-07-01,,6.120506342938995
2016-07-15,,6.295020733579091
2016-08-01,,6.519673742875945
2016-08-15,,6.4416763881801264
2016-09-01,,6.519407263256823
2016-09-15,,6.5203903538998285
2016-10-01,,6.682205652188828
2016-10-15,,6.670113371590146
2016-11-01,,6.65424869187546
2016-11-15,,6.6416697947296495
2016-12-01,,6.553897505127037
2016-12-15,,6.54101188514996
2017-01-01,,6.449479519531361
2017-01-15,,6.414818536217622
2017-02-01,,6.378461541908261
2017-02-15,,6.37080326022368
2017-03-01,,6.368019960333542
2017-03-15,6.253961657448276,6.5124627296421265
2017-04-01,6.256260569164049,6.445954217953043
2017-04-15,6.028757744299471,6.516549320956398
2017-05-01,6.035900224312573,6.506867652509703
2017-05-15,6.042149124237378,6.591508875447241
2017-06-01,5.912548332844893,6.446628082758299
2017-06-15,5.910030184163604,6.5192746885441135
2017-07-01,5.8567096340591664,6.447677623603061
2017-07-15,5.8265208821570385,6.363567750828419
2017-08-01,5.850416372191885,6.433842118035297
2017-08-15,6.213751966719874,6.4275111757103085
2017-09-01,6.343557628562012,6.4123364946585975
2017-09-15,6.421793008564208,6.475870163674145
2017-10-01,6.332892258504377,6.538860792629208
2017-10-15,6.342027918242158,6.538421125648342
2017-11-01,6.02894453188407,6.5368254892133475
2017-11-15,6.036645123684083,6.4744889398395555
2017-12-01,6.157803968623679,6.324049000489821
2017-12-15,6.101489798198932,6.243342928811339
2018-01-01,6.040736731833174,6.24830284061415
2018-01-15,6.15669204232568,6.254981189231674
2018-02-01,6.15137491065437,6.341947216020505
2018-02-15,6.07547460999588,6.2575397613385135
2018-03-01,6.0187983293283125,6.209293439928298
2018-03-15,6.030237548928692,6.256656369479209
2018-04-01,5.958000440859244,6.2519820663493
2018-04-15,5.9913282258916665,6.248467125921177
2018-05-01,5.8557816710677155,6.328791157959663
2018-05-15,5.991665752061717,6.336530152203006
2018-06-01,5.985784853385141,6.257008302039652
2018-06-15,5.8673270045932275,6.166247054816765
2018-07-01,5.80584398493009,6.171137041944937
2018-07-15,5.741656787688915,6.1250332800597125
2018-08-01,5.6895133643591445,6.123522895804605
2018-08-15,6.040922264041188,6.1882842611437505
2018-09-01,6.01458158982066,6.2924006772408445
2018-09-15,5.994320906492115,6.295316360728404
2018-10-01,5.715462431994093,6.387876194715173
2018-10-15,5.818640016130446,6.378183745218629
2018-11-01,6.316533601860256,6.287855932293237
2018-11-15,6.31920672423058,6.376599142127626
2018-12-01,6.32505006800594,6.376599142127626
2018-12-15,6.3234764769334815,6.325567986637661
2019-01-01,6.331334430262817,6.273903548211585
2019-01-15,6.167258379912178,6.2773116492901835
2019-02-01,6.071033814026753,6.2855694964183035
2019-02-15,5.98847421475149,6.277072728548387
2019-03-01,5.9215112981320805,6.347985114597247
2019-03-15,5.827942054429041,6.296328635334328
2019-04-01,5.955982246065133,6.367343755987394
2019-04-15,6.209730028395985,6.363649852873486
2019-05-01,6.158312673835638,6.3643035657296
2019-05-15,5.983882922825795,6.247958681786288
2019-06-01,5.98320838135396,6.304647976523542
2019-06-15,5.853894515423259,6.159546039756805
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
