Date,Lira,Gulu
2016-01-01,6.436148975078473,
2016-01-15,6.457163050239392,
2016-02-01,6.477744607422322,
2016-02-15,6.473162368611613,
2016-03-01,6.523607660487864,
2016-03-15,6.533219508232758,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.570768831484161,
2016-06-01,6.447526166306873,
2016-06-15,6.497048837167734,
2016-07-01,6.44208891795444,
2016-07-15,6.39527238426644,
2016-08-01,6.434640790059747,
2016-08-15,6.518242265563295,
2016-09-01,6.428850818889928,
2016-09-15,6.510267532685133,
2016-10-01,6.391014297990599,
2016-10-15,6.298152694444477,
2016-11-01,6.223871551232857,
2016-11-15,6.196020980739118,
2016-12-01,6.238534386305067,
2016-12-15,6.340190510855426,
2017-01-01,6.381477238375431,
2017-01-15,6.42374508302159,
2017-02-01,6.4636091347458136,
2017-02-15,6.4792184918078,6.63742557096418
2017-03-01,6.464056484933999,6.625600136841905
2017-03-15,6.5211481450910345,
2017-04-01,6.519273661151749,
2017-04-15,6.568966093550701,
2017-05-01,6.645468105605275,
2017-05-15,6.4782764651819384,
2017-06-01,6.249941284569154,
2017-06-15,6.228681848131042,
2017-07-01,6.2659803117222515,
2017-07-15,6.292194163201874,
2017-08-01,6.271137464597169,
2017-08-15,6.317699905974179,
2017-09-01,6.357140898896652,
2017-09-15,6.394318037211166,
2017-10-01,6.328273782729202,
2017-10-15,6.210841089075997,
2017-11-01,6.199958318290453,
2017-11-15,6.123052407578428,
2017-12-01,6.147113632420211,
2017-12-15,6.203423649505542,
2018-01-01,6.286661969353938,
2018-01-15,6.293222309231491,6.338173697093758
2018-02-01,5.9749443426336715,6.338144228160699
2018-02-15,5.972560340355643,6.334189133650629
2018-03-01,6.083188164709767,6.328661192422065
2018-03-15,6.0788112493633095,6.3241534924474
2018-04-01,6.040385496744466,6.397480079799721
2018-04-15,5.9491645246753775,6.395084587475855
2018-05-01,5.939870241677762,6.463545973425051
2018-05-15,5.873864090532411,6.463021557568308
2018-06-01,5.714366664007403,6.0904178869092735
2018-06-15,5.697583406584886,5.90172401077348
2018-07-01,5.758102304256531,6.127949776751802
2018-07-15,5.649097005083259,6.151915194625549
2018-08-01,5.800758587813922,6.156908459543163
2018-08-15,5.784712081816943,6.187961368056826
2018-09-01,5.841110680347479,6.264743092411093
2018-09-15,5.834065058504329,6.265258625769529
2018-10-01,5.839586949853373,6.265773893490261
2018-10-15,5.703204814444655,6.1314629320813765
2018-11-01,5.6229466757934095,6.135021518959832
2018-11-15,5.634743279049029,6.145259736017071
2018-12-01,5.71724971807289,6.148032634165344
2018-12-15,5.721926078892491,6.154407268815136
2019-01-01,5.922879147515317,6.152356520387329
2019-01-15,5.9865902808093505,6.150301557746637
2019-02-01,5.902844511033482,6.2984456606870545
2019-02-15,6.155978518190804,6.297009093784002
2019-03-01,6.039841405289059,6.32752347774084
2019-03-15,6.14072173954953,6.281364069351996
2019-04-01,6.228322221193214,6.292598102802026
2019-04-15,6.308781135544713,6.387632373995921
2019-05-01,6.341989667879001,6.458941931700612
2019-05-15,6.304411448111898,6.458118373771679
2019-06-01,6.262089117465058,6.526819362738636
2019-06-15,6.2361818089107155,6.488158192463406
2019-07-01,6.303076376165733,
2019-07-15,6.3657752624009465,
2019-08-01,6.281407734633152,6.3623061357761745
2019-08-15,6.032433588346935,6.254763800860716
2019-09-01,6.322884097347818,6.299894579123119
2019-09-15,6.320415923684844,6.320415923684844
2019-10-01,6.134103882928899,6.317186185290163
2019-10-15,6.262470026735534,6.310992846965398
2019-11-01,6.266450263297433,6.3086110741217105
2019-11-15,6.267630637908428,6.3081346168432395
2019-12-01,6.221756494410192,6.265630305801811
2019-12-15,6.0267611477543905,6.270083188131205
2020-01-01,6.020383092631721,6.265814485503979
2020-01-15,6.022370671925227,6.267141017278518
2020-02-01,6.34820162436381,6.386860697513561
2020-02-15,6.350812651108987,6.389361321226222
