Date,Masindi,Kampala
2016-01-01,,5.969865126935269
2016-01-15,,5.8855170059367845
2016-02-01,,5.958950814007155
2016-02-15,,5.955617794596877
2016-03-01,,5.9640798968472035
2016-03-15,6.177429259904277,5.916258313000828
2016-04-01,6.1779149786102305,5.984397783085841
2016-04-15,6.203216766657812,6.0087147913069865
2016-05-01,6.179494764568006,5.992603814703873
2016-05-15,6.130905644493703,5.928847986257203
2016-06-01,6.194913668721518,6.000340059619703
2016-06-15,6.193412836773711,5.998142305638953
2016-07-01,6.179648720459842,5.986408941062014
2016-07-15,6.182094873305326,6.059513895246804
2016-08-01,6.177661241496442,6.206733056318419
2016-08-15,6.178142286718774,6.178142286718774
2016-09-01,6.226156343329002,5.931330274039128
2016-09-15,6.221308394987518,5.971917235529052
2016-10-01,6.213213755990568,6.038237994467524
2016-10-15,6.194689712562842,6.135130873309249
2016-11-01,6.173519819667611,6.18503626172917
2016-11-15,6.140075824644642,6.245436340302469
2016-12-01,6.133074570711704,6.303407971945689
2016-12-15,6.142251262294685,6.426360802458954
2017-01-01,6.134632646193144,6.424294917311788
2017-01-15,6.264355423921132,6.46784330130732
2017-02-01,6.379166142370841,6.438182518753147
2017-02-15,6.372391869941915,6.456406483124705
2017-03-01,6.393507427294286,6.433756537325549
2017-03-15,6.449836239932684,6.444134157483775
2017-04-01,6.442286155887745,6.411815898740327
2017-04-15,6.438389706434408,6.6167693122360465
2017-05-01,6.612455971419808,6.609154152421307
2017-05-15,6.62002426828871,6.651157472929973
2017-06-01,6.365989714413329,6.598349920832463
2017-06-15,6.4527123174634795,6.528490626350559
2017-07-01,6.6327158742379675,6.122483898456167
2017-07-15,6.6342506833302615,6.177429919199405
2017-08-01,6.62896068518407,6.219172051891497
2017-08-15,6.627369672143493,6.221904564035328
2017-09-01,6.620159360657688,6.21706955057843
2017-09-15,6.618651356660965,6.260786644586643
2017-10-01,6.58143835029827,6.25757878317172
2017-10-15,6.570147672170397,6.0959569293486515
2017-11-01,6.574369305791731,6.490122621510149
2017-11-15,6.574019539333248,6.202083936018567
2017-12-01,6.569954148308811,6.199259239942363
2017-12-15,6.202077452308745,6.20072944042185
2018-01-01,6.193168320476011,6.085991273891787
2018-01-15,6.293222309231491,6.093007630923488
2018-02-01,6.293192840298432,6.091974649613189
2018-02-15,6.290808838020404,6.110455785799122
2018-03-01,6.327872237746034,6.083188164709767
2018-03-15,6.323362040091088,6.079821860869233
2018-04-01,6.357025125107407,6.123893015909692
2018-04-15,6.354629632783541,6.119565155834772
2018-05-01,6.500475312463859,6.085738614760137
2018-05-15,6.49934027686332,6.056185647326365
2018-06-01,6.36684280483642,5.909885772883303
2018-06-15,6.347147431183248,5.899323049235942
2018-07-01,6.340348788783034,5.840267704300021
2018-07-15,5.866086690823091,5.649097005083259
2018-08-01,6.050321702162092,5.467431007872181
2018-08-15,6.0338106882295675,5.628345580121404
2018-09-01,6.264743092411093,5.526399935507779
2018-09-15,6.259917808488924,5.689119464595366
2018-10-01,6.266593901736292,5.69957371962666
2018-10-15,6.2689769936693915,5.700318809555521
2018-11-01,6.27462060814678,5.778881477414169
2018-11-15,6.1471133046663935,5.824251725093439
2018-12-01,6.096739339777794,5.860350561713563
2018-12-15,6.049863413063866,5.798257397085895
2019-01-01,6.094729404441977,5.789347754890795
2019-01-15,6.099299003294265,5.865071969663276
2019-02-01,6.107682547035447,5.870525719778315
2019-02-15,6.105453272996156,5.948900478153654
2019-03-01,6.285230565550589,5.856292101256782
2019-03-15,6.280563749181227,5.783783672336026
2019-04-01,6.292598102802026,5.841175693608735
2019-04-15,6.308006842048808,5.9040897218658595
2019-05-01,6.339744998025177,6.012072877856533
2019-05-15,6.345481858979227,6.016729375660117
2019-06-01,6.344497805944682,6.017236747212243
2019-06-15,6.359873281253265,6.031614643169441
2019-07-01,6.360684890580913,6.138397671441232
2019-07-15,,6.033906762562189
2019-08-01,6.3623061357761745,5.917209673028302
2019-08-15,6.032433588346935,5.706072661330043
2019-09-01,6.033179779515269,5.706978502181697
2019-09-15,6.0322279063702595,5.780334941770064
2019-10-01,6.029250595280933,5.706477203017882
2019-10-15,5.843278421313797,5.699239051090859
2019-11-01,6.021947850459032,6.04807999073588
2019-11-15,6.021978097700296,5.905718291584433
2019-12-01,6.019977765593679,5.9037179594778175
2019-12-15,6.025751556553039,5.842217143333874
2020-01-01,6.020383092631721,5.9312467090679695
2020-01-15,6.022370671925227,5.840858504086831
2020-02-01,5.903282199176756,5.614840536866957
2020-02-15,5.902977771961809,5.617571013347163
