Date,Eldoret,Tororo
2016-01-01,6.57967627648322,5.698550031947693
2016-01-15,6.606251612436677,5.742498963288706
2016-02-01,6.627769216141513,5.784597426862376
2016-02-15,6.639896049740655,5.780015188051667
2016-03-01,6.604735697345827,5.830460479927918
2016-03-15,6.588176659080447,5.823459135165726
2016-04-01,6.598493025723695,
2016-04-15,6.629327139644766,
2016-05-01,6.640637917252501,
2016-05-15,6.611207896231595,5.7949530233687225
2016-06-01,6.602477055831913,5.847175087117204
2016-06-15,6.587438064189276,5.844781203428712
2016-07-01,6.567683874723921,5.831958815207664
2016-07-15,6.540699581236758,5.916583787478151
2016-08-01,6.552923820509729,6.052661965810316
2016-08-15,6.4846051673461975,6.048795584257324
2016-09-01,6.538904747154852,6.044948372396227
2016-09-15,6.556758243459415,6.038243067240719
2016-10-01,6.478106288921558,6.03042545473073
2016-10-15,6.4731300771899845,6.012178564337852
2016-11-01,6.522906191055747,6.052049976776908
2016-11-15,6.4896777054959705,6.267075515405949
2016-12-01,6.589371344800405,6.287367104571401
2016-12-15,6.582190495280729,6.338979123669129
2017-01-01,6.639273233002824,6.422438596006496
2017-01-15,6.620322433055505,6.46359099156879
2017-02-01,6.547837167779981,6.463255465422941
2017-02-15,6.646108286145729,6.456761407706958
2017-03-01,6.605966239482725,6.453111980278505
2017-03-15,6.645415885178283,6.449836239932684
2017-04-01,6.610420574923716,6.442643362535587
2017-04-15,6.6266789277301195,6.469031300719109
2017-05-01,6.608447741182437,6.507661339637742
2017-05-15,6.736087842754295,6.477932645340147
2017-06-01,6.694282014881355,6.4453199176035705
2017-06-15,6.7928738818393954,6.278443357690105
2017-07-01,6.819561363845803,5.800934381322347
2017-07-15,6.792978532875486,5.873083414577452
2017-08-01,6.739613538713513,6.11402732714971
2017-08-15,6.843500006673973,6.116939383429103
2017-09-01,6.7542819532767755,6.055178433176196
2017-09-15,6.75718761928304,6.051051941168544
2017-10-01,6.807360014223469,6.018118854425363
2017-10-15,6.794399453812331,6.010220017711317
2017-11-01,6.756570373233819,5.913630953654796
2017-11-15,6.808931369900132,5.916797074292741
2017-12-01,6.821585645708063,5.9109774673226845
2017-12-15,6.837558570700701,6.039056534663201
2018-01-01,6.82870263582028,6.027762768991995
2018-01-15,6.829327422039969,6.036262135538013
2018-02-01,6.846322311211043,6.091974649613189
2018-02-15,6.756627815732815,6.113401296028878
2018-03-01,6.776816079065852,6.123687526544533
2018-03-15,6.700979728518431,6.0788112493633095
2018-04-01,6.725026946562089,5.983165356414574
2018-04-15,6.69662633569622,6.009249335412577
2018-05-01,6.711927769087209,6.002530556671921
2018-05-15,6.713399299799052,6.002289879121233
2018-06-01,6.753178141793563,5.745752977828073
2018-06-15,6.7213571194261155,5.697583406584886
2018-07-01,6.694393791689062,5.683569252393964
2018-07-15,6.694910425407786,5.456911003318391
2018-08-01,6.7015664708547265,5.359217423231947
2018-08-15,6.66750099676304,5.342731760733681
2018-09-01,6.649763555242907,5.330285056581489
2018-09-15,6.607473947792195,5.427338120575742
2018-10-01,6.612580561987755,5.432864770555157
2018-10-15,6.650086877579204,5.485091816319161
2018-11-01,6.5821482927748045,5.538205447338319
2018-11-15,6.511731775587845,5.634743279049029
2018-12-01,6.472810987575024,5.6372070103993535
2018-12-15,6.4608267676858295,5.642355403325902
2019-01-01,6.539428604387573,5.715239782737073
2019-01-15,6.458867749115261,5.7182428600650255
2019-02-01,6.579972667671775,5.647990256047452
2019-02-15,6.573986697979392,5.800345783830516
2019-03-01,6.566928380953233,5.713946972747484
2019-03-15,6.571977906605886,5.7100804765488915
2019-04-01,6.618228164985947,5.739658169230076
2019-04-15,6.699128319497024,5.770226819210122
2019-05-01,6.695427331530166,5.895328803332569
2019-05-15,6.710868213960518,5.895835917589341
2019-06-01,6.763999181582257,5.83863497152082
2019-06-15,6.765686741736599,5.825704158979006
2019-07-01,6.60826638295296,
2019-07-15,6.421349240349763,
2019-08-01,6.533570543765805,
2019-08-15,6.5328114512211375,
2019-09-01,6.47221103584949,
2019-09-15,6.472364503845929,
2019-10-01,6.468896434800287,
2019-10-15,6.468317150099675,
2019-11-01,6.474935262366607,
2019-11-15,6.478536779605255,
2019-12-01,6.477377575746555,
2019-12-15,6.479293273496002,
2020-01-01,6.4781056980953995,
2020-01-15,6.476916710682427,
2020-02-01,6.474994443357775,
2020-02-15,6.471242363322776,
