Date,Kampala,Nairobi
2016-01-01,5.470728347419592,6.253532300921933
2016-01-15,5.458969852156508,6.253304538611959
2016-02-01,5.460547710239721,6.260044436016196
2016-02-15,5.456993749154578,6.246970290885226
2016-03-01,5.428510313927199,6.237589453539799
2016-03-15,5.430104293642521,6.23413676277972
2016-04-01,5.461639567537767,6.09877443370307
2016-04-15,5.566097417567529,6.131316193506427
2016-05-01,5.567228546636379,6.134762798646367
2016-05-15,5.595170821967687,6.127446251224562
2016-06-01,5.611889148977269,6.120152942198136
2016-06-15,5.612619207362562,6.113878588300459
2016-07-01,5.911840245564505,6.109681433087875
2016-07-15,5.6792556011719855,6.107217608175139
2016-08-01,5.54276441635688,6.107350392399816
2016-08-15,5.534623610463989,6.28882214420791
2016-09-01,5.533937237081611,6.295723167605135
2016-09-15,5.58418308839212,6.292614325884049
2016-10-01,5.633328596293082,6.289515119114008
2016-10-15,5.653388594799817,6.266912176759117
2016-11-01,5.7656386678618405,6.26162023913377
2016-11-15,5.733866391976621,6.273454597026335
2016-12-01,5.728602018516291,6.2679388547183335
2016-12-15,5.735801902138559,6.261223410655661
2017-01-01,5.731147736751843,6.251057492794427
2017-01-15,5.7298585308937655,6.230233145309451
2017-02-01,5.730052415847992,6.224367702249815
2017-02-15,5.726010375083201,6.28477209158718
2017-03-01,5.720502665874353,6.317891007993051
2017-03-15,5.811989948718504,6.2991202759365
2017-04-01,5.790089578940895,6.308411055063845
2017-04-15,5.958899158256917,6.375445252063623
2017-05-01,6.102029828334253,6.376084879394346
2017-05-15,6.109099196459389,6.532308658621877
2017-06-01,6.033060576314948,6.591699853506847
2017-06-15,5.798513035977917,6.582862258287834
2017-07-01,5.676134973936596,6.549287399780526
2017-07-15,5.719883455785202,6.568680282110603
2017-08-01,5.623736305825427,6.541947465824144
2017-08-15,5.528757383475383,6.575182723224684
2017-09-01,5.6189089775824845,6.60223928890192
2017-09-15,5.7011708566512205,6.452818628046244
2017-10-01,5.5896642280924995,6.457360249046529
2017-10-15,5.600378535003355,6.4264567850272565
2017-11-01,5.4036072545508675,6.507873747494992
2017-11-15,5.508936755458621,6.455627486220984
2017-12-01,5.400951363887112,6.477722744858338
2017-12-15,5.405414085303052,6.44157001565702
2018-01-01,5.341019025467256,6.458906603918851
2018-01-15,5.398856937986302,6.391696141330559
2018-02-01,5.398827469053243,6.314520086112383
2018-02-15,5.501201391272897,6.402750076415144
2018-03-01,5.331933353342541,6.337001217492534
2018-03-15,5.3284461754094945,
2018-04-01,5.320655145316519,
2018-04-15,5.37278049187107,
2018-05-01,5.307211822598467,6.019775118693772
2018-05-15,5.245255431110037,6.020252119239107
2018-06-01,5.225047245462376,5.99124450939855
2018-06-15,4.918493796224216,6.1207007816204255
2018-07-01,4.922703897779067,5.968766018839951
2018-07-15,5.235160533260355,5.821907780549079
2018-08-01,5.110232640733851,5.826505813490167
2018-08-15,5.090235997406944,5.853941276007686
2018-09-01,4.840078720018234,5.847703457420768
2018-09-15,4.734190940015797,5.824017987128114
2018-10-01,4.743484072790689,5.84972477568628
2018-10-15,4.837486656206132,5.853008774171027
2018-11-01,4.929799495233464,5.795069292380656
2018-11-15,5.097291180167716,5.79683785421319
2018-12-01,5.098210509666667,5.856860725024573
2018-12-15,4.949208222765956,5.857475586242599
2019-01-01,5.167659538312995,5.839130022670002
2019-01-15,5.267067944995011,5.8445791434676355
2019-02-01,5.302970958847781,5.8616236951378795
2019-02-15,5.359091567870766,5.890392835370073
2019-03-01,5.344647141107389,5.8703894503921665
2019-03-15,5.340780644908796,5.869841901477508
2019-04-01,5.3849382601271465,5.887136052861878
2019-04-15,5.40823271379379,5.90094640924076
2019-05-01,5.864484127981471,5.876399905081218
2019-05-15,5.834407818866163,5.884326862045562
2019-06-01,5.867905353820933,5.85675828522802
2019-06-15,5.700038377160435,5.743380796726998
2019-07-01,5.615845094691474,6.138752389225789
2019-07-15,,6.421349240349763
2019-08-01,5.422650721538611,6.351704464092
2019-08-15,5.223026601671128,6.411891381764412
2019-09-01,5.253389207250436,6.306914227860388
2019-09-15,5.285013504540038,6.306206124427684
2019-10-01,5.336103414720988,6.3021720748200005
2019-10-15,5.3565503491268665,6.3020303989901905
2019-11-01,5.481495533484364,6.308966718409259
2019-11-15,5.510474737547807,6.30824225140664
2019-12-01,5.528609313850247,6.224201737333471
2019-12-15,5.578517035568579,6.103421273535147
2020-01-01,5.615425469944242,6.094600745182812
2020-01-15,5.432963261125375,6.094080940705022
2020-02-01,5.383303193424278,6.092705343597534
2020-02-15,5.269516812452338,6.089580991601313
