Date,Rubavu,Ruhengeri
2016-01-01,,
2016-01-15,,5.686382421893085
2016-02-01,,5.482212555954618
2016-02-15,,5.343785744428647
2016-03-01,,5.317259692350922
2016-03-15,,5.462798568075496
2016-04-01,,5.5898220860739505
2016-04-15,,5.64041055206493
2016-05-01,,5.723646630114792
2016-05-15,,5.633496878688155
2016-06-01,,5.647826310704707
2016-06-15,,5.442972920479464
2016-07-01,,5.637366665183314
2016-07-15,,5.828100996868503
2016-08-01,,5.818129277922894
2016-08-15,,5.873783954270277
2016-09-01,,5.746517346180854
2016-09-15,,5.757736228865874
2016-10-01,5.651750520791804,5.820826850835738
2016-10-15,5.649020750759928,5.882635601941433
2016-11-01,5.734632339712776,5.877459274311107
2016-11-15,,5.87745251160922
2016-12-01,,5.932549491622618
2016-12-15,,5.935301379881539
2017-01-01,6.018454861127589,5.783709938631334
2017-01-15,6.006843991760561,5.771307253815568
2017-02-01,5.760794496262825,5.758748808539532
2017-02-15,5.749359274202527,5.749359274202527
2017-03-01,5.751609569302084,5.748888479187723
2017-03-15,5.74518311730401,5.745864548335489
2017-04-01,5.89075283403888,5.742168303048542
2017-04-15,5.899918442394678,5.896988466668348
2017-05-01,5.930995913042221,5.902075447499354
2017-05-15,5.984085323282617,5.90847120073121
2017-06-01,5.9242170766792706,5.909609747127564
2017-06-15,5.870432929539245,5.907674470471145
2017-07-01,5.996039937277953,5.352890014635128
2017-07-15,5.992348544630131,5.576571269155546
2017-08-01,5.989566770759652,5.572610923236017
2017-08-15,5.9663437934060335,5.657981515716713
2017-09-01,5.94885528903404,5.8024266553006925
2017-09-15,5.964998531683107,5.79558037972506
2017-10-01,5.877659946578954,5.8770732642505985
2017-10-15,5.672550481768117,5.8797785777764275
2017-11-01,5.7138634852441745,5.888558694303065
2017-11-15,5.568306773757408,5.902518315739796
2017-12-01,5.71917618161065,5.571507339385583
2017-12-15,5.753511781008449,5.570072281113154
2018-01-01,5.78401688498536,5.5703137274502375
2018-01-15,5.813493322943517,5.446643050963132
2018-02-01,5.593391776142832,5.39362695989835
2018-02-15,5.468670580540359,5.226505346913041
2018-03-01,5.506565245794442,5.21888317334266
2018-03-15,5.497126880373267,5.209444807921487
2018-04-01,5.52577788358153,5.169102939642798
2018-04-15,5.521324596645931,5.302409381441243
2018-05-01,5.520275151566461,5.386743758941939
2018-05-15,5.56039275999768,5.393635719744837
2018-06-01,5.142064814345821,5.5153510240897505
2018-06-15,5.307103498620262,5.404346046175641
2018-07-01,5.69774156698443,5.212594957636131
2018-07-15,5.22622286083673,5.141937138118678
2018-08-01,5.301290062685486,5.1392737720522765
2018-08-15,5.244679574454269,5.347775083481243
2018-09-01,5.130268827670307,5.293802470598628
2018-09-15,5.011338800119288,5.299020872571068
2018-10-01,5.140733006248622,5.083275951223835
2018-10-15,5.197753402801982,5.085961996813865
2018-11-01,5.228884617989416,5.251980332784065
2018-11-15,5.35609549595004,5.281033476975662
2018-12-01,5.360362795269934,5.313842779635041
2018-12-15,5.368595747789457,5.322465976061956
2019-01-01,5.384858722050264,5.255925038674372
2019-01-15,5.446045746453948,5.202292790873619
2019-02-01,5.489326195201016,5.261626827350946
2019-02-15,5.39301627935272,5.295327034191545
2019-03-01,5.280119199084031,5.422927602307355
2019-03-15,5.452329909470558,5.359956589339543
2019-04-01,5.444418887112604,5.444418887112604
2019-04-15,5.476472850497874,5.478250628743873
2019-05-01,5.465165493275693,5.465165493275693
2019-05-15,5.544773838522187,5.465558602968684
2019-06-01,5.5418503501851895,5.504621008416834
2019-06-15,5.575094213106259,5.548958411605434
2019-07-01,,
2019-07-15,,5.632138716262267
2019-08-01,,5.620340833198896
2019-08-15,,5.593844477669925
2019-09-01,,5.495615016389327
2019-09-15,,5.591207921877089
2019-10-01,,5.550513873773169
2019-10-15,,5.568693588168818
2019-11-01,,5.614719734401652
2019-11-15,,5.829185556865135
2019-12-01,,5.773842846645338
2019-12-15,,5.747925345648429
2020-01-01,,5.72131821467929
2020-01-15,,5.710345222818582
2020-02-01,,5.533089301487605
2020-02-15,,5.450571205152485
