Date,Arusha,Kisumu
2016-01-01,5.3161332504449055,5.663050592336632
2016-01-15,5.313708138404248,5.658422997047921
2016-02-01,5.30891085511358,5.603264899627125
2016-02-15,5.731657082610951,5.658435682791919
2016-03-01,5.7245594047698205,5.649614801044308
2016-03-15,5.721962954176504,5.6453157285155475
2016-04-01,5.617142605034944,5.644411917069104
2016-04-15,5.400440642658901,5.661726557228723
2016-05-01,5.399964071637734,5.662286980255242
2016-05-15,5.39768511652383,5.656204742720281
2016-06-01,5.296231023149782,5.802409186260294
2016-06-15,5.291335463523213,5.798528843119516
2016-07-01,5.395121450512922,5.795368494635372
2016-07-15,5.3918837370684916,5.792136561535243
2016-08-01,5.357856917668446,5.791749730263689
2016-08-15,5.39836341672408,5.790034499001399
2016-09-01,5.403761418458451,5.79116715685274
2016-09-15,5.43679595632625,5.788058315131654
2016-10-01,5.44444472114339,5.784959108361613
2016-10-15,5.534579538846854,5.779982896630039
2016-11-01,5.649944168589701,5.77430474846033
2016-11-15,5.75282669928617,5.768359647969329
2016-12-01,5.794338779709701,5.763139938819203
2016-12-15,5.827777437084094,5.756721464185711
2017-01-01,5.869704669993074,5.747452117001923
2017-01-15,5.930973454855508,5.852975591899102
2017-02-01,5.986426665467563,5.852145456585041
2017-02-15,6.031250271040776,5.964318411082766
2017-03-01,,6.070165435692222
2017-03-15,6.11528598802862,6.057741573514864
2017-04-01,6.111559480006191,6.045890772185865
2017-04-15,6.268523178429757,6.1341510512095425
2017-05-01,6.261541545051247,6.2214516905106825
2017-05-15,6.1877713548258875,6.219830190693429
2017-06-01,6.183889545754441,6.230121695754557
2017-06-15,6.006220888349961,6.234106630229812
2017-07-01,5.7846371836482176,6.236415078500186
2017-07-15,5.497595701740491,6.0489982865163086
2017-08-01,5.514044262101511,5.938092164952554
2017-08-15,5.499299789558962,5.832822456095262
2017-09-01,5.4992076023025565,5.838244418011139
2017-09-15,5.412854321800954,5.838868489147492
2017-10-01,5.408898442850501,5.789942314452403
2017-10-15,,5.838103387324477
2017-11-01,,5.7086395710418545
2017-11-15,,5.705968095397696
2017-12-01,,5.700392527317466
2017-12-15,,5.690898990958889
2018-01-01,,5.68728780791741
2018-01-15,5.380760254795821,5.595333601459176
2018-02-01,5.54110921613512,5.691082366106241
2018-02-15,5.53579587677543,5.6812723892289725
2018-03-01,5.4499121698897035,5.7570714098044515
2018-03-15,5.259386746576515,5.67054198068604
2018-04-01,5.257175820927511,5.748978841888254
2018-04-15,5.25021947087972,5.670452751457429
2018-05-01,5.3430828702914175,5.741984323720734
2018-05-15,5.34498329758997,5.575087141284258
2018-06-01,5.391339105961063,5.54308517019238
2018-06-15,5.253218435175246,5.516384814767096
2018-07-01,5.031718853651894,5.51754129358232
2018-07-15,4.900092483650358,5.521002374922609
2018-08-01,4.902001142312378,5.339466838321893
2018-08-15,4.901519197262282,5.330396879833921
2018-09-01,4.739282205158855,5.507666154635059
2018-09-15,4.9023315780284715,5.44265043059901
2018-10-01,4.969585316326035,5.512297429154828
2018-10-15,5.029941707869589,5.513197636284299
2018-11-01,5.028424999593834,5.5107485676315795
2018-11-15,5.025798518342362,5.527413550334973
2018-12-01,5.136507602734529,5.4941026261324355
2018-12-15,5.188366307921746,5.5611286309050945
2019-01-01,5.218885617578165,5.65008736520297
2019-01-15,5.184950383554069,5.493305968234323
2019-02-01,5.114944618859133,5.437422675972245
2019-02-15,5.1628664932766215,5.427966688336249
2019-03-01,5.1313885312131235,5.422118501286266
2019-03-15,5.128853674501414,5.476715704823058
2019-04-01,5.141140312830274,5.476130764378098
2019-04-15,5.2216896097719925,5.620836033319873
2019-05-01,5.240051789536639,5.878614745410771
2019-05-15,5.213997725698514,5.874398484848228
2019-06-01,5.3096563986669185,5.872401062298474
2019-06-15,,5.743380796726998
2019-07-01,,5.841434452492073
2019-07-15,,5.930726323901292
2019-08-01,,5.864716772249512
2019-08-15,5.685438107137704,
2019-09-01,5.746956373572211,5.717985684444245
2019-09-15,5.686171358715641,5.718253174917198
2019-10-01,5.807795590512352,5.714671083395043
2019-10-15,5.688434236107429,5.740418591141374
2019-11-01,5.8231600757326785,
2019-11-15,5.766461912362339,
2019-12-01,5.777758201997086,
2019-12-15,5.792303295626933,
2020-01-01,5.871977938997037,
2020-01-15,5.808464115211822,
2020-02-01,6.042551197210232,5.904179009916696
2020-02-15,5.823283862802259,5.896530832160317
