Date,Busia,Kasese
2016-01-01,5.764507999739491,6.59185124559715
2016-01-15,5.815850960408928,6.6156565153423
2016-02-01,5.8160903260941135,6.538369229238757
2016-02-15,5.806448445119823,6.3094171973905935
2016-03-01,5.827639603586277,6.343958585768376
2016-03-15,5.839762280010722,6.346395025516676
2016-04-01,5.852416110960883,6.339563748316634
2016-04-15,5.891519818002157,6.368854314887885
2016-05-01,5.8954400662502255,6.364867492656624
2016-05-15,5.895209627108374,6.302427584043952
2016-06-01,5.890366685699979,6.308085776465766
2016-06-15,5.976584584563974,6.304022708317681
2016-07-01,6.07626059202922,6.294245815492255
2016-07-15,6.249023760571426,6.267673380011114
2016-08-01,6.131375313739207,6.290076460134158
2016-08-15,5.972457956776333,6.286970364640864
2016-09-01,5.994738168728259,6.28124928085889
2016-09-15,6.10306056731719,6.275131015811402
2016-10-01,6.127008061224102,6.269905425364633
2016-10-15,6.155051850803804,6.2491060871399045
2016-11-01,6.174484605077709,6.227078885024721
2016-11-15,6.326028347632771,6.294226504471901
2016-12-01,6.329039800971969,6.288217806451714
2016-12-15,6.38362410428713,6.288004757684856
2017-01-01,6.375653110089442,6.287791754298108
2017-01-15,6.4748905468227225,6.285826489962831
2017-02-01,6.400107322621503,
2017-02-15,6.373163772720497,
2017-03-01,6.428312865744372,6.279907416560918
2017-03-15,6.48612773134108,6.276007303184382
2017-04-01,6.538927094258442,6.218606555244162
2017-04-15,6.637498511692277,6.262058753777611
2017-05-01,6.56646380708577,6.257534701020181
2017-05-15,6.499702212524387,6.310628435613145
2017-06-01,6.5204710274061055,6.347297581401177
2017-06-15,6.45342128594408,6.3668608091521115
2017-07-01,6.147875887665223,6.369282154496541
2017-07-15,6.134422813773812,6.369988885086579
2017-08-01,6.132119925935866,6.407006548223583
2017-08-15,6.190270656514652,6.403286631758883
2017-09-01,6.1470593850057815,
2017-09-15,6.102659816379745,6.395805026332744
2017-10-01,6.017577582422973,6.432204705577433
2017-10-15,6.117761559315504,6.418592104610791
2017-11-01,6.161731236942874,6.362657981567863
2017-11-15,6.141852672078576,6.252072422680107
2017-12-01,6.099578010211682,6.247963754674888
2017-12-15,6.064110037108751,6.15000395148156
2018-01-01,6.0960416097452885,6.310346212392294
2018-01-15,6.127510807003157,6.336602604861716
2018-02-01,6.113822589139058,6.147625904162566
2018-02-15,6.097590690002236,6.090058919852007
2018-03-01,6.058697144701472,
2018-03-15,6.0552807519531155,
2018-04-01,6.014879331904102,
2018-04-15,6.024254976030447,
2018-05-01,5.993815904569477,
2018-05-15,5.922066192350289,5.6507205392182005
2018-06-01,5.812308424277783,6.328376524008624
2018-06-15,5.79556381494509,6.299968870908157
2018-07-01,5.766355446013251,6.3294875493514295
2018-07-15,5.521681839476173,6.3329991274991535
2018-08-01,5.584806960274418,6.263107440216855
2018-08-15,5.547526173379695,6.187961368056826
2018-09-01,5.60538834682641,6.22296592281651
2018-09-15,5.545121156232126,6.301859439573603
2018-10-01,5.576720046521316,6.369328020611899
2018-10-15,5.659015003414285,6.228904854325893
2018-11-01,5.671736839962841,6.057161197187559
2018-11-15,5.68742664239159,6.405194907341884
2018-12-01,5.682463601987474,6.371176185479554
2018-12-15,5.672569181922398,6.294808393059292
2019-01-01,5.689264296333812,6.328344255623482
2019-01-15,5.7503461054494425,6.287738756600155
2019-02-01,5.7572943533366505,6.204561901601647
2019-02-15,5.731631891282464,6.205810891938681
2019-03-01,5.702550838016614,6.143667001228802
2019-03-15,5.695814899390069,6.235529533008196
2019-04-01,5.731405027473356,6.357432088559859
2019-04-15,5.906407220006222,6.308781135544713
2019-05-01,5.976090159977027,6.341989667879001
2019-05-15,5.916645917103135,6.382780515227405
2019-06-01,5.855813308055905,6.344497805944682
2019-06-15,5.867530673925267,6.368670991956794
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
