Date,Machakos,Makueni
2016-01-01,7.203495633283781,
2016-01-15,7.051440072562689,
2016-02-01,7.015992517815172,
2016-02-15,6.9586365192124084,
2016-03-01,6.949589746913631,
2016-03-15,6.944983520439066,6.744210224043156
2016-04-01,6.847708817347679,6.624184869148137
2016-04-15,6.865036890513538,6.641520506286292
2016-05-01,6.867249393766345,6.761998774256769
2016-05-15,6.860012380640688,6.754266370581524
2016-06-01,6.85577364531681,6.747107341524484
2016-06-15,6.943402849603698,6.743936973564398
2016-07-01,6.942049186344503,6.846468211755837
2016-07-15,6.938045564906418,6.842101126031313
2016-08-01,6.936089831272608,6.842212675034215
2016-08-15,6.934130265248393,6.839999063497468
2016-09-01,6.9351365952064965,6.840278801747819
2016-09-15,6.932488370885018,6.837169960026733
2016-10-01,6.929833114845796,6.834070753256692
2016-10-15,7.012008031304075,7.012008031304075
2016-11-01,7.005973144572913,7.005973144572913
2016-11-15,7.000503329261961,7.000503329261961
2016-12-01,6.906970837420569,6.950451100534571
2016-12-15,6.900615701018805,6.900387468677291
2017-01-01,6.891995627987074,6.892453608301927
2017-01-15,6.86165474610844,6.868885098307008
2017-02-01,6.866175378769005,6.863398884620713
2017-02-15,6.8576485135248175,6.763447032499003
2017-03-01,6.857018578914012,6.76180013802081
2017-03-15,6.846520602884505,6.75391752973697
2017-04-01,6.834947252322877,6.740051637576656
2017-04-15,6.917465278108666,6.8170703415862315
2017-05-01,6.913753919605064,6.733627753374544
2017-05-15,6.918917142641159,6.736595585847204
2017-06-01,6.988866158800316,6.9096167871461756
2017-06-15,6.840473727891594,6.837694661721328
2017-07-01,6.842550882070501,6.7472407022661764
2017-07-15,6.838570474197825,6.7431674395719465
2017-08-01,6.737567502194116,6.737567502194116
2017-08-15,6.88777101187092,6.745553560513844
2017-09-01,6.851544882626548,6.698553266927505
2017-09-15,,6.649234530454639
2017-10-01,,6.738850351250389
2017-10-15,,6.755414007099377
2017-11-01,,6.756570373233819
2017-11-15,,6.753389083660699
2017-12-01,,6.749449052697467
2017-12-15,,6.742619896426794
2018-01-01,,6.5428810290214185
2018-01-15,6.448058883581744,6.375822792174269
2018-02-01,6.454081647763497,6.383512957599335
2018-02-15,6.44111094428759,6.375855320215022
2018-03-01,6.438242399317682,6.369679727880385
2018-03-15,6.672984121029003,6.607814485954423
2018-04-01,6.664216387777751,6.636436823670675
2018-04-15,6.668310415578933,6.611919638224058
2018-05-01,6.6603725917598355,6.628978686106459
2018-05-15,6.585838074161033,6.568684994934784
2018-06-01,6.2835597947718185,6.1162255195772595
2018-06-15,6.248752708480322,6.025208435862414
2018-07-01,6.210688474142265,6.210688474142265
2018-07-15,6.139913583328657,6.169924661744696
2018-08-01,6.152607977393292,6.212608833725317
2018-08-15,6.199176629037024,6.207530896506882
2018-09-01,6.280856042868541,6.280856042868541
2018-09-15,6.28329354413385,6.20312242554521
2018-10-01,6.360072958526515,6.283612474715751
2018-10-15,6.359539473654137,6.358103723228033
2018-11-01,6.35612704163298,6.35612704163298
2018-11-15,6.411615967657628,6.340585471507749
2018-12-01,6.339461562014965,6.32479854270489
2018-12-15,6.342078014909487,6.342078014909487
2019-01-01,6.474780445172006,6.44337812268831
2019-01-15,6.591918256902433,6.535353843673951
2019-02-01,6.59902086264247,6.485736571466569
2019-02-15,6.649545581237234,6.5957691844564295
2019-03-01,6.644014821801107,6.644014821801107
2019-03-15,6.634837166223737,6.608225696998227
2019-04-01,6.573631324193517,6.639262124379034
2019-04-15,6.718010507218355,6.669364217590571
2019-05-01,6.769814555291399,6.6746858472233495
2019-05-15,6.76508709974917,6.763265605620779
2019-06-01,6.809320131517678,6.669688502111016
2019-06-15,6.921842013395526,6.841993085395108
2019-07-01,6.911256544077335,6.834854370271537
2019-07-15,6.900557822703477,6.827664327259632
2019-08-01,6.905179650127709,6.8284733274976945
2019-08-15,6.909780214499683,6.829281673783383
2019-09-01,6.8191653686176,6.732620083456497
2019-09-15,6.857713115249154,6.857713115249154
2019-10-01,6.987016774735873,6.876463706498625
2019-10-15,7.101499171687513,6.894869174417017
2019-11-01,7.046933534015064,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
