Date,Lira,Gulu
2016-01-01,,
2016-01-15,,
2016-02-01,5.938748106689635,
2016-02-15,5.969257187690196,
2016-03-01,5.997485220275807,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.127782268711434,
2016-06-01,6.134167266475048,
2016-06-15,6.113288904229075,
2016-07-01,5.916346207485212,
2016-07-15,5.913377628912518,
2016-08-01,6.018087822228424,
2016-08-15,6.048795584257324,
2016-09-01,6.077253398958814,
2016-09-15,6.10306056731719,
2016-10-01,6.107490235687481,
2016-10-15,6.091433353388879,
2016-11-01,6.065581982995484,
2016-11-15,5.957754267850688,
2016-12-01,5.982228586555577,
2016-12-15,5.9929257809521905,
2017-01-01,6.018087694141735,
2017-01-15,6.048850040998103,
2017-02-01,5.985938280661479,
2017-02-15,6.039157628594478,5.945462523165451
2017-03-01,6.067679170932938,6.011870699005057
2017-03-15,6.186263000457503,6.226159497456815
2017-04-01,6.193265832765308,6.314404064492829
2017-04-15,6.052053768235239,6.310361232007116
2017-05-01,6.045018242280258,6.430553865151822
2017-05-15,6.052320971841269,6.515061446014531
2017-06-01,5.938288464858283,6.521792467968401
2017-06-15,5.871499740494358,6.230897669999323
2017-07-01,5.676134973936596,6.2275476341741385
2017-07-15,5.717663699046889,5.536230636314049
2017-08-01,5.788285692873584,5.715344148931217
2017-08-15,5.791668993331471,5.790300067724129
2017-09-01,5.784779888087635,5.781346997658313
2017-09-15,5.781213564324757,5.781213564324757
2017-10-01,5.779707830980365,5.517343566512873
2017-10-15,5.768065010758233,5.503751699314282
2017-11-01,5.50906796558977,5.508165845546633
2017-11-15,5.558069444036266,5.691707851482444
2017-12-01,5.686633435672225,5.601258720259063
2017-12-15,5.692598025739551,5.603546248123648
2018-01-01,5.724977928354456,5.591860528697967
2018-01-15,5.76750807297175,5.601715818129006
2018-02-01,5.802952992232351,5.601686349195947
2018-02-15,5.834827939775338,5.684125539226995
2018-03-01,5.859288279059743,5.75714522438554
2018-03-15,5.864225515190406,5.752999880080181
2018-04-01,5.9515600169992435,5.8876329296930106
2018-04-15,5.980769864090709,5.8852374373691445
2018-05-01,6.002530556671921,6.001445369370634
2018-05-15,6.058241146508461,5.999027233486417
2018-06-01,6.038338737864384,6.03202956867112
2018-06-15,5.83478452809837,6.01603713770342
2018-07-01,5.790713889845292,6.021316186447177
2018-07-15,5.804998998843253,5.8648513602150985
2018-08-01,5.647919383584474,5.727256125820995
2018-08-15,5.628345580121404,5.72731928382029
2018-09-01,5.61796712903327,5.838607550129361
2018-09-15,5.896394331465438,5.912387091804662
2018-10-01,5.9646022840716135,5.981095236265454
2018-10-15,6.023490766989252,5.995917440085153
2018-11-01,6.028411783901574,6.000954937668534
2018-11-15,6.039693056045557,5.953618447274314
2018-12-01,6.042672118507518,5.7913576902266115
2018-12-15,6.103500896467623,5.8667251963633555
2019-01-01,6.146022698829527,6.018531820087954
2019-01-15,6.1748594085283015,6.150301557746637
2019-02-01,6.2063025460794305,6.158207792230096
2019-02-15,6.251620427969974,6.155978518190804
2019-03-01,6.241069669764819,6.144588235748122
2019-03-15,6.235529533008196,6.234691661153565
2019-04-01,6.316733178537267,6.26786608833218
2019-04-15,6.426908109295631,6.387632373995921
2019-05-01,6.489068637104119,6.385856349984582
2019-05-15,6.5238213298740595,6.492796366060934
2019-06-01,6.309250996115041,6.344497805944682
2019-06-15,6.0356962814890895,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
