Date,Gitega,Bujumbura
2016-01-01,6.354530871251242,
2016-01-15,6.297098706623741,6.408324341733965
2016-02-01,6.3717729861586205,6.353128378275389
2016-02-15,6.086751895065932,6.336082441729019
2016-03-01,5.825755937221311,6.0243224761995995
2016-03-15,5.712855304404238,6.081754265055646
2016-04-01,5.5071291734824195,6.079421874236625
2016-04-15,5.650490169791607,6.012658472146446
2016-05-01,5.7854565610131,6.0122833577436054
2016-05-15,5.832381726287005,6.044289204334289
2016-06-01,5.772517979054819,6.030347088356919
2016-06-15,5.705149502657235,5.970643660133654
2016-07-01,5.746000317357191,5.9878582125535535
2016-07-15,5.836713144096547,5.992230878135337
2016-08-01,6.0537350198440185,6.116105350570477
2016-08-15,6.051910189615066,6.170486997256343
2016-09-01,6.049541081609407,6.172502792744242
2016-09-15,6.0549888552480935,6.176662946397443
2016-10-01,6.076705778687638,6.182281440645778
2016-10-15,6.228673161023703,6.171191488735813
2016-11-01,6.412250773870708,6.413760208119562
2016-11-15,6.400346633812314,6.400722503014258
2016-12-01,6.55199213776749,6.473325892802677
2016-12-15,6.54101188514996,6.462027826738963
2017-01-01,6.362843729400607,6.528886297135772
2017-01-15,6.414818536217622,6.567095540628625
2017-02-01,6.379153823002023,6.565791312261545
2017-02-15,6.37080326022368,6.626893541057757
2017-03-01,6.076862041490409,6.4441581889473545
2017-03-15,6.068725692147187,6.37104727317358
2017-04-01,6.078764511948255,6.365750932198069
2017-04-15,6.017716506572133,6.368858932941139
2017-05-01,5.948006410750576,6.431644231272116
2017-05-15,5.967503697684642,6.411198717252972
2017-06-01,6.0766923958046215,6.4420558997442585
2017-06-15,6.182923988140843,6.445190089887184
2017-07-01,6.281396934183395,6.388341042609541
2017-07-15,6.36285727122482,6.363567750828419
2017-08-01,6.272235517660425,6.358082072153762
2017-08-15,6.346232526710241,6.3465897333580825
2017-09-01,6.151694883502552,6.3330119198705015
2017-09-15,6.2384095299604425,6.325420906950073
2017-10-01,6.395981604758033,6.314275279998097
2017-10-15,6.466994209353158,6.270445531269072
2017-11-01,6.468658040802564,6.228508072910977
2017-11-15,6.039452630156931,6.236197132903801
2017-12-01,6.1399830036547165,6.140419399035851
2017-12-15,6.196294511578947,6.147795002839551
2018-01-01,6.153468737943311,6.048689786710134
2018-01-15,5.935142005145361,5.869877003772425
2018-02-01,5.93429631469236,5.93648210791234
2018-02-15,5.93868912606712,5.93868912606712
2018-03-01,5.651762288978788,5.940901025927034
2018-03-15,5.291575473435621,5.9378057342078145
2018-04-01,5.35887052975265,5.994059433549353
2018-04-15,5.399047248822575,5.865792788148753
2018-05-01,5.456825051156964,5.5518173164776075
2018-05-15,5.354728609372341,5.991861148377614
2018-06-01,5.363454731556295,5.871952065562694
2018-06-15,5.653091785267965,5.734255192375172
2018-07-01,5.572823964055831,5.739145179503344
2018-07-15,5.481157148506551,5.746743757330513
2018-08-01,5.581087693098619,5.746305679565559
2018-08-15,5.7580391240371,5.7580391240371
2018-09-01,5.838483185746734,5.767163274813551
2018-09-15,5.805810138980008,5.765964230432808
2018-10-01,5.772910311696586,5.883137017005585
2018-10-15,5.764173885217408,5.910530293317847
2018-11-01,5.760900926597363,5.899837737788793
2018-11-15,5.836556287841273,6.265201241728431
2018-12-01,5.7636072881951055,6.240344949622186
2018-12-15,5.831975429995446,6.010941278942428
2019-01-01,5.926601172597637,6.018907569523006
2019-01-15,5.961872692839739,6.021847837462467
2019-02-01,5.966915103113885,6.0268902477366115
2019-02-15,5.958820590011928,6.019053847920166
2019-03-01,5.471318054751238,5.809843680184293
2019-03-15,5.35788509881904,5.687188845961639
2019-04-01,5.227366633737478,5.449604797936875
2019-04-15,5.225120956799933,5.447359120999331
2019-05-01,5.22739499198421,5.502527869073664
2019-05-15,5.3552366962848295,5.554811501226343
2019-06-01,5.471423843348001,5.681526905035536
2019-06-15,5.72834421700459,
2019-07-01,5.755406409921075,
2019-07-15,5.772683685483391,5.986837857767325
2019-08-01,5.789667519490088,6.013330416440484
2019-08-15,5.852928771955945,6.005691526508355
2019-09-01,5.911906400480863,6.079310870571581
2019-09-15,5.965679168365824,6.076621493277819
2019-10-01,6.0205141626656085,6.17640548697065
2019-10-15,6.0128757686412815,6.213731975652058
2019-11-01,6.110183974917225,6.252669623213981
2019-11-15,6.151292360364187,6.283723763877686
2019-12-01,6.23384365901701,6.357064639876909
2019-12-15,6.271469782974216,6.3513939580807905
2020-01-01,6.259648676664725,6.319087004597455
2020-01-15,6.253181742210327,6.314079924416923
2020-02-01,6.158475679264323,6.2023750675322935
2020-02-15,5.956242561171233,6.010636633237032
