Date,Mombasa,Machakos
2016-01-01,6.510348452723836,6.867023396662568
2016-01-15,6.512443571830001,6.869118515768734
2016-02-01,6.5051668940491805,6.876230575440013
2016-02-15,6.486796342159372,6.862913410127825
2016-03-01,6.467850472622874,6.8054951672765
2016-03-15,6.418961449791793,6.744210224043156
2016-04-01,6.434097024671697,6.624818783590919
2016-04-15,6.418221566890035,6.642141817272417
2016-05-01,6.510998268439593,6.644353091804366
2016-05-15,6.459490436330043,6.3485258183179205
2016-06-01,6.390116989918731,6.494846391639547
2016-06-15,6.478089829715817,6.49167602367946
2016-07-01,6.474929481231673,6.489935121849543
2016-07-15,6.394379794990048,6.486707229880043
2016-08-01,6.331220952106643,6.48494600840802
2016-08-15,6.328674810950266,6.483181679561344
2016-09-01,6.329453177981828,6.482892873065308
2016-09-15,6.3263443362607426,6.5489577381011435
2016-10-01,6.323245129490702,6.6109272019424825
2016-10-15,6.318860850744129,6.606127899326081
2016-11-01,6.312825964012967,6.600716001527368
2016-11-15,6.308189135005908,6.595038221153797
2016-12-01,6.301897975260787,6.588744974595147
2016-12-15,6.296493690708409,6.5818766713333865
2017-01-01,6.285248857542706,6.57314099196354
2017-01-15,6.264838674486926,6.619488712682139
2017-02-01,6.410486547088463,6.66378313657336
2017-02-15,6.4058284525885325,6.656900779427753
2017-03-01,6.405557564197626,6.656551736270831
2017-03-15,6.4523627935944035,6.645696744609984
2017-04-01,6.450679519091376,6.634353341135345
2017-04-15,6.509884662547683,6.738350745752991
2017-05-01,6.537753230175887,6.731601410229312
2017-05-15,6.5502048474465235,6.736595585847204
2017-06-01,6.551652352377571,6.734485810897574
2017-06-15,6.557713227970057,6.744168603710505
2017-07-01,6.52377822254869,6.7472407022661764
2017-07-15,6.51976849303224,6.7431674395719465
2017-08-01,6.383011590139608,6.740634989261978
2017-08-15,6.392438244030685,6.747843346528941
2017-09-01,6.396774625959364,6.721702696322021
2017-09-15,6.244333597255657,
2017-10-01,6.247502534443969,
2017-10-15,6.246964084433779,
2017-11-01,6.244724861567083,
2017-11-15,6.242903364724629,
2017-12-01,6.240239006851858,
2017-12-15,6.23111307372438,
2018-01-01,6.224582180579566,
2018-01-15,6.156309008910638,6.449411148831758
2018-02-01,6.16126506241307,6.469657770461288
2018-02-15,6.152532412788772,6.518358185006328
2018-03-01,6.146536176566175,6.50303189297508
2018-03-15,6.210731656599062,6.618975316091951
2018-04-01,6.204069187283272,6.610090623639443
2018-04-15,6.205901891251317,6.609707247941118
2018-05-01,6.201930989131619,6.4887842177729995
2018-05-15,6.20224095268945,6.421717222013925
2018-06-01,6.118045356294245,6.205056733283875
2018-06-15,6.0272104385330865,6.362253082344705
2018-07-01,5.9241206079338875,6.368178055235038
2018-07-15,6.1272894301002605,6.291757457058001
2018-08-01,6.125748708343024,6.204254566255459
2018-08-15,6.118854240198191,6.264134525311796
2018-09-01,6.113801958205374,6.280856042868541
2018-09-15,6.115959268939291,6.307777643798006
2018-10-01,6.119952297273673,
2018-10-15,6.119029349841629,6.359539473654137
2018-11-01,6.016190598314098,6.351071053975522
2018-11-15,6.006829976723273,6.342720141151101
2018-12-01,6.003571397587136,6.408357388521492
2018-12-15,6.005895591360872,6.342078014909487
2019-01-01,6.007195741208013,6.376755098149193
2019-01-15,6.006149756156551,6.4102698741493835
2019-02-01,6.012121706118997,6.348736504576648
2019-02-15,6.008424410856243,6.372625633142221
2019-03-01,6.0008016004478915,6.406929179597177
2019-03-15,5.990880229854564,6.401664499440328
2019-04-01,5.9869563881440895,6.391087273239116
2019-04-15,6.160550666938001,6.445717014792534
2019-05-01,6.163527500113747,6.654523873933005
2019-05-15,6.159860800561695,6.56421417981717
2019-06-01,6.159528657331003,6.564438980404133
2019-06-15,6.1496851831051575,6.560727550511428
2019-07-01,6.35918506211072,6.573267574406247
2019-07-15,6.532306310935747,6.58565229164104
2019-08-01,,6.6672317740434694
2019-08-15,,6.742655104587011
2019-09-01,,6.633247609643293
2019-09-15,,6.629528141662018
2019-10-01,,6.679578237690898
2019-10-15,,6.72724227003319
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
