Date,Lira,Gulu
2016-01-01,5.366612950491872,
2016-01-15,5.30793631125862,
2016-02-01,5.24560092612969,
2016-02-15,5.261221394636499,
2016-03-01,5.261647598511579,
2016-03-15,5.310124528397276,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,5.483474905986613,
2016-06-01,5.558112752196465,
2016-06-15,5.56077560570624,
2016-07-01,5.544043778281912,
2016-07-15,5.461575991408508,
2016-08-01,5.424749442858798,
2016-08-15,5.430710422671757,
2016-09-01,5.446757183360536,
2016-09-15,5.495092542320812,
2016-10-01,5.462935610364402,
2016-10-15,5.498694879390385,
2016-11-01,5.566337780437899,
2016-11-15,5.645161305019418,
2016-12-01,5.666441619783687,
2016-12-15,5.648656233870946,
2017-01-01,5.641164589373055,
2017-01-15,5.687556151203077,
2017-02-01,5.643174916628158,
2017-02-15,5.680787899564776,
2017-03-01,5.773714355301663,5.720502665874353
2017-03-15,5.934618135666965,5.868849431235698
2017-04-01,5.933007506905185,6.055929909477627
2017-04-15,6.026466018286832,6.056255455088939
2017-05-01,6.043960600722122,6.100530952210517
2017-05-15,5.989325119826692,6.108601807739858
2017-06-01,5.995775555775965,6.116657447336414
2017-06-15,5.718299781702108,6.036551920238567
2017-07-01,5.377574783337632,5.796833213578132
2017-07-15,5.319578698236347,5.1793019174722925
2017-08-01,5.309136925761163,5.247119352054922
2017-08-15,5.423792202869158,5.242260847617704
2017-09-01,5.437557823581809,5.414996788196163
2017-09-15,5.41348878419944,5.41348878419944
2017-10-01,5.294200015198664,5.294200015198664
2017-10-15,5.281513535114885,5.148628346066969
2017-11-01,5.254786367486957,5.002142151776049
2017-11-15,5.154315200331731,4.999309454184739
2017-12-01,5.120237960751424,4.9964847581085365
2017-12-15,5.1529607047350146,4.997954958588023
2018-01-01,5.138928883350879,5.138928883350879
2018-01-15,5.149262200584922,5.149262200584922
2018-02-01,5.090860725429956,5.149232731651864
2018-02-15,5.211709363575876,5.146848729373835
2018-03-01,5.172426474314758,5.2702397843372015
2018-03-15,5.068220949190753,5.2688916446529035
2018-04-01,5.075173427355114,5.258412836439298
2018-04-15,5.058908087167098,5.256017344115432
2018-05-01,5.001985440495777,5.249029867215732
2018-05-15,5.0517605737179565,5.245255431110037
2018-06-01,5.024113841473822,4.9365768402933785
2018-06-15,5.03912178401283,4.918493796224216
2018-07-01,4.999311019251264,4.922703897779067
2018-07-15,4.544330850840772,4.949795958948936
2018-08-01,4.549307094916364,4.951709413493983
2018-08-15,4.649584580173736,4.935198399561458
2018-09-01,4.607183514384922,4.517791118388978
2018-09-15,,4.571351620401395
2018-10-01,4.516574038681002,
2018-10-15,4.705910298417414,
2018-11-01,4.8450582667783735,
2018-11-15,4.955410592932272,4.760818943546503
2018-12-01,4.912709299955332,4.761738273045454
2018-12-15,4.86609331605545,4.7681129076952455
2019-01-01,5.0220926021771275,4.907233372636462
2019-01-15,5.126191796376449,5.029341970386531
2019-02-01,5.042107713210414,5.109427877309861
2019-02-15,5.300741684808489,5.23877496105929
2019-03-01,5.24564161733194,5.227376269354647
2019-03-15,5.09063649177608,5.223509773156054
2019-04-01,5.369189903159008,5.212721725191387
2019-04-15,5.528341086086172,5.428968612272969
2019-05-01,5.526565062074832,5.430916987352611
2019-05-15,5.520292489346226,5.611264267551952
2019-06-01,5.500180573695616,5.608661216689686
2019-06-15,5.572593430592314,5.5476585467638975
2019-07-01,5.557937156774589,
2019-07-15,5.543062877486357,
2019-08-01,5.205586216300784,5.338534688477439
2019-08-15,5.086228299901257,5.280692243520937
2019-09-01,4.899548464547578,5.108758921557864
2019-09-15,5.280730842748038,5.339080725810314
2019-10-01,5.387498123844186,5.414115664844142
2019-10-15,5.4181082421263,5.4654759309491885
2019-11-01,5.481495533484364,5.509083490003193
2019-11-15,5.482981596967608,5.530609645956863
2019-12-01,5.528609313850247,5.574071687927004
2019-12-15,5.531620811359218,5.48762048209678
2020-01-01,5.6047138143493145,5.531315649394447
2020-01-15,5.128102852138509,5.2247622563436
2020-02-01,5.207854515918085,5.269821239667285
2020-02-15,5.269516812452338,5.299117282228629
