Date,Busia,Kasese
2016-01-01,5.442819559302515,6.508758487035613
2016-01-15,5.368390731264161,6.539900972981392
2016-02-01,5.367908856384362,6.41637566104603
2016-02-15,5.351975757904964,6.270091307803748
2016-03-01,5.328980718580166,6.2438751272113935
2016-03-15,5.402413493497336,6.24103450985885
2016-04-01,5.499568265555266,6.23443811228408
2016-04-15,5.533521247132916,6.259702368792369
2016-05-01,5.554348883772717,6.259461232390936
2016-05-15,5.624919297368462,6.19336299942745
2016-06-01,5.654594186213162,6.198802832593043
2016-06-15,5.655251409158446,6.196332546877046
2016-07-01,5.74055434548759,6.1826058443495855
2016-07-15,5.7112072009785875,6.182094873305326
2016-08-01,5.7638030947339844,6.17864404255835
2016-08-15,5.612515317093071,6.1752025491778495
2016-09-01,5.566786906099898,6.169816863283081
2016-09-15,5.697072309837952,6.163931282404215
2016-10-01,5.700987244766897,6.158550100342805
2016-10-15,5.688592229992797,6.137140924237273
2016-11-01,5.697319423884363,6.1164181836843134
2016-11-15,5.636170643723225,6.194143045914918
2016-12-01,5.6194313433579515,6.1881343478947315
2016-12-15,5.629948896936181,6.187921299127874
2017-01-01,5.714692616025398,6.187708295741125
2017-01-15,5.80807891460058,6.19883111392946
2017-02-01,5.76549916484374,
2017-02-15,5.752193689028138,
2017-03-01,5.76315459508666,6.2314759892196685
2017-03-15,5.861196332657981,6.200955643093525
2017-04-01,5.928837110631458,6.09914651097741
2017-04-15,6.079054370053745,6.13484572968216
2017-05-01,6.083893311057493,6.103526461190315
2017-05-15,5.980881500846523,6.215155640961727
2017-06-01,6.01459182757544,6.225378646200745
2017-06-15,5.688290027834117,6.226016364544902
2017-07-01,5.474777111293995,6.228437709889332
2017-07-15,5.462532472239282,6.229377816873995
2017-08-01,5.416722136441101,6.22409046109107
2017-08-15,5.477651372541887,6.22066563825476
2017-09-01,5.480279080286579,
2017-09-15,5.433135781583236,6.213780602210712
2017-10-01,5.450898467104721,6.280316604863661
2017-10-15,5.44403246461266,6.246378937137598
2017-11-01,5.411591328899088,6.199506340881629
2017-11-15,5.281738231253175,6.151358447078277
2017-12-01,5.235077220363793,6.0930990441139725
2017-12-15,5.241253311880692,6.039056534663201
2018-01-01,5.357897063254608,5.763362171362772
2018-01-15,5.3907923781495715,5.842409381144868
2018-02-01,5.347322780520523,5.8423799122118085
2018-02-15,5.258887923850967,5.807282233814959
2018-03-01,5.254202785427384,
2018-03-15,5.186003984847137,
2018-04-01,5.136607962555095,
2018-04-15,5.285397988508652,
2018-05-01,5.2114667656400835,5.61053185190278
2018-05-15,5.197853192215453,5.563709162228571
2018-06-01,4.985817556396541,5.636013349760887
2018-06-15,5.09438446268788,5.524629599794531
2018-07-01,5.025513391645289,5.383910988895467
2018-07-15,5.041170232632022,5.453186604227408
2018-08-01,4.888397134079656,5.176079206531437
2018-08-15,4.916389067603962,5.628345580121404
2018-09-01,4.9122411662664645,5.693190550270857
2018-09-15,4.785862950560118,5.7981176706960165
2018-10-01,4.85034721833305,5.902868399800893
2018-10-15,4.9101258398461045,5.77411707231741
2018-11-01,5.09637269505928,5.491199404962388
2018-11-15,5.065030317949494,5.8569590430692235
2018-12-01,4.9922619316572865,5.860350561713563
2018-12-15,5.020243995882708,5.724754935092968
2019-01-01,5.177463538409615,5.858340626377746
2019-01-15,5.228470645496867,5.957985470227687
2019-02-01,5.28346871561634,5.978801689396265
2019-02-15,5.367156127707497,5.96338541107502
2019-03-01,5.281200919368427,5.920523449914592
2019-03-15,5.315883093287069,6.033927825468742
2019-04-01,5.353189561812566,6.028024938730174
2019-04-15,5.587374617670365,6.074351221965816
2019-05-01,5.789448942038557,6.014149721801372
2019-05-15,5.629726330391688,6.071123447725916
2019-06-01,5.520799860898352,6.215646277211257
2019-06-15,5.546362418443445,6.096919741577207
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
