Date,Machakos,Makueni
2016-01-01,6.867023396662568,
2016-01-15,6.869118515768734,
2016-02-01,6.876230575440013,
2016-02-15,6.862913410127825,
2016-03-01,6.8054951672765,
2016-03-15,6.744210224043156,
2016-04-01,6.624818783590919,
2016-04-15,6.642141817272417,
2016-05-01,6.644353091804366,
2016-05-15,6.3485258183179205,
2016-06-01,6.494846391639547,
2016-06-15,6.49167602367946,
2016-07-01,6.489935121849543,
2016-07-15,6.486707229880043,
2016-08-01,6.48494600840802,
2016-08-15,6.483181679561344,
2016-09-01,6.482892873065308,
2016-09-15,6.5489577381011435,
2016-10-01,6.6109272019424825,
2016-10-15,6.606127899326081,
2016-11-01,6.600716001527368,
2016-11-15,6.595038221153797,
2016-12-01,6.588744974595147,
2016-12-15,6.5818766713333865,
2017-01-01,6.57314099196354,
2017-01-15,6.619488712682139,
2017-02-01,6.66378313657336,
2017-02-15,6.656900779427753,
2017-03-01,6.656551736270831,6.656551736270831
2017-03-15,6.645696744609984,6.645415885178283
2017-04-01,6.634353341135345,6.634353341135345
2017-04-15,6.738350745752991,6.735312768732915
2017-05-01,6.731601410229312,6.731601410229312
2017-05-15,6.736595585847204,6.736595585847204
2017-06-01,6.734485810897574,6.734485810897574
2017-06-15,6.744168603710505,6.742384481917004
2017-07-01,6.7472407022661764,6.7472407022661764
2017-07-15,6.7431674395719465,6.7431674395719465
2017-08-01,6.740634989261978,6.7370553382904745
2017-08-15,6.747843346528941,6.745553560513844
2017-09-01,6.721702696322021,6.677380799888984
2017-09-15,,6.604218274501613
2017-10-01,,6.65915264961788
2017-10-15,,6.626096818197707
2017-11-01,,6.520860943021803
2017-11-15,,6.529735458374706
2017-12-01,,6.461852075765458
2017-12-15,,6.454597282510799
2018-01-01,,6.4480663893659855
2018-01-15,6.449411148831758,6.448058883581744
2018-02-01,6.469657770461288,6.455416761446466
2018-02-15,6.518358185006328,6.504262415205933
2018-03-01,6.50303189297508,6.501148061962706
2018-03-15,6.618975316091951,6.617864821807924
2018-04-01,6.610090623639443,6.597779332159993
2018-04-15,6.609707247941118,6.608599214586755
2018-05-01,6.4887842177729995,6.425240226801937
2018-05-15,6.421717222013925,6.389127779914979
2018-06-01,6.205056733283875,6.169429555640725
2018-06-15,6.362253082344705,6.2880350568149845
2018-07-01,6.368178055235038,6.21402737540778
2018-07-15,6.291757457058001,6.34934345888069
2018-08-01,6.204254566255459,6.212608833725317
2018-08-15,6.264134525311796,6.207530896506882
2018-09-01,6.280856042868541,6.280856042868541
2018-09-15,6.307777643798006,6.282531112115966
2018-10-01,,
2018-10-15,6.359539473654137,6.285872856467305
2018-11-01,6.351071053975522,6.353241036743845
2018-11-15,6.342720141151101,6.3811788911074805
2018-12-01,6.408357388521492,6.408357388521492
2018-12-15,6.342078014909487,6.410684338266384
2019-01-01,6.376755098149193,6.380426543535858
2019-01-15,6.4102698741493835,6.3492245716654345
2019-02-01,6.348736504576648,6.343018118729653
2019-02-15,6.372625633142221,6.344612596914546
2019-03-01,6.406929179597177,6.406929179597177
2019-03-15,6.401664499440328,6.397677783196507
2019-04-01,6.391087273239116,6.391087273239116
2019-04-15,6.445717014792534,6.384698738678216
2019-05-01,6.654523873933005,6.4394939573929655
2019-05-15,6.56421417981717,6.56421417981717
2019-06-01,6.564438980404133,6.564438980404133
2019-06-15,6.560727550511428,6.554031096916307
2019-07-01,6.573267574406247,6.575448427740122
2019-07-15,6.58565229164104,6.596416658228198
2019-08-01,6.6672317740434694,6.621920866600269
2019-08-15,6.742655104587011,6.646790754638274
2019-09-01,6.633247609643293,6.633762145286237
2019-09-15,6.629528141662018,6.634672185926927
2019-10-01,6.679578237690898,6.633117094690096
2019-10-15,6.72724227003319,6.631559581377472
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
