Date,Kampala,Soroti
2016-01-01,5.3845506511785395,
2016-01-15,5.1937148154921715,
2016-02-01,5.307425308138028,
2016-02-15,5.356531574440825,
2016-03-01,5.425347422518691,
2016-03-15,5.413154735328748,
2016-04-01,5.448326518888029,
2016-04-15,5.509585207304187,
2016-05-01,5.477387842636589,
2016-05-15,5.514758004367279,
2016-06-01,5.606639793091126,
2016-06-15,5.606502980345127,
2016-07-01,5.518558680276081,
2016-07-15,5.4923782278421704,
2016-08-01,5.457606608016572,
2016-08-15,5.4244927860608865,
2016-09-01,5.470758335460079,
2016-09-15,5.627181973628433,
2016-10-01,5.554465747867358,
2016-10-15,5.605005513884532,
2016-11-01,5.694206580903874,
2016-11-15,5.758867694182038,
2016-12-01,5.823641598941343,
2016-12-15,5.769210964269688,
2017-01-01,5.587818608667763,
2017-01-15,5.7164555007664255,
2017-02-01,5.687172586241856,
2017-02-15,5.682328731918932,5.722318971851242
2017-03-01,5.8162156113416374,5.779300962010302
2017-03-15,5.970263159670798,5.934618135666965
2017-04-01,5.950101940264485,6.056455533668441
2017-04-15,5.959476692203088,6.052053768235239
2017-05-01,5.967570824954286,6.044489561326891
2017-05-15,6.011498977321014,5.993799400221612
2017-06-01,6.04907800364661,6.00134660082542
2017-06-15,6.40700251050163,5.716820491491519
2017-07-01,5.343673231661951,5.53261792194791
2017-07-15,5.372561740665815,5.372561740665815
2017-08-01,5.366831366827636,5.422704208118649
2017-08-15,5.423792202869158,5.418839245740309
2017-09-01,5.621333221193991,5.520357303853989
2017-09-15,5.489861762984013,5.417449185415537
2017-10-01,5.340009551229958,5.354824637015098
2017-10-15,5.281513535114885,5.342936347741292
2017-11-01,5.20226833320351,5.157147897923041
2017-11-15,5.218853721469302,5.149173800831313
2017-12-01,5.1489231087502825,5.146349104755109
2017-12-15,5.222295398136079,5.222295398136079
2018-01-01,5.209309680112678,5.144123700227983
2018-01-15,5.112512658376181,5.149262200584922
2018-02-01,5.117816535418485,5.149232731651864
2018-02-15,5.272618116662868,5.1722953950349995
2018-03-01,5.15217261741026,5.179917146043915
2018-03-15,5.059852699520237,5.178569006359618
2018-04-01,5.1672225983747015,5.126191201696839
2018-04-15,5.123795709372973,5.047672013900172
2018-05-01,5.039616508713424,5.039616508713424
2018-05-15,5.111724038485514,5.111724038485514
2018-06-01,5.112569262035685,5.029877546190572
2018-06-15,5.115661861135165,4.998536503897752
2018-07-01,5.108205107490402,4.913103824050048
2018-07-15,4.615789814822916,4.666220668449808
2018-08-01,4.549307094916364,4.549307094916364
2018-08-15,4.653708297357598,4.649584580173736
2018-09-01,4.594578261602748,4.637137876021543
2018-09-15,4.56091921874176,4.514828111541494
2018-10-01,4.615308879366691,4.562665145881269
2018-10-15,4.802639924875964,4.705910298417414
2018-11-01,4.9483758808064,4.706655943919254
2018-11-15,5.037327715400159,4.723078615563656
2018-12-01,5.05496052587285,4.944059829839408
2018-12-15,5.014513321173723,4.949208222765956
2019-01-01,5.096200574330849,5.019239533194721
2019-01-15,5.15898161919944,5.029341970386531
2019-02-01,5.10420593332871,5.109427877309861
2019-02-15,5.326166783174299,5.270238230515075
2019-03-01,5.311310720839797,5.400438500735804
2019-03-15,5.1011077916433765,5.223509773156054
2019-04-01,5.369189903159008,5.210398843775247
2019-04-15,5.615633954984768,5.528341086086172
2019-05-01,5.607646730880788,5.523180964090592
2019-05-15,5.523688078347364,6.016729375660117
2019-06-01,5.54764711093454,5.803827158986369
2019-06-15,5.629212324591822,5.532984292497268
2019-07-01,5.584291539316778,
2019-07-15,5.476083391530559,
2019-08-01,5.35472937439742,
2019-08-15,5.320824344947255,
2019-09-01,5.2944760673529565,
2019-09-15,5.39421279650503,
2019-10-01,5.459953203059609,
2019-10-15,5.52756483500613,
2019-11-01,5.529286197320713,
2019-11-15,5.576072020033621,
2019-12-01,5.656309786163976,
2019-12-15,5.667632569042072,
2020-01-01,5.698624413799216,
2020-01-15,5.357169421755842,
2020-02-01,5.383303193424278,
2020-02-15,5.327866695514615,
