Date,Eldoret,Nakuru
2016-01-01,7.2857998494089715,
2016-01-15,7.283754175849106,
2016-02-01,7.268272663216036,6.398194774497013
2016-02-15,7.234668422408563,6.384698472136362
2016-03-01,7.190784742349406,6.438302868526916
2016-03-15,7.3201385438559,6.432925990142166
2016-04-01,7.316380423942373,6.3716014051639265
2016-04-15,7.34732803813147,6.386648304973945
2016-05-01,7.308340030983496,6.451718963030507
2016-05-15,7.266137990754371,6.4487076584972955
2016-06-01,7.190476283175049,6.436726620121427
2016-06-15,7.220061456829194,6.4436668044931
2016-07-01,7.236925534430312,6.446450009909804
2016-07-15,7.178430922655134,6.485283742095189
2016-08-01,7.1787560885656685,6.554696674159666
2016-08-15,7.17061455885785,6.547987259052753
2016-09-01,7.176751038369032,6.483603857809086
2016-09-15,7.174175103668285,6.536468174366648
2016-10-01,7.142981126328327,6.533368967596608
2016-10-15,7.092497495215696,6.528469230097079
2016-11-01,7.123941040198397,6.509328249937939
2016-11-15,7.167429200577943,6.517076679684085
2016-12-01,7.149434299939093,6.506506876358174
2016-12-15,7.188697054769562,6.506947462931485
2017-01-01,7.226764956153801,6.494855823139383
2017-01-15,7.194643125527804,6.475317329493039
2017-02-01,7.133786765819096,6.412670748903304
2017-02-15,7.119817206790433,6.422393469463228
2017-03-01,7.135657592303315,6.433268040607714
2017-03-15,7.122766057873517,6.422974334594903
2017-04-01,7.129516404338379,6.450679519091376
2017-04-15,7.107086137384232,6.432644039765539
2017-05-01,7.10337477888063,6.8491590429770435
2017-05-15,7.142399046183262,6.482521733841636
2017-06-01,7.133447387611423,6.414559655454889
2017-06-15,7.143588825164313,6.4437583877859055
2017-07-01,7.166051730228647,6.444824767251019
2017-07-15,7.122415109531602,6.441427189427153
2017-08-01,7.073966588601332,6.43631017186397
2017-08-15,7.127827729788931,6.450885006547106
2017-09-01,7.128627152671136,6.453087884300771
2017-09-15,7.133004424352959,6.454191311858216
2017-10-01,7.134606645231592,6.451858171892545
2017-10-15,7.104619739457457,6.453013202388689
2017-11-01,7.127817524031642,6.416217016430829
2017-11-15,7.1366826210159005,6.532283230453505
2017-12-01,7.164484422289458,6.520031071425579
2017-12-15,7.163625857851087,6.503776627459613
2018-01-01,7.125421961298002,6.434348753137186
2018-01-15,7.097292353375164,6.380900786401212
2018-02-01,7.134793783196345,6.536741553451624
2018-02-15,7.098686659062667,6.529801019002309
2018-03-01,7.083402306156786,6.5278163090448675
2018-03-15,7.037305883772062,6.521109153343616
2018-04-01,7.052320563833304,7.183436604386768
2018-04-15,7.070113474080583,7.1907652847224615
2018-05-01,7.049110485312021,7.183174406572542
2018-05-15,7.046443940947998,7.187014165146625
2018-06-01,7.039414082395344,7.120013242144894
2018-06-15,7.076632483010425,7.123612710625074
2018-07-01,7.080427337668469,
2018-07-15,6.987595394574869,7.130773010700321
2018-08-01,6.887283616649819,7.126805802875904
2018-08-15,6.939034472097251,7.1228227936051365
2018-09-01,6.9347825102752045,7.116770678167922
2018-09-15,6.954239228574494,7.161237632979397
2018-10-01,6.9570499907613135,
2018-10-15,7.018760365676765,7.244645979701413
2018-11-01,7.0449420854537905,7.243769219687977
2018-11-15,7.069501977025853,7.035867321711047
2018-12-01,7.09537167081274,7.072326129377245
2018-12-15,7.196801651993541,
2019-01-01,7.194447111880922,
2019-01-15,7.219553753093459,
2019-02-01,7.213096007448676,7.206165137455979
2019-02-15,7.189065505169518,7.171202387748887
2019-03-01,7.185099005964277,7.166682279178047
2019-03-15,7.190242421622816,7.153405844266326
2019-04-01,7.175409380811988,7.148856416048117
2019-04-15,7.166807646515863,7.141065800267546
2019-05-01,7.17829990127378,7.144564718188092
2019-05-15,7.190075278754165,7.1406900535734215
2019-06-01,7.20284045084742,7.13931743579251
2019-06-15,7.212426845505268,7.131948006281767
2019-07-01,,
2019-07-15,,7.117044192988508
2019-08-01,,7.1096462805303196
2019-08-15,,7.116222574090482
2019-09-01,,7.111005451218045
2019-09-15,,7.105188767222894
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
