Date,Arusha,Nairobi
2016-01-01,5.3161332504449055,5.727903134516193
2016-01-15,5.313708138404248,5.702948076089333
2016-02-01,5.30891085511358,5.705047593937068
2016-02-15,5.731657082610951,5.691551291576417
2016-03-01,5.7245594047698205,5.681257740805567
2016-03-15,5.721962954176504,5.677805050045487
2016-04-01,5.617142605034944,5.676002241356694
2016-04-15,5.400440642658901,5.694302727663336
2016-05-01,5.399964071637734,5.691557362555356
2016-05-15,5.39768511652383,5.689500550827232
2016-06-01,5.296231023149782,5.684271226021658
2016-06-15,5.291335463523213,5.7094492130658265
2016-07-01,5.395121450512922,5.7062888645816825
2016-07-15,5.3918837370684916,5.702791461199394
2016-08-01,5.357856917668446,5.702404629927838
2016-08-15,5.39836341672408,5.636358540284409
2016-09-01,5.403761418458451,5.636305997421883
2016-09-15,5.43679595632625,5.634025999511198
2016-10-01,5.44444472114339,5.631754950138386
2016-10-15,5.534579538846854,5.691548031855556
2016-11-01,5.649944168589701,5.684113305838485
2016-11-15,5.75282669928617,5.678747489279642
2016-12-01,5.794338779709701,5.673393650962927
2016-12-15,5.827777437084094,5.666840644768128
2017-01-01,5.869704669993074,5.6555892258743565
2017-01-15,5.930973454855508,5.637504712496552
2017-02-01,5.986426665467563,5.756644175719524
2017-02-15,6.031250271040776,5.918685313466101
2017-03-01,,5.965644198304391
2017-03-15,6.11528598802862,5.952268704618338
2017-04-01,6.111559480006191,5.9389513681883095
2017-04-15,6.268523178429757,5.935226184175415
2017-05-01,6.261541545051247,6.037439516238821
2017-05-15,6.1877713548258875,6.043448405287259
2017-06-01,6.183889545754441,6.0484778753471
2017-06-15,6.006220888349961,6.147326547331649
2017-07-01,5.7846371836482176,6.09409885631993
2017-07-15,5.497595701740491,6.0093684917455406
2017-08-01,5.514044262101511,6.045955241352255
2017-08-15,5.499299789558962,5.951169348546963
2017-09-01,5.4992076023025565,5.957432935276257
2017-09-15,5.412854321800954,5.838868489147492
2017-10-01,5.408898442850501,5.789942314452403
2017-10-15,,5.78841996717783
2017-11-01,,5.839259753458919
2017-11-15,,5.837862975246761
2017-12-01,,5.833923919941989
2017-12-15,,5.874681468392518
2018-01-01,,5.818264920736835
2018-01-15,5.380760254795821,5.830468460863813
2018-02-01,5.54110921613512,5.722114475353969
2018-02-15,5.53579587677543,5.735793228107389
2018-03-01,5.4499121698897035,5.618234964950236
2018-03-15,5.259386746576515,5.6110414513169395
2018-04-01,5.257175820927511,
2018-04-15,5.25021947087972,
2018-05-01,5.3430828702914175,5.5891451194912865
2018-05-15,5.34498329758997,5.60878098707073
2018-06-01,5.391339105961063,5.576448073861501
2018-06-15,5.253218435175246,5.593345855903224
2018-07-01,5.031718853651894,5.569670359017267
2018-07-15,4.900092483650358,5.4888778881188385
2018-08-01,4.902001142312378,5.459460796833347
2018-08-15,4.901519197262282,5.436557075662312
2018-09-01,4.739282205158855,5.438673283148107
2018-09-15,4.9023315780284715,5.284324379361271
2018-10-01,4.969585316326035,5.214531237636422
2018-10-15,5.029941707869589,5.210916764411365
2018-11-01,5.028424999593834,5.207282627478537
2018-11-15,5.025798518342362,5.303447292269301
2018-12-01,5.136507602734529,5.191622332581704
2018-12-15,5.188366307921746,5.3583460022397995
2019-01-01,5.218885617578165,5.371993093906342
2019-01-15,5.184950383554069,5.416344927098195
2019-02-01,5.114944618859133,5.4267273868554975
2019-02-15,5.1628664932766215,5.37882122126736
2019-03-01,5.1313885312131235,5.301672348210398
2019-03-15,5.128853674501414,5.400289637619711
2019-04-01,5.141140312830274,5.407137892891147
2019-04-15,5.2216896097719925,5.570751928922461
2019-05-01,5.240051789536639,5.57607355855524
2019-05-15,5.213997725698514,5.5830140756979105
2019-06-01,5.3096563986669185,5.7321955625862575
2019-06-15,,5.730706355830271
2019-07-01,,5.8170807193050305
2019-07-15,,5.845985095446202
2019-08-01,,5.752997736003181
2019-08-15,5.685438107137704,5.746629404694002
2019-09-01,5.746956373572211,5.813529536407596
2019-09-15,5.686171358715641,5.813816010033001
2019-10-01,5.807795590512352,5.74005315666646
2019-10-15,5.688434236107429,5.759364169368541
2019-11-01,5.8231600757326785,5.7214621011750655
2019-11-15,5.766461912362339,5.722984032857879
2019-12-01,5.777758201997086,5.713122016246839
2019-12-15,5.792303295626933,5.626878299010426
2020-01-01,5.871977938997037,5.645938088041276
2020-01-15,5.808464115211822,5.631963517254477
2020-02-01,6.042551197210232,5.642436958473532
2020-02-15,5.823283862802259,5.6137081930822825
