Date,Nakuru,Kampala
2016-01-01,5.481733555968683,5.3845506511785395
2016-01-15,5.483828675074848,5.1937148154921715
2016-02-01,5.489936214320122,5.307425308138028
2016-02-15,5.476114125997964,5.356531574440825
2016-03-01,5.466277500130518,5.425347422518691
2016-03-15,5.466881610066053,5.413154735328748
2016-04-01,5.481495452284838,5.448326518888029
2016-04-15,5.496476984333416,5.509585207304187
2016-05-01,5.5432655543477125,5.477387842636589
2016-05-15,5.538008739888918,5.514758004367279
2016-06-01,5.529055015992362,5.606639793091126
2016-06-15,5.566109449342783,5.606502980345127
2016-07-01,5.600755801257136,5.518558680276081
2016-07-15,5.59777702618181,5.4923782278421704
2016-08-01,5.597390194910255,5.457606608016572
2016-08-15,5.636358540284409,5.4244927860608865
2016-09-01,5.634646246003519,5.470758335460079
2016-09-15,5.632367624338421,5.627181973628433
2016-10-01,5.587754620875948,5.554465747867358
2016-10-15,5.545394299069956,5.605005513884532
2016-11-01,5.541852143168398,5.694206580903874
2016-11-15,5.534443999673209,5.758867694182038
2016-12-01,5.530653883332676,5.823641598941343
2016-12-15,5.5611317577429045,5.769210964269688
2017-01-01,5.661878554781921,5.587818608667763
2017-01-15,5.681887239771205,5.7164555007664255
2017-02-01,5.743950070141367,5.687172586241856
2017-02-15,5.7263850566222505,5.682328731918932
2017-03-01,5.760239471327563,5.8162156113416374
2017-03-15,5.8884789667430075,5.970263159670798
2017-04-01,5.974431808203719,5.950101940264485
2017-04-15,6.016483642540626,5.959476692203088
2017-05-01,6.024153679527171,5.967570824954286
2017-05-15,6.0861772101302805,6.011498977321014
2017-06-01,6.070589328954531,6.04907800364661
2017-06-15,6.048216372222951,6.40700251050163
2017-07-01,5.695959788303839,5.343673231661951
2017-07-15,5.643533178408144,5.372561740665815
2017-08-01,5.604576828017877,5.366831366827636
2017-08-15,5.580056648749709,5.423792202869158
2017-09-01,5.586206400697214,5.621333221193991
2017-09-15,5.586102681801939,5.489861762984013
2017-10-01,5.564456449870527,5.340009551229958
2017-10-15,5.5087486184721275,5.281513535114885
2017-11-01,5.473799979964453,5.20226833320351
2017-11-15,5.433670941785395,5.218853721469302
2017-12-01,5.339125632083037,5.1489231087502825
2017-12-15,5.332551805827794,5.222295398136079
2018-01-01,5.350815571296197,5.209309680112678
2018-01-15,5.426257271415242,5.112512658376181
2018-02-01,5.410063811885231,5.117816535418485
2018-02-15,5.423781289056337,5.272618116662868
2018-03-01,5.4168885937867035,5.15217261741026
2018-03-15,5.393311309781967,5.059852699520237
2018-04-01,5.289446512509814,5.1672225983747015
2018-04-15,5.290854167616759,5.123795709372973
2018-05-01,5.245922320260343,5.039616508713424
2018-05-15,5.246063728676035,5.111724038485514
2018-06-01,5.246206386990925,5.112569262035685
2018-06-15,5.250681649034091,5.115661861135165
2018-07-01,5.2551770291148285,5.108205107490402
2018-07-15,5.253633929870541,4.615789814822916
2018-08-01,5.1110644082748955,4.549307094916364
2018-08-15,4.944734399021936,4.653708297357598
2018-09-01,4.974367675017009,4.594578261602748
2018-09-15,4.770705457689668,4.56091921874176
2018-10-01,4.774698486024049,4.615308879366691
2018-10-15,4.942652777816686,4.802639924875964
2018-11-01,4.943553796049248,4.9483758808064
2018-11-15,4.969441148143281,5.037327715400159
2018-12-01,4.966182569007144,5.05496052587285
2018-12-15,4.964441716532711,5.014513321173723
2019-01-01,4.964400760782645,5.096200574330849
2019-01-15,4.964359803355138,5.15898161919944
2019-02-01,4.977299155326217,5.10420593332871
2019-02-15,5.029581255816146,5.326166783174299
2019-03-01,5.024600454870633,5.311310720839797
2019-03-15,5.0745894979804085,5.1011077916433765
2019-04-01,5.333029920737425,5.369189903159008
2019-04-15,5.650562213585073,5.615633954984768
2019-05-01,5.628563741176636,5.607646730880788
2019-05-15,5.609369920403274,5.523688078347364
2019-06-01,5.633051512271211,5.54764711093454
2019-06-15,5.538790733771096,5.629212324591822
2019-07-01,5.434711325991516,5.584291539316778
2019-07-15,5.687858267239304,5.476083391530559
2019-08-01,5.72207068925438,5.35472937439742
2019-08-15,5.718744201204467,5.320824344947255
2019-09-01,5.528957886370207,5.2944760673529565
2019-09-15,5.500547027052287,5.39421279650503
2019-10-01,5.461518757151466,5.459953203059609
2019-10-15,5.458524012339249,5.52756483500613
2019-11-01,5.4654229684845435,5.529286197320713
2019-11-15,5.4684175691905965,5.576072020033621
2019-12-01,5.468140731362956,5.656309786163976
2019-12-15,5.470192179309306,5.667632569042072
2020-01-01,5.465776359300752,5.698624413799216
2020-01-15,5.469123096032345,5.357169421755842
2020-02-01,5.466027808045331,5.383303193424278
2020-02-15,5.461402532228593,5.327866695514615
