Date,Bujumbura,Kamembe
2016-01-01,,
2016-01-15,6.866107859644925,
2016-02-01,6.792514047478402,
2016-02-15,6.791536779706087,
2016-03-01,6.84729157113388,
2016-03-15,6.870262157267624,
2016-04-01,6.841561926283522,
2016-04-15,6.850301785997727,
2016-05-01,6.861428250811061,
2016-05-15,6.834798899949471,
2016-06-01,6.653486271974757,
2016-06-15,6.581140569612982,
2016-07-01,6.568359229397142,
2016-07-15,6.610008256721139,
2016-08-01,6.626310626922032,
2016-08-15,6.639024708819582,
2016-09-01,6.672673900003079,
2016-09-15,6.678320457569624,
2016-10-01,6.646338089563407,
2016-10-15,6.670407792319492,
2016-11-01,6.661044404245048,
2016-11-15,6.775533382614217,
2016-12-01,6.817822440999873,
2016-12-15,6.8111433207924525,
2017-01-01,6.791690863951317,
2017-01-15,6.7625571178219355,
2017-02-01,6.757732448925602,
2017-02-15,6.928332090879905,
2017-03-01,6.797709287697273,
2017-03-15,6.71097374466288,6.668131934783771
2017-04-01,6.770984048656892,6.659685276645941
2017-04-15,6.7692255363779195,6.661473185674499
2017-05-01,6.758584576267968,6.664371981824951
2017-05-15,6.8798199446699435,6.609791223047029
2017-06-01,6.8107370397350895,6.636040277721459
2017-06-15,6.8241284436619205,6.6686345813781935
2017-07-01,6.82627098712563,6.638263000048744
2017-07-15,6.822501815157606,6.613296546511881
2017-08-01,6.765444714038118,6.635936872882846
2017-08-15,6.75300676919163,6.6019454883193776
2017-09-01,6.8035538105448605,6.617904918014925
2017-09-15,6.811812505378781,6.579364834389938
2017-10-01,6.7772194175308735,6.571979460215723
2017-10-15,6.826391590315532,6.698403416153799
2017-11-01,6.825951605237362,6.588560319819493
2017-11-15,6.833640665230186,6.5968559726308165
2017-12-01,6.832693598309452,6.66844318172644
2017-12-15,6.840942183399497,6.667565375484248
2018-01-01,6.8951567372032505,6.634503616026713
2018-01-15,6.848377967024559,6.667517666091672
2018-02-01,6.689997005984161,6.6649977390414215
2018-02-15,6.692204024138941,6.654089976970547
2018-03-01,6.694929666625103,6.64768824314714
2018-03-15,6.746793259186641,6.637124385204231
2018-04-01,6.626774874924381,6.625519477846792
2018-04-15,6.587661069824696,6.619936885314041
2018-05-01,6.5693264519857415,6.613240897846361
2018-05-15,6.525872679612416,6.620132858649259
2018-06-01,6.496356093703037,6.621963355424937
2018-06-15,6.53558149323732,6.6291429863140285
2018-07-01,6.5416770260208414,6.6329277937646305
2018-07-15,6.512273945553212,6.624569017755475
2018-08-01,6.515964564026483,6.552219850099193
2018-08-15,6.525630241813561,6.615010084585146
2018-09-01,6.534130367608763,6.61440822419771
2018-09-15,6.568123787069351,6.623072924813738
2018-10-01,6.57991836267975,6.6271712543631365
2018-10-15,6.601327296532839,6.627558448366056
2018-11-01,6.597690809386151,6.625638109899444
2018-11-15,6.723268116769353,6.628151667380087
2018-12-01,6.69385423156306,6.635309977675683
2018-12-15,6.7711186218214765,6.6318422135796835
2019-01-01,6.7120547500829515,6.630685246548976
2019-01-15,6.717071861967251,6.627761300456787
2019-02-01,6.721076389428976,6.627159197022407
2019-02-15,6.713244325392688,6.6167917109748355
2019-03-01,6.6959395101124795,6.603043946271333
2019-03-15,6.686550347102294,6.590587029485908
2019-04-01,6.674019411427988,6.5828194258391255
2019-04-15,6.6717737344904435,6.577454808521302
2019-05-01,6.647865408782689,6.563777781943802
2019-05-15,6.623371444828051,6.565364921629401
2019-06-01,6.613470412672955,6.563368698521016
2019-06-15,,6.560334943093867
2019-07-01,6.593369313372226,
2019-07-15,6.5546791300079,
2019-08-01,6.585183732693983,
2019-08-15,6.546682564606072,
2019-09-01,6.603913979777874,
2019-09-15,6.5989414964695445,
2019-10-01,6.5974015371096915,
2019-10-15,6.648804509550161,
2019-11-01,6.698892723794313,
2019-11-15,6.689702350816131,
2019-12-01,6.68209183025225,
2019-12-15,6.676421148456131,
2020-01-01,6.665630447145529,
2020-01-15,6.659163512691131,
2020-02-01,6.678236707672078,
2020-02-15,6.703783813796977,
