Date,Soroti,Mbale
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,6.125694585280951
2016-06-01,,6.097763169405871
2016-06-15,,6.069029117085975
2016-07-01,,6.149586336358325
2016-07-15,,5.990600297611413
2016-08-01,,6.052661965810316
2016-08-15,,6.090790989056548
2016-09-01,,
2016-09-15,,6.1629465457416766
2016-10-01,,6.1590428325528235
2016-10-15,,6.076076948891097
2016-11-01,,6.075212876056446
2016-11-15,,6.151910282291645
2016-12-01,,6.183377283779265
2016-12-15,,
2017-01-01,,
2017-01-15,,
2017-02-01,,
2017-02-15,6.04131048195558,6.327378349052819
2017-03-01,6.067679170932938,6.325294744437323
2017-03-15,6.221705147107435,6.321873636062836
2017-04-01,6.218606555244162,6.313997973116691
2017-04-15,6.438389706434408,6.313607988105986
2017-05-01,6.4301943469023986,6.4301943469023986
2017-05-15,6.216049695558607,6.436508681502148
2017-06-01,6.119623341749793,6.2258225973734085
2017-06-15,5.71903860700354,6.22956876614927
2017-07-01,5.719241836835949,6.2275476341741385
2017-07-15,5.800096710061011,5.941103502770316
2017-08-01,5.933728619282173,5.936110990867579
2017-08-15,5.90105695564276,5.933629195808209
2017-09-01,5.823103905767166,5.928200534367122
2017-09-15,5.617400973585761,5.989968378186867
2017-10-01,5.656328809819859,5.985112557957192
2017-10-15,5.766673222085411,5.974660715674831
2017-11-01,5.607733441311675,5.914833599620557
2017-11-15,5.604900743720365,5.915600186058894
2017-12-01,5.602076047644162,6.198809498536087
2017-12-15,5.603546248123648,6.201628316886867
2018-01-01,5.680526165783623,6.191351789549613
2018-01-15,5.686539010438083,5.912089301782857
2018-02-01,5.767478604038691,5.909653092819234
2018-02-15,5.904856544135821,5.906063544885857
2018-03-01,5.758540898024515,5.900059830945873
2018-03-15,5.752999880080181,5.896287447650069
2018-04-01,5.7432146867839835,5.8876329296930106
2018-04-15,5.7408191944601175,5.882789455730505
2018-05-01,5.732763689273369,5.875485673277005
2018-05-15,5.732186734676591,6.155975117934736
2018-06-01,5.720147026922902,6.139918530682304
2018-06-15,5.775922780561859,6.347915185539579
2018-07-01,5.828751262238462,6.340348788783034
2018-07-15,5.931781950088486,5.9568974254661855
2018-08-01,5.869226387091382,5.869226387091382
2018-08-15,5.852730596523678,5.852730596523678
2018-09-01,5.841110680347479,5.838607550129361
2018-09-15,5.896394331465438,6.015755899414871
2018-10-01,6.126011951115102,6.020651435457276
2018-10-15,6.0276661383997325,6.023490766989252
2018-11-01,6.028411783901574,6.029452908409985
2018-11-15,6.037629071824705,6.145259736017071
2018-12-01,6.042672118507518,6.148032634165344
2018-12-15,6.0478205114340655,6.154407268815136
2019-01-01,6.069061657693399,6.147872838117689
2019-01-15,6.099299003294265,6.152141484668644
2019-02-01,6.2063025460794305,6.158207792230096
2019-02-15,6.205810891938681,6.155978518190804
2019-03-01,6.244408571030333,6.144588235748122
2019-03-15,6.301166696648176,6.14072173954953
2019-04-01,6.310560319430186,6.133180094494065
2019-04-15,6.425531646586908,6.346750768733793
2019-05-01,6.420997000136489,6.34869360360119
2019-05-15,6.5275549994261075,6.343990434392556
2019-06-01,6.526819362738636,
2019-06-15,6.537520207809981,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
