Date,Nakuru,Nairobi
2016-01-01,6.269643121194631,6.453865457880394
2016-01-15,6.271738240300797,6.453298472352992
2016-02-01,6.1775682141919575,6.460715131478347
2016-02-15,6.065022496009283,6.447810895446418
2016-03-01,6.163987426248881,6.429808608959609
2016-03-15,6.2555229799993395,6.432925990142166
2016-04-01,6.164652539769697,6.21768879223459
2016-04-15,6.266657541376189,6.1302804606328944
2016-05-01,6.269322468996456,6.068851593696824
2016-05-15,6.260913208783499,6.061394558328427
2016-06-01,6.255232722228788,6.053960160964539
2016-06-15,6.338471865456233,6.049685430661399
2016-07-01,6.33448335957486,6.047629444520308
2016-07-15,6.408322700959061,6.045032517901609
2016-08-01,6.411774645994671,6.042985016444914
2016-08-15,6.346797217954415,6.040715615038211
2016-09-01,6.409113110531074,6.041218161086874
2016-09-15,6.406004268809988,6.038109319365788
2016-10-01,6.402905062039947,6.035010112595748
2016-10-15,6.39935031465575,6.03145536521155
2016-11-01,6.225965838630675,6.025698368980438
2016-11-15,6.220344771712386,6.019674076250235
2016-12-01,6.45054822271013,6.013659264887592
2016-12-15,6.4495104143997155,6.006442774398269
2017-01-01,6.439159412503881,6.019180261511463
2017-01-15,6.491377814802274,5.992904959003284
2017-02-01,6.48015945940407,6.013006962359227
2017-02-15,6.475256959020295,6.284362171515853
2017-03-01,6.492448857128271,6.286332567224342
2017-03-15,6.527492390219751,6.241073741814742
2017-04-01,6.513609846560578,6.2926874606843874
2017-04-15,6.733790312209459,6.347440474258508
2017-05-01,6.827280321601237,6.3482033961498265
2017-05-15,6.832367126674707,6.512817315374903
2017-06-01,6.51886252955458,6.607512774506386
2017-06-15,6.523060158669789,6.570821173612569
2017-07-01,6.523459192397635,6.583520571422768
2017-07-15,6.51976849303224,6.521044817391844
2017-08-01,6.449373265838694,6.490850783161839
2017-08-15,6.588682253264534,6.526603953200421
2017-09-01,6.647203635419596,6.591569359577223
2017-09-15,6.649234530454639,6.397758850863217
2017-10-01,6.530095537388278,6.342658879927553
2017-10-15,6.533480223211691,6.369631593449638
2017-11-01,6.651323114272416,6.398875541394341
2017-11-15,6.6509140830322275,6.368116483939922
2017-12-01,6.616683259191621,6.495651511948429
2017-12-15,6.636010161368536,6.357377924436673
2018-01-01,6.5428810290214185,6.317256086855823
2018-01-15,6.6260861632375025,6.332725483816878
2018-02-01,6.571196457534675,6.358103242073966
2018-02-15,6.5048931310893465,6.47934895804192
2018-03-01,6.47051388598808,6.429551372752986
2018-03-15,6.49820502613868,
2018-04-01,6.427546572685042,
2018-04-15,6.430702443773156,
2018-05-01,6.457837637091864,6.201102145321219
2018-05-15,6.493245287333208,6.279078734858332
2018-06-01,6.491488023834004,6.2835597947718185
2018-06-15,6.465465369464242,6.15823870093949
2018-07-01,6.43717092672199,6.499832687846701
2018-07-15,6.436294272020863,6.366634955990751
2018-08-01,6.432990418353861,6.474909100240721
2018-08-15,6.429675613045191,6.49853523115064
2018-09-01,6.417267898358417,6.488495407646785
2018-09-15,6.41855687214752,6.489969424879569
2018-10-01,6.4225499004819016,6.493962453213951
2018-10-15,6.42881924802643,6.425466915017677
2018-11-01,6.424351125843935,6.480611873555382
2018-11-15,6.411615967657628,6.477342641357958
2018-12-01,6.4090365056953,6.408357388521492
2018-12-15,6.431649536576872,6.475518823721275
2019-01-01,,6.414344634863005
2019-01-15,6.475397051066472,6.535353843673951
2019-02-01,6.418251928983971,6.452242129212523
2019-02-15,6.41322660876446,6.41322660876446
2019-03-01,6.407591212060947,6.47229517285478
2019-03-15,6.395011114949591,6.459633077198647
2019-04-01,6.3234286247653015,6.480432373574967
2019-04-15,6.313983213879818,6.446346539522169
2019-05-01,6.387003774771569,6.37428180874592
2019-05-15,6.383004351875905,6.4462920911118236
2019-06-01,6.381673373869312,6.427890515225002
2019-06-15,6.366455302461724,6.436527977286944
2019-07-01,6.351002057865671,6.414684047901625
2019-07-15,6.252205775936364,6.691824166369745
2019-08-01,6.282418809701479,6.619727341583642
2019-08-15,6.319020384118148,6.607407426637899
2019-09-01,6.2794359986692605,6.6045325069712995
2019-09-15,6.296659512544104,6.604461555077824
2019-10-01,6.274654045926108,6.601217905922097
2019-10-15,6.273126652807842,6.599281922458123
2019-11-01,6.12692720928323,6.607869104928533
2019-11-15,6.130131227149029,6.610584272269105
2019-12-01,6.128281615454731,6.609132242999927
2019-12-15,6.1304956853001045,6.606325381795201
2020-01-01,6.126025836353637,6.587843881012934
2020-01-15,6.127925118388319,6.566662998538702
2020-02-01,6.1264923411749175,6.5858497995202985
2020-02-15,6.121759889965547,6.582344297294791
