Date,Kigali,Mulindi
2016-01-01,6.070382203918308,5.641834709213029
2016-01-15,6.036357173261998,5.590070070633579
2016-02-01,6.056300376498575,5.520255181400469
2016-02-15,6.0050341779078815,5.661816553147137
2016-03-01,5.9455523460825646,5.628362039010801
2016-03-15,5.8929182136723295,5.595896513624416
2016-04-01,5.854389601226159,5.538340130238807
2016-04-15,5.8814509173696505,5.624959600909211
2016-05-01,5.890037364836552,5.624882215442379
2016-05-15,5.853221623253579,5.635201908939239
2016-06-01,5.890362199234257,5.550338028338687
2016-06-15,5.92439075100964,5.465173630459656
2016-07-01,5.902680216907551,5.490147941576294
2016-07-15,5.951651236247045,5.631986117942213
2016-08-01,5.954290596024135,5.58416485436128
2016-08-15,5.9042431617549855,5.572260830406624
2016-09-01,5.913236441169735,5.59139861206696
2016-09-15,5.921032241515324,5.776637736633431
2016-10-01,6.008580251512054,5.761590154294152
2016-10-15,5.9850506073695025,5.764392901832001
2016-11-01,5.928936826906347,5.730855800119232
2016-11-15,5.975777264120205,5.746202822475705
2016-12-01,5.963533037142585,5.722576403498153
2016-12-15,6.015791735174351,5.667216476381894
2017-01-01,5.979062459416928,5.516176297940057
2017-01-15,5.926263505101222,5.4520552445734545
2017-02-01,6.022949139096596,5.423777151969351
2017-02-15,6.034641208351415,5.392684330263794
2017-03-01,6.035377742432729,5.294565084698854
2017-03-15,6.02979299071882,5.489476938442125
2017-04-01,6.027803291878598,5.66201197837778
2017-04-15,6.068591596446832,5.676628596003036
2017-05-01,6.061243699318592,5.69840076623483
2017-05-15,6.043174239652624,5.846820261106045
2017-06-01,6.058110932608352,5.831918598444783
2017-06-15,6.053366294244605,5.910030184163604
2017-07-01,5.998734630366377,5.753552369086058
2017-07-15,5.981490674658081,5.602420850616872
2017-08-01,6.034597241576024,5.565212615754572
2017-08-15,6.034166389744794,5.463345642025259
2017-09-01,6.02454403925959,5.451231177126585
2017-09-15,5.992748444636009,5.934226873016353
2017-10-01,6.008842541881721,5.600286241203884
2017-10-15,6.001054548740154,5.632276582630178
2017-11-01,6.008996363851821,5.592870173957543
2017-11-15,6.023010932408279,5.583170796389558
2017-12-01,6.040777869158783,5.568991614788335
2017-12-15,6.039446517702006,5.394439712469995
2018-01-01,6.087828339367025,5.370388466238035
2018-01-15,6.063056437291688,5.347157499748326
2018-02-01,6.056438143849156,5.288709020038852
2018-02-15,6.026183318279003,5.228844529266213
2018-03-01,5.5909322845309815,5.232869415317401
2018-03-15,5.56188544772143,5.197638295334497
2018-04-01,5.527471364087863,5.142107435300787
2018-04-15,5.481561363473918,5.107348798869858
2018-05-01,5.533698171898602,5.123220521966893
2018-05-15,5.542255412020562,5.135125024593336
2018-06-01,5.299068563155487,5.195605581273852
2018-06-15,5.4004775693977205,5.14583535102414
2018-07-01,5.410059494532649,5.203160925402773
2018-07-15,5.401591898315803,5.22391072107835
2018-08-01,5.294859172355196,5.195454600450221
2018-08-15,5.297555326502216,5.193624403653985
2018-09-01,5.293802470598628,4.94081529973908
2018-09-15,5.011338800119288,4.908529306253067
2018-10-01,5.016584576725163,4.929573199735533
2018-10-15,5.019270622315193,4.947811658333048
2018-11-01,5.358025545490209,4.968854076868145
2018-11-15,5.378568351802099,5.054543575634109
2018-12-01,5.4321067001287755,5.1367025815830845
2018-12-15,5.447376625642572,5.260499252312756
2019-01-01,5.404819464612802,5.258215990420927
2019-01-15,5.5279841892923836,5.305714382026771
2019-02-01,5.528546908354297,5.306277101088684
2019-02-15,5.39301627935272,5.297508060137905
2019-03-01,5.392037115288017,5.280119199084031
2019-03-15,5.491974740817798,5.267062842446847
2019-04-01,5.4842071371710155,5.262835065505188
2019-04-15,5.545228445913004,5.301949986189738
2019-05-01,5.484686965020713,5.33928524738669
2019-05-15,5.465558602968684,5.383422906042537
2019-06-01,5.4659518672576795,5.383816170331533
2019-06-15,5.462922414617662,5.380478745406587
2019-07-01,5.577731186615705,5.4044184579211825
2019-07-15,,
2019-08-01,5.7740598272866634,
2019-08-15,5.704422129605038,5.472979775476133
2019-09-01,5.600975532047153,5.4922423319106874
2019-09-15,5.655936394577584,5.505577188486587
2019-10-01,5.652093666591089,5.544204704579903
2019-10-15,5.628961640182937,5.5792437990639705
2019-11-01,5.675344356218087,
2019-11-15,5.9109087142332,
2019-12-01,5.951268432827086,
2019-12-15,5.940914398557166,
2020-01-01,5.872141104413873,
2020-01-15,5.815964772281768,
2020-02-01,5.583922367286838,
2020-02-15,5.514490722865772,
