Date,Nairobi,Mombasa
2016-01-01,6.976395953810355,7.011797880861271
2016-01-15,6.9644286955730585,6.869118515768734
2016-02-01,6.969037625026219,6.770870059782187
2016-02-15,6.872958698013008,6.76709830731353
2016-03-01,6.891196321007663,6.691068675872469
2016-03-15,6.850134914610164,6.79857441915222
2016-04-01,6.849735160492912,6.685070563227127
2016-04-15,6.8645397490665605,6.702401008790614
2016-05-01,6.915992455889184,6.867249393766345
2016-05-15,6.955187404001223,6.861002970122384
2016-06-01,6.948831064537871,6.932918021314576
2016-06-15,6.944306600230055,6.903042246516339
2016-07-01,6.942049186344503,6.894927304907512
2016-07-15,6.946164689344923,6.9188405850703685
2016-08-01,6.9462269934952445,6.737239616830106
2016-08-15,6.943163750346061,6.734416965742569
2016-09-01,6.9450421241959,6.73436534164682
2016-09-15,6.941933282474813,6.614026408712523
2016-10-01,6.9386100362728955,6.756512518910817
2016-10-15,6.934382869273539,6.778436856827605
2016-11-01,6.927921658868566,6.7714821762861295
2016-11-15,6.92254178779225,6.756838142226955
2016-12-01,6.916948244452567,6.813057433114338
2016-12-15,6.909702542280784,6.807402818294747
2017-01-01,6.912848604823,6.794897318135682
2017-01-15,6.879978348189089,6.7756642982529165
2017-02-01,6.813519155821566,6.60464256152942
2017-02-15,6.742404429030368,6.599941747504524
2017-03-01,6.7434696858768275,6.598865617933149
2017-03-15,6.7309748971348045,6.589083303411035
2017-04-01,6.937123713238327,6.679490336957013
2017-04-15,6.723580933077895,6.733282311182533
2017-05-01,6.862594086080313,6.864149814808358
2017-05-15,6.918917142641159,6.85876829595066
2017-06-01,6.734997450714313,6.874203250480176
2017-06-15,6.764585191897196,6.580765507482219
2017-07-01,6.839996602265405,6.52377822254869
2017-07-15,6.847582666910338,6.519129719455744
2017-08-01,6.7840875178290085,6.383011590139608
2017-08-15,6.826732031130862,6.46176946774553
2017-09-01,6.8919829141380236,6.4653329352608715
2017-09-15,6.754143476901811,6.487909947857514
2017-10-01,6.737814618376857,6.470984437986072
2017-10-15,6.736894959332139,6.469429439723351
2017-11-01,6.736492478697291,6.628412604751884
2017-11-15,6.7518580805548085,6.541779977990761
2017-12-01,6.731676530817233,6.5280272758735896
2017-12-15,6.73286872857899,6.5189016141027984
2018-01-01,6.713360752204424,6.57158528980482
2018-01-15,6.716442261281928,6.482636796460079
2018-02-01,6.820726764022079,6.445359687071194
2018-02-15,6.8266658924364245,6.375855320215022
2018-03-01,6.795454701147532,6.369679727880385
2018-03-15,,6.289360754835888
2018-04-01,,6.204069187283272
2018-04-15,,6.209213152554973
2018-05-01,6.65984862004232,6.283820184229285
2018-05-15,6.659054816764169,6.426382342104081
2018-06-01,6.360634965102319,6.171155181608194
2018-06-15,6.365110227145485,6.123429296273629
2018-07-01,6.499832687846701,6.069001603357522
2018-07-15,6.438290944897186,6.1272894301002605
2018-08-01,6.436750223139949,6.292523541398679
2018-08-15,6.429675613045191,6.246687611708076
2018-09-01,6.4219548838385405,6.280856042868541
2018-09-15,6.477993233832854,6.28329354413385
2018-10-01,6.493962453213951,6.119952297273673
2018-10-15,6.430157040868091,6.154875481614765
2018-11-01,6.423004324293556,6.248201599913629
2018-11-15,6.389637060938853,6.29959078025407
2018-12-01,6.448309439533206,6.473447727488291
2018-12-15,6.476152738164056,6.4748845071760615
2019-01-01,6.4769465579129,6.507450012206315
2019-01-15,6.41964703596198,6.4102698741493835
2019-02-01,6.4209079730420875,6.485114874213098
2019-02-15,6.508657350387003,6.538350743312149
2019-03-01,6.592006318184378,6.47229517285478
2019-03-15,6.553918725067488,6.465871400611338
2019-04-01,6.456960017389824,6.516996230833884
2019-04-15,6.460717296052026,6.6723808111299965
2019-05-01,6.6746858472233495,6.855009401354631
2019-05-15,6.863783054289599,6.811751864606289
2019-06-01,6.8543383486645615,6.809320131517678
2019-06-15,6.921842013395526,6.754294501872879
2019-07-01,6.923450998784079,6.638341605909239
2019-07-15,6.918950045320755,6.645512679564718
2019-08-01,6.9755659902614235,6.440535677798616
2019-08-15,6.974806897716756,6.788965243418817
2019-09-01,6.921444217738019,6.783493904975461
2019-09-15,6.917661375862936,6.78426805329538
2019-10-01,6.779293171834601,6.782391204850188
2019-10-15,6.779838253727508,6.733739991200571
2019-11-01,6.845138358506392,
2019-11-15,6.8481759593307014,
2019-12-01,6.847103084076553,
2019-12-15,6.850003535551118,
2020-01-01,6.846391191969041,
2020-01-15,6.842472292560199,6.378314733877888
2020-02-01,6.844251100331429,6.343637873840573
2020-02-15,6.841224378842866,6.277338121783991
