Date,Mulindi,Kigali
2016-01-01,6.569617819009791,6.60766588664732
2016-01-15,6.50562523792878,6.610654572924529
2016-02-01,6.4648259307598455,6.527022138629751
2016-02-15,6.366738470251616,6.442398033096756
2016-03-01,6.357318672267458,6.452704987440505
2016-03-15,6.300594244635564,6.4211218419049745
2016-04-01,6.278478913332269,6.3818572677861045
2016-04-15,6.453798468733787,6.41215791168947
2016-05-01,6.524424474867103,6.417968668847862
2016-05-15,6.5129395071643295,6.395864436139286
2016-06-01,6.4077323489769,6.4089058284778835
2016-06-15,6.31503449951175,6.4016191643122715
2016-07-01,6.3491209569008795,6.378190424051511
2016-07-15,6.300669826323784,6.356308915970608
2016-08-01,6.3525354561588125,6.342013303231424
2016-08-15,6.345718707386183,6.3408838873316
2016-09-01,6.417653366639447,6.330911713184831
2016-09-15,6.4276473327449715,6.3556792310702805
2016-10-01,6.43371343506239,6.439363167604508
2016-10-15,6.440849847951568,6.480043589115258
2016-11-01,6.4506712277613385,6.474282247601098
2016-11-15,6.327422859653935,6.47109870135023
2016-12-01,6.318002160215768,6.524600555311195
2016-12-15,6.3223598590589045,6.5255426678105755
2017-01-01,6.282798018061442,6.475499345730819
2017-01-15,6.323144869517995,6.4639965817871365
2017-02-01,6.2995639049086956,6.451213162169567
2017-02-15,6.292002087088234,6.443533324611391
2017-03-01,6.304604106173052,6.442376201211883
2017-03-15,6.3105279105676155,6.436966041172141
2017-04-01,6.314460248915133,6.440075778214787
2017-04-15,6.305578577319647,6.463288771472494
2017-05-01,6.289778099267678,6.442049560979761
2017-05-15,6.270815856207698,6.462544947443345
2017-06-01,6.274841269087849,6.403458646909942
2017-06-15,6.084477684526653,6.41471937139723
2017-07-01,6.070379167864003,6.475176050086961
2017-07-15,6.003089786461543,6.446638099291727
2017-08-01,5.982706299728344,6.459817760557138
2017-08-15,5.996583678595751,6.438948204351826
2017-09-01,6.003796407065341,6.430693375926778
2017-09-15,6.033991403170058,6.422478174743804
2017-10-01,6.047192347256588,6.414993285944068
2017-10-15,6.055343352107502,6.445740370001599
2017-11-01,6.066684859866918,6.451586290392824
2017-11-15,6.07396097887505,6.469509205980361
2017-12-01,6.081830324287008,6.474646642455611
2017-12-15,6.065341284082621,6.478276715555951
2018-01-01,5.854634452199313,6.478518161893035
2018-01-15,5.906175380341573,6.478694573112903
2018-02-01,5.862135448073135,6.457100498300085
2018-02-15,5.863045001954365,6.395930343785088
2018-03-01,5.894267897562766,6.335332305585795
2018-03-15,5.932652055287233,6.306490925556851
2018-04-01,5.9480501100060765,6.18968824395645
2018-04-15,6.107226246852279,6.2245899073714615
2018-05-01,6.106559186584045,6.211731714648499
2018-05-15,5.965857868105844,6.241209328100147
2018-06-01,6.003899360423918,6.117567405851823
2018-06-15,6.095560858984532,6.188758733831661
2018-07-01,5.86745995162506,6.066910390681981
2018-07-15,5.8249832226921185,6.053190075962875
2018-08-01,5.859684103370586,5.988006352915141
2018-08-15,5.8392306394449305,5.990702507062162
2018-09-01,5.828479310186799,6.048587957805855
2018-09-15,5.865998656947561,6.111864964969682
2018-10-01,6.022947131742054,6.117110741575557
2018-10-15,6.117882910983303,6.117882910983303
2018-11-01,6.104158632336177,6.114812486133453
2018-11-15,6.075747795889982,6.117133012052837
2018-12-01,6.078000995838175,6.10092178002919
2018-12-15,6.098951846184994,6.153694269392262
2019-01-01,6.094006243956651,6.190398089631717
2019-01-15,6.069454318059752,6.058201002373025
2019-02-01,6.0951313656058135,6.124458980700333
2019-02-15,6.137308228419308,6.17333983979022
2019-03-01,6.085184295847962,6.17692304328469
2019-03-15,6.0809385688929325,6.1851219213777435
2019-04-01,6.0951668767721845,6.272019544272039
2019-04-15,6.107214464870389,6.1696200310578195
2019-05-01,6.119951805963192,6.196981814994793
2019-05-15,6.197374924687783,6.199957793106037
2019-06-01,6.199490842288225,6.157305325363597
2019-06-15,6.2137274845786115,6.156069595177607
2019-07-01,6.205382227431731,6.198301556359853
2019-07-15,,6.238822015055675
2019-08-01,,6.246327730506429
2019-08-15,6.179920278168415,6.24697062490582
2019-09-01,6.202140322895448,6.205457075521442
2019-09-15,6.172727097812049,6.233701501018683
2019-10-01,6.193690949023833,6.214141559495124
2019-10-15,6.159841600773642,6.2057513020777195
2019-11-01,,6.161263440769722
2019-11-15,,6.283678256888192
2019-12-01,,6.402695676499886
2019-12-15,,6.515501844392555
2020-01-01,,6.492717592138983
2020-01-15,,6.50794577195153
2020-02-01,,6.370257147920791
2020-02-15,,6.327826025278375
