Date,Masindi,Busia
2016-01-01,5.275479556124178,5.36207779532648
2016-01-15,5.112551408384965,5.28363414666162
2016-02-01,5.193232940612374,5.405565575822368
2016-02-15,5.262470614036932,5.385648973011552
2016-03-01,5.291061483717872,5.463674226384866
2016-03-15,5.3013633293406315,5.477292535162619
2016-04-01,5.360002190382771,5.460621755745066
2016-04-15,5.384874158522637,5.532574725528885
2016-05-01,5.385272553728783,5.50402977358301
2016-05-15,5.488427863115462,5.534768200374164
2016-06-01,5.501279277433299,5.637730380161156
2016-06-15,5.500265656213766,5.616097471738887
2016-07-01,5.485513885498625,5.6194157628448895
2016-07-15,5.4884566541889885,5.634434821290053
2016-08-01,5.453558019490573,5.469654946532747
2016-08-15,5.35787309871949,5.456208999440352
2016-09-01,5.351244553914868,5.4980504777480865
2016-09-15,5.47078410184427,5.6144753223593185
2016-10-01,5.462935610364402,5.574993019280119
2016-10-15,5.445999762404194,5.571987744855858
2016-11-01,5.546659148996874,5.665746161968274
2016-11-15,5.552289159742523,5.61794312996396
2016-12-01,5.544493151148241,5.6592902186260625
2016-12-15,5.549632479119975,5.657481000326382
2017-01-01,5.54674686835175,5.732630316712065
2017-01-15,5.595701695395968,5.756137415357606
2017-02-01,5.642371381028475,5.714467684831294
2017-02-15,5.635845373847415,5.727483129399476
2017-03-01,5.675177687462979,5.869151850657754
2017-03-15,5.868849431235698,5.998561595793225
2017-04-01,5.897916187093915,5.959988615736292
2017-04-15,5.893859837756065,6.002421144032829
2017-05-01,5.886718728325191,6.0187784503382575
2017-05-15,5.959743895809117,6.03479995022846
2017-06-01,6.00134660082542,6.074183924777686
2017-06-15,6.005981854153889,5.659705617436055
2017-07-01,5.535290529329386,5.528147641817006
2017-07-15,5.312198590938724,5.460618596056998
2017-08-01,5.368581761113166,5.439461623410591
2017-08-15,5.368956130992608,5.525192317310887
2017-09-01,5.41895718941226,5.5759271550088
2017-09-15,5.3563303703594904,5.540051507507869
2017-10-01,5.294200015198664,5.377670905866268
2017-10-15,5.280381673081202,5.3681477670877875
2017-11-01,5.1520064984226215,5.2868257212315735
2017-11-15,5.074272492658195,5.198209393888956
2017-12-01,5.074221723464717,5.28116832756406
2017-12-15,5.078458177437094,5.241253311880692
2018-01-01,5.068819317163852,5.240375499687569
2018-01-15,5.074360892411804,5.223738293486406
2018-02-01,5.149232731651864,5.209250741378117
2018-02-15,5.146848729373835,5.3214082808323
2018-03-01,5.139302426889725,5.237904403694265
2018-03-15,5.132759470328324,5.161002682641719
2018-04-01,5.126191201696839,5.157121502388198
2018-04-15,5.123795709372973,5.17731166271308
2018-05-01,5.116156585835759,5.136990672738601
2018-05-15,5.111724038485514,5.163281848150364
2018-06-01,5.093877129023532,5.123095675022673
2018-06-15,5.072644476051474,5.136495948038006
2018-07-01,5.067713746135665,5.123953464458541
2018-07-15,4.544330850840772,4.710315988315033
2018-08-01,4.492688200916857,4.709989476606838
2018-08-15,4.478766847861266,4.674075600182032
2018-09-01,4.464766650080757,4.677959870541799
2018-09-15,4.491005807556552,4.630512510540956
2018-10-01,4.516574038681002,4.653049207349539
2018-10-15,4.641371777279842,4.897305151417043
2018-11-01,4.752465479950549,4.981561429792054
2018-11-15,4.760818943546503,5.031693897681903
2018-12-01,4.853675768371139,5.035434103522495
2018-12-15,4.86609331605545,5.042843827799949
2019-01-01,4.942049894503591,5.111948931298989
2019-01-15,4.946942438619464,5.131306897043219
2019-02-01,5.033716055574165,5.145237330006572
2019-02-15,5.23877496105929,5.326166783174299
2019-03-01,5.227376269354647,5.281200919368427
2019-03-15,5.223509773156054,5.315883093287069
2019-04-01,5.303592620673194,5.49049406921397
2019-04-15,5.5467516479293515,5.6431166006786
2019-05-01,5.564680694997345,5.591947821337684
2019-05-15,5.520292489346226,5.533806208512949
2019-06-01,5.4791271644977835,5.562437848935936
2019-06-15,5.539695727085255,5.638344808155095
2019-07-01,5.4441263027399,
2019-07-15,,
2019-08-01,,
2019-08-15,5.086228299901257,
2019-09-01,5.075033286849828,
2019-09-15,5.223319935534699,
2019-10-01,5.393261828560937,
2019-10-15,5.387802892630971,
2019-11-01,5.481495533484364,
2019-11-15,5.527281855864189,
2019-12-01,5.531926066476241,
2019-12-15,5.534926599493717,
2020-01-01,5.613902240403721,
2020-01-15,5.133041133779092,
2020-02-01,5.207854515918085,
2020-02-15,5.269516812452338,
