Date,Soroti,Tororo
2016-01-01,,5.366612950491872
2016-01-15,,5.340941584956898
2016-02-01,,5.3145937976166415
2016-02-15,,5.295622821353832
2016-03-01,,5.291061483717872
2016-03-15,,5.348429982859414
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,5.549749753989781
2016-06-01,,5.610142423642327
2016-06-15,,5.602991124233586
2016-07-01,,5.576141902958443
2016-07-15,,5.4923782278421704
2016-08-01,,5.423705056340891
2016-08-15,,5.360092855457803
2016-09-01,,5.454821743197266
2016-09-15,,5.5281612144275725
2016-10-01,,5.5139818386605155
2016-10-15,,5.555958906579959
2016-11-01,,5.635625854879024
2016-11-15,,5.656488286964094
2016-12-01,,5.725621390378153
2016-12-15,,5.695102992115967
2017-01-01,,5.643596694341668
2017-01-15,,5.687556151203077
2017-02-01,,5.72931576756422
2017-02-15,5.722318971851242,5.722318971851242
2017-03-01,5.779300962010302,5.7813879192895
2017-03-15,5.934618135666965,5.969114394466924
2017-04-01,6.056455533668441,5.9628779560878975
2017-04-15,6.052053768235239,5.964084995289282
2017-05-01,6.044489561326891,5.983435180334269
2017-05-15,5.993799400221612,6.007103365847976
2017-06-01,6.00134660082542,6.029826072147289
2017-06-15,5.716820491491519,5.797147848052577
2017-07-01,5.53261792194791,5.1801395887336295
2017-07-15,5.372561740665815,5.372561740665815
2017-08-01,5.422704208118649,5.366130350325041
2017-08-15,5.418839245740309,5.423792202869158
2017-09-01,5.520357303853989,5.527474771622853
2017-09-15,5.417449185415537,5.471308355088266
2017-10-01,5.354824637015098,5.342139477487782
2017-10-15,5.342936347741292,5.342936347741292
2017-11-01,5.157147897923041,5.154580502417795
2017-11-15,5.149173800831313,5.154315200331731
2017-12-01,5.146349104755109,5.075605806730655
2017-12-15,5.222295398136079,5.1529607047350146
2018-01-01,5.144123700227983,5.275061057675458
2018-01-15,5.149262200584922,5.133677469568224
2018-02-01,5.149232731651864,5.117816535418485
2018-02-15,5.1722953950349995,5.211709363575876
2018-03-01,5.179917146043915,5.204488406774421
2018-03-15,5.178569006359618,5.054234707216013
2018-04-01,5.126191201696839,5.094273598728534
2018-04-15,5.047672013900172,5.123795709372973
2018-05-01,5.039616508713424,5.039616508713424
2018-05-15,5.111724038485514,5.073983710502667
2018-06-01,5.029877546190572,5.044143123349394
2018-06-15,4.998536503897752,5.072644476051474
2018-07-01,4.913103824050048,5.064955123696586
2018-07-15,4.666220668449808,4.53969047128427
2018-08-01,4.549307094916364,4.526104197836701
2018-08-15,4.649584580173736,4.526622869038901
2018-09-01,4.637137876021543,4.507543104770602
2018-09-15,4.514828111541494,
2018-10-01,4.562665145881269,4.468255461410195
2018-10-15,4.705910298417414,4.641371777279842
2018-11-01,4.706655943919254,4.8450582667783735
2018-11-15,4.723078615563656,4.943140500340458
2018-12-01,4.944059829839408,4.944059829839408
2018-12-15,4.949208222765956,4.8042179123373625
2019-01-01,5.019239533194721,5.019239533194721
2019-01-15,5.029341970386531,5.100216309973188
2019-02-01,5.109427877309861,5.033716055574165
2019-02-15,5.270238230515075,5.300741684808489
2019-03-01,5.400438500735804,5.227376269354647
2019-03-15,5.223509773156054,5.223509773156054
2019-04-01,5.210398843775247,5.367203805187378
2019-04-15,5.528341086086172,5.550062909233008
2019-05-01,5.523180964090592,5.563053355337969
2019-05-15,6.016729375660117,5.520292489346226
2019-06-01,5.803827158986369,5.500180573695616
2019-06-15,5.532984292497268,5.579045065873803
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
