Date,Makueni,Meru
2016-01-01,,
2016-01-15,,
2016-02-01,5.672257771114077,
2016-02-15,5.607201430095136,
2016-03-01,,
2016-03-15,5.462824809370439,
2016-04-01,5.333949816285504,
2016-04-15,5.349462241371606,
2016-05-01,5.481943663473394,
2016-05-15,5.472726447798502,
2016-06-01,5.467497122992928,
2016-06-15,5.462340657061212,
2016-07-01,5.536619845038593,
2016-07-15,5.533469158949079,
2016-08-01,5.533082327677524,
2016-08-15,5.5313670964152335,
2016-09-01,5.567668428834388,
2016-09-15,5.564559587113302,
2016-10-01,5.559682602097261,
2016-10-15,5.624883450128195,
2016-11-01,5.619678783453023,
2016-11-15,5.614208968142071,
2016-12-01,5.607915721583421,
2016-12-15,5.601256645229004,
2017-01-01,5.593780938502481,
2017-01-15,5.723653190756857,
2017-02-01,5.852145456585041,
2017-02-15,5.845122746289084,
2017-03-01,5.844499814945302,
2017-03-15,5.834345209659806,
2017-04-01,5.824267363044296,
2017-04-15,6.04216558817297,
2017-05-01,6.038454229669367,
2017-05-15,6.139219946114761,5.90073795790374
2017-06-01,6.135997253363657,6.018563318775577
2017-06-15,6.144547481161383,5.945009930296401
2017-07-01,6.063235281664326,5.937330373950593
2017-07-15,5.827897636831899,5.634288120264093
2017-08-01,5.821020721157123,5.533765360894449
2017-08-15,5.829008084019791,5.5816893021735945
2017-09-01,5.748807832035669,5.586206400697214
2017-09-15,5.661610234310085,5.5885506634405795
2017-10-01,5.649511699367608,5.552661873377691
2017-10-15,5.661378385458679,5.553816903873834
2017-11-01,5.585025615074678,5.551577681007138
2017-11-15,5.58235413943052,5.517815618292949
2017-12-01,5.5796897815577475,5.475790186539596
2017-12-15,5.571469864395836,5.4320373570426
2018-01-01,5.478975420118808,5.498531598912676
2018-01-15,5.461348591226512,5.491735200794748
2018-02-01,5.533103930409219,5.423259102304064
2018-02-15,5.493764995402652,5.385897971154036
2018-03-01,5.488603902297297,5.164511466149675
2018-03-15,5.519252533139814,5.160193797845806
2018-04-01,5.478688512148342,5.155915119885291
2018-04-15,5.482449361196043,5.158209693010464
2018-05-01,5.326627938133827,5.197347650111786
2018-05-15,5.329098957286026,5.201808719671995
2018-06-01,5.1552346087851975,5.178765106195391
2018-06-15,5.1597098708283635,5.206229886463256
2018-07-01,5.164205250909102,5.210725266543995
2018-07-15,5.174496609311817,5.209182167299708
2018-08-01,5.161121429907578,5.112331265738146
2018-08-15,5.156043492689143,5.001892812861884
2018-09-01,5.241962988902053,4.9968405308690675
2018-09-15,5.288499750771752,5.103675063759679
2018-10-01,5.288858747214537,5.105158680488635
2018-10-15,5.289217614825124,5.201825792710114
2018-11-01,5.327083827291157,5.2582349546524645
2018-11-15,5.31777835669995,5.311644059473479
2018-12-01,5.308385480337343,5.308385480337343
2018-12-15,5.310717953250545,5.3505638617977445
2019-01-01,5.311860916860842,5.29159019089933
2019-01-15,5.313002575596607,5.2289194583860645
2019-02-01,5.35619723604966,5.098820513093208
2019-02-15,5.315277230296298,5.040107668803134
2019-03-01,5.309640517859576,5.032484858394782
2019-03-15,5.301725070564156,5.023296203592858
2019-04-01,5.252987213063888,5.33110499232784
2019-04-15,5.469077126936084,5.399845335366764
2019-05-01,5.3670513864582405,5.472042830327415
2019-05-15,5.620864299829009,5.46671362000175
2019-06-01,5.618866877279254,5.468043987544671
2019-06-15,5.608769295986667,5.456538002545213
2019-07-01,5.600296329069907,5.4817455174944145
2019-07-15,5.591750957061961,5.506333205907609
2019-08-01,5.636546245502639,5.6224229125033105
2019-08-15,5.679420655000553,5.726426697376483
2019-09-01,5.72055307994949,5.696791260962384
2019-09-15,5.742961432185641,5.666250672617582
2019-10-01,5.7166284147808275,5.664594745414867
2019-10-15,5.68958317226612,5.665645859122193
2019-11-01,,5.664005046150279
2019-11-15,,5.705149165221846
2019-12-01,,5.635194816026122
2019-12-15,,5.621338118634811
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
