Date,Kamembe,Rubavu
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,
2016-06-01,,
2016-06-15,,
2016-07-01,,
2016-07-15,,
2016-08-01,,
2016-08-15,,
2016-09-01,,
2016-09-15,,
2016-10-01,,5.651750520791804
2016-10-15,,5.649020750759928
2016-11-01,,5.734632339712776
2016-11-15,,
2016-12-01,,
2016-12-15,,
2017-01-01,,6.018454861127589
2017-01-15,,6.006843991760561
2017-02-01,,5.760794496262825
2017-02-15,,5.749359274202527
2017-03-01,,5.751609569302084
2017-03-15,5.98790204900966,5.74518311730401
2017-04-01,5.8942718992540755,5.89075283403888
2017-04-15,5.745182453800344,5.899918442394678
2017-05-01,5.900901049243412,5.930995913042221
2017-05-15,6.041636172187146,5.984085323282617
2017-06-01,5.910786217851494,5.9242170766792706
2017-06-15,5.908853020990589,5.870432929539245
2017-07-01,5.911038020125913,5.996039937277953
2017-07-15,5.907886438557325,5.992348544630131
2017-08-01,5.860907057727357,5.989566770759652
2017-08-15,6.039276262897065,5.9663437934060335
2017-09-01,6.02454403925959,5.94885528903404
2017-09-15,6.327715790077802,5.964998531683107
2017-10-01,6.327670314523226,5.877659946578954
2017-10-15,6.334514734891375,5.672550481768117
2017-11-01,5.737791438939411,5.7138634852441745
2017-11-15,5.748963051232302,5.568306773757408
2017-12-01,6.039205129647183,5.71917618161065
2017-12-15,5.90606501640655,5.753511781008449
2018-01-01,5.906306462743634,5.78401688498536
2018-01-15,5.56778743432222,5.813493322943517
2018-02-01,5.344637572698077,5.593391776142832
2018-02-15,5.330928655379493,5.468670580540359
2018-03-01,5.325651148768367,5.506565245794442
2018-03-15,5.316212783347193,5.497126880373267
2018-04-01,5.352231273406693,5.52577788358153
2018-04-15,5.302409381441243,5.521324596645931
2018-05-01,5.293747502268011,5.520275151566461
2018-05-15,5.346195994673276,5.56039275999768
2018-06-01,5.296929524906737,5.142064814345821
2018-06-15,5.256929398529727,5.307103498620262
2018-07-01,5.224263701470508,5.69774156698443
2018-07-15,5.144446549724103,5.22622286083673
2018-08-01,5.299151024436736,5.301290062685486
2018-08-15,5.188851124901327,5.244679574454269
2018-09-01,5.135332129626853,5.130268827670307
2018-09-15,5.194617752869569,5.011338800119288
2018-10-01,5.14579630820517,5.140733006248622
2018-10-15,5.306952694766974,5.197753402801982
2018-11-01,5.52586908310351,5.228884617989416
2018-11-15,5.305237078716549,5.35609549595004
2018-12-01,5.313842779635041,5.360362795269934
2018-12-15,5.3095068314194505,5.368595747789457
2019-01-01,5.179697673286487,5.384858722050264
2019-01-15,5.305714382026771,5.446045746453948
2019-02-01,5.306277101088684,5.489326195201016
2019-02-15,5.014896625135084,5.39301627935272
2019-03-01,4.99243712663225,5.280119199084031
2019-03-15,4.9823262802248225,5.452329909470558
2019-04-01,5.099795438260684,5.444418887112604
2019-04-15,5.254218583368548,5.476472850497874
2019-05-01,5.241125482914446,5.465165493275693
2019-05-15,5.243758235200941,5.544773838522187
2019-06-01,5.143007782837518,5.5418503501851895
2019-06-15,5.108300859490772,5.575094213106259
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
