Date,Tororo,Eldoret
2016-01-01,5.380096300829159,5.791017958218954
2016-01-15,5.440210694952086,5.8041062257760805
2016-02-01,5.496915354410596,5.834943353391172
2016-02-15,5.4923331155998865,5.850807575439375
2016-03-01,5.745240071819211,5.873096704586412
2016-03-15,5.709080380694847,5.962614146993543
2016-04-01,,5.979918436570358
2016-04-15,,6.022037267856343
2016-05-01,,5.872809972160406
2016-05-15,5.549749753989781,5.83770019455193
2016-06-01,5.558112752196465,5.77287877254411
2016-06-15,5.558939057898939,5.740032636437907
2016-07-01,5.831958815207664,5.76654805609988
2016-07-15,5.832478206686689,5.76249940864602
2016-08-01,5.423705056340891,5.748074666761027
2016-08-15,5.422411619857062,5.761130752819049
2016-09-01,5.4159222635835285,5.732670950171132
2016-09-15,5.494131465841262,5.7592378765961625
2016-10-01,5.519599830964739,5.784959108361613
2016-10-15,5.552361780399109,5.8066511437122
2016-11-01,5.580410132276577,5.801029264357392
2016-11-15,5.5540732815360245,5.796530524936025
2016-12-01,5.544493151148241,5.844172582227764
2016-12-15,5.554071012816001,5.86522888560173
2017-01-01,5.72891973731553,5.774423233776715
2017-01-15,5.726895565763109,5.757408639722073
2017-02-01,5.72931576756422,5.8534185312318385
2017-02-15,5.722318971851242,5.845122746289084
2017-03-01,5.719024469005042,5.858293137077639
2017-03-15,5.790922231014981,5.887280644250899
2017-04-01,5.863462419105324,5.928171121944518
2017-04-15,5.910368925640306,5.91008200237439
2017-05-01,5.952030943892073,5.933769618058902
2017-05-15,5.9926827055215375,5.9740928864708565
2017-06-01,5.939471197107332,5.989883711081047
2017-06-15,5.801237833304102,6.009690004268804
2017-07-01,5.251160858481973,6.073295728690168
2017-07-15,5.429487677461824,6.029379691364929
2017-08-01,5.425681877812573,6.023203484368838
2017-08-15,5.423792202869158,6.06556446453141
2017-09-01,5.414996788196163,6.059360599142846
2017-09-15,5.442816399293959,6.060996296341867
2017-10-01,5.411983050855047,6.079294115126479
2017-10-15,5.398793679133816,6.042708817639776
2017-11-01,5.283441623247333,6.022856007684874
2017-11-15,5.286242743374279,5.981218563507332
2017-12-01,5.28116832756406,5.974129419654204
2017-12-15,5.287132917631387,5.997049812150177
2018-01-01,5.277331206209998,5.9807838502346105
2018-01-15,5.378572266814796,5.959756232188734
2018-02-01,5.402835490450782,6.06155848236434
2018-02-15,5.396443466775215,6.080973792620386
2018-03-01,5.390040984149822,5.993877811595779
2018-03-15,5.2688916446529035,5.946696547966754
2018-04-01,5.050067506224038,5.982593693069759
2018-04-15,5.123795709372973,5.963080083016065
2018-05-01,5.116156585835759,5.978165869373074
2018-05-15,5.114366047948352,6.0242361882539806
2018-06-01,5.093877129023532,5.958729846514008
2018-06-15,4.736172239430261,5.996751231048378
2018-07-01,4.726270496792432,5.958059278445527
2018-07-15,4.767474402154981,5.927021960450024
2018-08-01,4.770614098423273,5.947411942186758
2018-08-15,4.751633834527906,5.908133208882538
2018-09-01,4.743747611079802,5.8906584068911645
2018-09-15,4.514828111541494,5.869317746357778
2018-10-01,4.530625792136653,5.896353268839313
2018-10-15,4.74422916271955,5.885798596994018
2018-11-01,4.8450582667783735,5.890149877418732
2018-11-15,4.943140500340458,5.734641646343284
2018-12-01,4.944059829839408,5.755162258973262
2018-12-15,4.7681129076952455,5.85511987255014
2019-01-01,5.019239533194721,5.836734811944047
2019-01-15,5.131306897043219,5.854013175700994
2019-02-01,5.145237330006572,5.910303368174112
2019-02-15,5.300741684808489,5.925561294842738
2019-03-01,5.289896626335981,5.8983086283895005
2019-03-15,5.223509773156054,5.949016025755864
2019-04-01,5.273482819201824,5.946134393623834
2019-04-15,5.271703635316351,5.975209480270325
2019-05-01,5.760461405165304,5.98253617298053
2019-05-15,5.691784644209972,6.016759956921022
2019-06-01,5.866702707855173,5.979533842487524
2019-06-15,5.45602325136114,6.0074873905482375
2019-07-01,,6.127858506551461
2019-07-15,,6.0466557909083525
2019-08-01,,6.127535797362545
2019-08-15,,6.125921638498144
2019-09-01,,6.124307323654025
2019-09-15,,6.122648649807538
2019-10-01,,6.120992722604823
2019-10-15,,6.1197088421962365
2019-11-01,,6.12692720928323
2019-11-15,,6.130131227149029
2019-12-01,,6.128281615454731
2019-12-15,,6.1321637424008015
2020-01-01,,6.130046676134569
2020-01-15,,6.127925118388319
2020-02-01,,6.1264923411749175
2020-02-15,,6.123425169284609
