Date,Kisumu,Tororo
2016-01-01,5.663050592336632,5.366612950491872
2016-01-15,5.658422997047921,5.340941584956898
2016-02-01,5.603264899627125,5.3145937976166415
2016-02-15,5.658435682791919,5.295622821353832
2016-03-01,5.649614801044308,5.291061483717872
2016-03-15,5.6453157285155475,5.348429982859414
2016-04-01,5.644411917069104,
2016-04-15,5.661726557228723,
2016-05-01,5.662286980255242,
2016-05-15,5.656204742720281,5.549749753989781
2016-06-01,5.802409186260294,5.610142423642327
2016-06-15,5.798528843119516,5.602991124233586
2016-07-01,5.795368494635372,5.576141902958443
2016-07-15,5.792136561535243,5.4923782278421704
2016-08-01,5.791749730263689,5.423705056340891
2016-08-15,5.790034499001399,5.360092855457803
2016-09-01,5.79116715685274,5.454821743197266
2016-09-15,5.788058315131654,5.5281612144275725
2016-10-01,5.784959108361613,5.5139818386605155
2016-10-15,5.779982896630039,5.555958906579959
2016-11-01,5.77430474846033,5.635625854879024
2016-11-15,5.768359647969329,5.656488286964094
2016-12-01,5.763139938819203,5.725621390378153
2016-12-15,5.756721464185711,5.695102992115967
2017-01-01,5.747452117001923,5.643596694341668
2017-01-15,5.852975591899102,5.687556151203077
2017-02-01,5.852145456585041,5.72931576756422
2017-02-15,5.964318411082766,5.722318971851242
2017-03-01,6.070165435692222,5.7813879192895
2017-03-15,6.057741573514864,5.969114394466924
2017-04-01,6.045890772185865,5.9628779560878975
2017-04-15,6.1341510512095425,5.964084995289282
2017-05-01,6.2214516905106825,5.983435180334269
2017-05-15,6.219830190693429,6.007103365847976
2017-06-01,6.230121695754557,6.029826072147289
2017-06-15,6.234106630229812,5.797147848052577
2017-07-01,6.236415078500186,5.1801395887336295
2017-07-15,6.0489982865163086,5.372561740665815
2017-08-01,5.938092164952554,5.366130350325041
2017-08-15,5.832822456095262,5.423792202869158
2017-09-01,5.838244418011139,5.527474771622853
2017-09-15,5.838868489147492,5.471308355088266
2017-10-01,5.789942314452403,5.342139477487782
2017-10-15,5.838103387324477,5.342936347741292
2017-11-01,5.7086395710418545,5.154580502417795
2017-11-15,5.705968095397696,5.154315200331731
2017-12-01,5.700392527317466,5.075605806730655
2017-12-15,5.690898990958889,5.1529607047350146
2018-01-01,5.68728780791741,5.275061057675458
2018-01-15,5.595333601459176,5.133677469568224
2018-02-01,5.691082366106241,5.117816535418485
2018-02-15,5.6812723892289725,5.211709363575876
2018-03-01,5.7570714098044515,5.204488406774421
2018-03-15,5.67054198068604,5.054234707216013
2018-04-01,5.748978841888254,5.094273598728534
2018-04-15,5.670452751457429,5.123795709372973
2018-05-01,5.741984323720734,5.039616508713424
2018-05-15,5.575087141284258,5.073983710502667
2018-06-01,5.54308517019238,5.044143123349394
2018-06-15,5.516384814767096,5.072644476051474
2018-07-01,5.51754129358232,5.064955123696586
2018-07-15,5.521002374922609,4.53969047128427
2018-08-01,5.339466838321893,4.526104197836701
2018-08-15,5.330396879833921,4.526622869038901
2018-09-01,5.507666154635059,4.507543104770602
2018-09-15,5.44265043059901,
2018-10-01,5.512297429154828,4.468255461410195
2018-10-15,5.513197636284299,4.641371777279842
2018-11-01,5.5107485676315795,4.8450582667783735
2018-11-15,5.527413550334973,4.943140500340458
2018-12-01,5.4941026261324355,4.944059829839408
2018-12-15,5.5611286309050945,4.8042179123373625
2019-01-01,5.65008736520297,5.019239533194721
2019-01-15,5.493305968234323,5.100216309973188
2019-02-01,5.437422675972245,5.033716055574165
2019-02-15,5.427966688336249,5.300741684808489
2019-03-01,5.422118501286266,5.227376269354647
2019-03-15,5.476715704823058,5.223509773156054
2019-04-01,5.476130764378098,5.367203805187378
2019-04-15,5.620836033319873,5.550062909233008
2019-05-01,5.878614745410771,5.563053355337969
2019-05-15,5.874398484848228,5.520292489346226
2019-06-01,5.872401062298474,5.500180573695616
2019-06-15,5.743380796726998,5.579045065873803
2019-07-01,5.841434452492073,
2019-07-15,5.930726323901292,
2019-08-01,5.864716772249512,
2019-08-15,,
2019-09-01,5.717985684444245,
2019-09-15,5.718253174917198,
2019-10-01,5.714671083395043,
2019-10-15,5.740418591141374,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,5.904179009916696,
2020-02-15,5.896530832160317,
