Date,Ngozi,Ruhengeri
2016-01-01,,
2016-01-15,,5.686382421893085
2016-02-01,,5.482212555954618
2016-02-15,,5.343785744428647
2016-03-01,,5.317259692350921
2016-03-15,,5.462798568075496
2016-04-01,,5.5898220860739505
2016-04-15,,5.64041055206493
2016-05-01,,5.723646630114792
2016-05-15,,5.633496878688155
2016-06-01,,5.647826310704707
2016-06-15,,5.4429729204794635
2016-07-01,,5.637366665183314
2016-07-15,,5.828100996868503
2016-08-01,,5.818129277922894
2016-08-15,,5.873783954270277
2016-09-01,,5.746517346180854
2016-09-15,,5.757736228865874
2016-10-01,,5.820826850835738
2016-10-15,,5.882635601941433
2016-11-01,,5.877459274311107
2016-11-15,,5.87745251160922
2016-12-01,,5.932549491622618
2016-12-15,,5.935301379881539
2017-01-01,,5.783709938631334
2017-01-15,,5.771307253815568
2017-02-01,,5.758748808539532
2017-02-15,,5.749359274202527
2017-03-01,,5.748888479187723
2017-03-15,,5.745864548335489
2017-04-01,,5.742168303048542
2017-04-15,,5.896988466668348
2017-05-01,6.274015287068532,5.902075447499353
2017-05-15,6.369134044251951,5.90847120073121
2017-06-01,6.276161683759354,5.909609747127564
2017-06-15,6.364820103532932,5.907674470471146
2017-07-01,6.367989462999362,5.352890014635128
2017-07-15,6.363567750828419,5.576571269155546
2017-08-01,6.358082072153762,5.572610923236017
2017-08-15,6.261654122552297,5.657981515716713
2017-09-01,6.245282409995431,5.8024266553006925
2017-09-15,6.2384095299604425,5.79558037972506
2017-10-01,6.230014936380357,5.8770732642505985
2017-10-15,6.228869104423331,5.8797785777764275
2017-11-01,6.313681937899138,5.888558694303065
2017-11-15,6.233045042035486,5.902518315739796
2017-12-01,6.141727443695866,5.571507339385583
2017-12-15,6.146922782984865,5.570072281113153
2018-01-01,6.0467499218923075,5.5703137274502375
2018-01-15,6.052198560566379,5.446643050963132
2018-02-01,6.013160074860922,5.39362695989835
2018-02-15,6.000084065035526,5.226505346913041
2018-03-01,5.9354275585128615,5.218883173342661
2018-03-15,5.804897977400199,5.209444807921487
2018-04-01,5.801812236955429,5.169102939642798
2018-04-15,5.798297296527306,5.302409381441242
2018-05-01,5.547036430877266,5.386743758941939
2018-05-15,5.461644335296973,5.393635719744837
2018-06-01,5.56306778546031,5.5153510240897505
2018-06-15,5.471353148921878,5.404346046175641
2018-07-01,5.572823964055831,5.2125949576361315
2018-07-15,5.5777379765123305,5.141937138118677
2018-08-01,5.486095427777976,5.139273772052277
2018-08-15,5.6607107800765375,5.347775083481243
2018-09-01,5.767163274813551,5.293802470598628
2018-09-15,5.768670592030551,5.299020872571068
2018-10-01,5.917726034587793,5.083275951223835
2018-10-15,6.194685025251659,5.0859619968138645
2018-11-01,6.18781457811301,5.251980332784065
2018-11-15,5.7636072881951055,5.281033476975662
2018-12-01,5.800746835144563,5.313842779635041
2018-12-15,6.053106908196236,5.322465976061956
2019-01-01,6.130679026381403,5.255925038674372
2019-01-15,6.133839127518489,5.202292790873619
2019-02-01,5.718906462967478,5.261626827350946
2019-02-15,5.88163779480016,5.295327034191545
2019-03-01,5.473115000427939,5.422927602307356
2019-03-15,5.357885098819039,5.359956589339543
2019-04-01,5.3466568286844325,5.444418887112604
2019-04-15,5.344411151746889,5.478250628743873
2019-05-01,5.545029386719342,5.465165493275693
2019-05-15,5.3552366962848295,5.465558602968683
2019-06-01,5.471423843348001,5.504621008416834
2019-06-15,5.652946199520379,5.548958411605434
2019-07-01,5.797853100168331,
2019-07-15,5.793751934386212,5.632138716262267
2019-08-01,5.98489248111995,5.620340833198896
2019-08-15,6.0364631851751085,5.593844477669925
2019-09-01,6.027916161448382,5.495615016389327
2019-09-15,6.023196326604239,5.591207921877089
2019-10-01,6.221461981588034,5.550513873773169
2019-10-15,6.296980019745178,5.568693588168818
2019-11-01,6.290350690181669,5.614719734401652
2019-11-15,6.283723763877686,5.829185556865135
2019-12-01,6.277910584176898,5.773842846645338
2019-12-15,6.34282247703065,5.747925345648429
2020-01-01,6.259648676664725,5.72131821467929
2020-01-15,6.166593108832996,5.710345222818582
2020-02-01,6.203994501084597,5.533089301487605
2020-02-15,5.662329938968816,5.450571205152485
