Date,Busia,Owino
2016-01-01,6.484273434130676,6.549089386259068
2016-01-15,6.5097193815338565,6.577317384946351
2016-02-01,6.487370746174096,6.518566601942577
2016-02-15,6.480575301000738,6.535536160018683
2016-03-01,6.54795668949815,6.677355844837763
2016-03-15,6.549507351979705,6.605846195190644
2016-04-01,6.504827322206012,6.540388189406946
2016-04-15,6.544519930548691,6.552406136343881
2016-05-01,6.333078952381815,6.591873480460989
2016-05-15,6.351968029604088,6.615933575438553
2016-06-01,6.348159339610958,6.449038453929686
2016-06-15,6.326456781179954,6.477066337580395
2016-07-01,6.30475379309067,6.437522699974859
2016-07-15,6.336876534329248,6.44215294216079
2016-08-01,6.333496132248131,6.436160547191164
2016-08-15,6.44080757466837,6.5423232365565624
2016-09-01,6.459829224395914,6.556107830249778
2016-09-15,6.5521888183429535,6.589533478879123
2016-10-01,6.557256755296448,6.5743119407576085
2016-10-15,6.472967513574678,6.398114045424532
2016-11-01,6.362495507720012,6.381882860752917
2016-11-15,6.358446097206194,6.43848880487973
2016-12-01,6.477459806090242,6.500073397992073
2016-12-15,6.52600340998999,6.509105407369265
2017-01-01,6.527799111664322,6.6114883655834955
2017-01-15,6.521873300117559,6.61245173027075
2017-02-01,6.5682621866316495,6.607299149439882
2017-02-15,6.755208606620563,6.749134376931457
2017-03-01,6.8144264820429035,6.788620214694112
2017-03-15,6.836408044213878,6.867545437902375
2017-04-01,6.763172859837966,6.861353697393771
2017-04-15,6.755151279648352,6.856648166002482
2017-05-01,6.757273450876662,6.848876293235224
2017-05-15,6.5686053536510105,6.515723917055652
2017-06-01,6.45524907719179,6.443179353104459
2017-06-15,6.335859699897743,6.369176518407709
2017-07-01,6.39597073814894,6.451225325979993
2017-07-15,6.452166065288748,6.491195409194483
2017-08-01,6.478555173605915,6.4869349505875125
2017-08-15,6.474503260213176,6.484474118132993
2017-09-01,6.490188802656174,6.516910499473327
2017-09-15,6.587247809928879,6.618651356660965
2017-10-01,6.499956941318101,6.615360439861219
2017-10-15,6.395096163241861,6.39917401875369
2017-11-01,6.283574874774027,6.382430488835728
2017-11-15,6.212372552833423,6.299680577704196
2017-12-01,6.209992795585473,6.35930208488863
2017-12-15,6.35076064995387,6.424592157534765
2018-01-01,6.306302535228485,6.413767803545446
2018-01-15,6.359145339474154,6.459265399242641
2018-02-01,6.384164618504159,6.460625784598636
2018-02-15,6.585852906913254,6.566099178177021
2018-03-01,6.583474574587587,6.602245940175688
2018-03-15,6.551717638267006,6.620500447784904
2018-04-01,6.564760051068772,6.734581445098495
2018-04-15,6.562364558744906,6.745720776779637
2018-05-01,6.631283818798618,6.722959450631854
2018-05-15,6.258538428971502,6.386170099468836
2018-06-01,6.057030870876536,6.1455842682179815
2018-06-15,6.0213704836787825,6.172172096591272
2018-07-01,5.955502967877606,6.157100877128949
2018-07-15,5.960273905882792,6.153768763274872
2018-08-01,5.956033494853461,6.156908459543163
2018-08-15,6.056329551764917,6.140722794578813
2018-09-01,6.0521816504274195,6.223818801333028
2018-09-15,6.133655764325433,6.216999989388145
2018-10-01,6.126954902622972,6.309119362566396
2018-10-15,6.132401458663641,6.223781017326023
2018-11-01,5.996663085586993,6.137826569887441
2018-11-15,5.94231889202038,6.1471133046663935
2018-12-01,6.041642782338404,6.148032634165344
2018-12-15,6.064048048055822,6.154407268815136
2019-01-01,6.19304763747439,6.2906039276406345
2019-01-15,6.266651194980059,6.373813365371398
2019-02-01,6.4511225008960125,6.418604935085321
2019-02-15,6.477744607422322,6.455001152190991
2019-03-01,6.470879912437218,6.445987944428703
2019-03-15,6.490652074375765,6.546800532856458
2019-04-01,6.551501210703764,6.602490322579463
2019-04-15,6.604173346422462,6.626953374754281
2019-05-01,6.590809707238734,6.680488463777335
2019-05-15,6.5736796800094,6.671897308154846
2019-06-01,6.473166649246316,6.492660443927318
2019-06-15,6.4579911372117875,6.558265308079828
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
