Date,Kisumu,Eldoret
2016-01-01,6.869532808267993,7.169730221064618
2016-01-15,7.0948717242901775,7.169781299693236
2016-02-01,6.971540755244337,7.164037640079945
2016-02-15,6.985564269076629,7.213918601103608
2016-03-01,6.948897785174569,7.131450049086862
2016-03-15,7.052557650725206,7.196708247217881
2016-04-01,7.029015660711088,7.225408645736647
2016-04-15,7.127171735792931,7.222308078134845
2016-05-01,7.12976581891581,7.130526275226221
2016-05-15,7.1224147628539,7.138484680465788
2016-06-01,6.948605509106668,7.1147047574517055
2016-06-15,7.029962044808549,7.185533179420099
2016-07-01,6.942049186344503,7.217415203121175
2016-07-15,7.02330041822715,7.104158571442934
2016-08-01,7.024368132666589,7.112745547408739
2016-08-15,6.930038420484859,7.063341996728399
2016-09-01,6.935362813960995,7.0632233282827865
2016-09-15,6.97714818876588,7.019906024598643
2016-10-01,7.015977630384741,6.974265221590151
2016-10-15,6.925373799331172,6.925373799331172
2016-11-01,7.0049326700226935,6.965220476545805
2016-11-15,6.9139463944523865,7.041325323782217
2016-12-01,6.907881999214814,7.043914814405723
2016-12-15,6.901072009491244,7.181657794867471
2017-01-01,6.977555348687858,7.196991447154151
2017-01-15,6.951801807191196,7.178063486739246
2017-02-01,6.864325239480843,7.07928726505375
2017-02-15,6.944582851879534,7.070244375107997
2017-03-01,6.946053900229619,7.02606432745058
2017-03-15,6.933799958360894,6.974234509413568
2017-04-01,6.920344796109218,6.986230759292689
2017-04-15,6.91492613158999,6.97335492459719
2017-05-01,6.989626425105552,6.9945116326716015
2017-05-15,6.919551459186373,7.058458358826259
2017-06-01,6.624794310580699,7.018964189957595
2017-06-15,6.521788702681593,7.039271507476763
2017-07-01,6.613417721944589,7.010389588194085
2017-07-15,6.51976849303224,6.993516699015331
2017-08-01,6.448348150423448,6.976459410476465
2017-08-15,6.525969636655208,6.9963301184651465
2017-09-01,6.531391598571084,6.995046000138161
2017-09-15,6.533283900695433,7.004158506677808
2017-10-01,6.53518460689575,7.0053468530027905
2017-10-15,6.535069795951418,7.0057085474795375
2017-11-01,6.533681631450865,6.955571619226429
2017-11-15,6.529735458374706,6.850505613971238
2017-12-01,6.527071100501934,6.968037953216787
2017-12-15,6.5179429944415945,6.974104458361617
2018-01-01,6.628342258436647,7.011954858107188
2018-01-15,6.513527283479417,6.982421298598462
2018-02-01,6.520622171571741,7.0730694700285515
2018-02-15,6.509924588244713,6.895963409774932
2018-03-01,6.50303189297508,6.853034690300984
2018-03-15,6.499456590757622,6.789481133242815
2018-04-01,6.492168534934097,6.828998297479748
2018-04-15,6.5545011970797775,6.899877915621663
2018-05-01,6.607672225917502,6.91882058661167
2018-05-15,6.490754626020756,6.948053198475381
2018-06-01,6.357777820301539,6.86516405976562
2018-06-15,6.364396705887956,6.919208477838197
2018-07-01,6.365316822954006,6.8971242201142235
2018-07-15,6.367348986724408,6.904797775974861
2018-08-01,6.21427134449893,6.838662929643745
2018-08-15,6.205865617187821,6.887277541529345
2018-09-01,6.42328999752151,6.876305580516228
2018-09-15,6.4912217731960355,6.853637404309272
2018-10-01,6.360072958526515,6.853702869226978
2018-10-15,6.360973165655985,6.86633979008729
2018-11-01,6.479338798908584,6.817174982092692
2018-11-15,6.475432421101839,6.794639098883614
2018-12-01,6.474084062221822,6.792769087431823
2018-12-15,6.473614665735585,6.834473981467844
2019-01-01,6.4769465579129,6.841554553592427
2019-01-15,6.342045789938428,6.870297936691901
2019-02-01,6.485114874213098,6.848669086705626
2019-02-15,6.47743350993547,6.840555289988827
2019-03-01,6.47229517285478,6.89335353905524
2019-03-15,6.462133078500731,6.901152889403155
2019-04-01,6.456960017389824,6.92618209130074
2019-04-15,6.668356660830271,6.949464752589954
2019-05-01,6.724805798822783,6.974642576299176
2019-05-15,6.672684426990359,6.991319596919153
2019-06-01,6.669688502111016,6.994389141417234
2019-06-15,6.555150291213322,7.036000918758519
2019-07-01,6.600419154865418,6.974667010432691
2019-07-15,6.643727192545296,6.906071818556762
2019-08-01,6.698282486866792,6.9755659902614235
2019-08-15,6.750014843419091,6.974806897716756
2019-09-01,6.740048158465007,6.971849772522331
2019-09-15,6.740237913980303,6.971657374598371
2019-10-01,6.73904356075301,6.967801226486054
2019-10-15,6.739406991651777,6.938396168542174
2019-11-01,,6.9742250696704335
2019-11-15,,6.978269070785958
2019-12-01,,6.976537789283746
2019-12-15,,6.978747061850136
2020-01-01,,6.97722382479848
2020-01-15,,6.9756982639555725
2020-02-01,6.7419473163533254,6.974027477633943
2020-02-15,6.73514210205663,6.970485302343937
