Date,Kabale,Mulindi
2016-01-01,6.701852140811479,6.81738641762939
2016-01-15,6.701370265931681,6.8135210551647605
2016-02-01,6.700888158736531,6.807770681886676
2016-02-15,6.696305919925822,6.7760978809169945
2016-03-01,6.747314433444672,6.75549879438876
2016-03-15,6.743174060860236,6.752097401946285
2016-04-01,,6.736256897887701
2016-04-15,6.734841530009721,6.754797815745553
2016-05-01,6.769371524285239,6.767494833372926
2016-05-15,6.822492356596554,6.750147987945943
2016-06-01,6.792521356799219,6.7611142054171625
2016-06-15,6.761624268926409,6.745774752578109
2016-07-01,6.747550490779322,6.7484220841200795
2016-07-15,6.747654111243598,6.702427529643627
2016-08-01,6.676617289707049,6.688547499490726
2016-08-15,6.67576964936374,6.676085989263267
2016-09-01,6.669877482592703,6.656985645303576
2016-09-15,6.698488811606276,6.710253252164891
2016-10-01,6.722171093365387,6.698471867612233
2016-10-15,6.736131877407526,6.684263425495448
2016-11-01,6.747918247451214,6.665469807143367
2016-11-15,6.650603785065676,6.659403230216061
2016-12-01,6.6454878114017575,6.673209519653741
2016-12-15,6.71367257311054,6.681718944500208
2017-01-01,6.709005219374411,6.68441167711708
2017-01-15,6.646740803749382,6.67550015231221
2017-02-01,6.677944559785632,6.661708758240538
2017-02-15,6.673782636202998,6.652412085236046
2017-03-01,6.635611015110019,6.652013908456621
2017-03-15,6.7219391630175345,6.649542006323898
2017-04-01,6.721086458204746,6.645975163348919
2017-04-15,6.788462071485471,6.6477178106060135
2017-05-01,6.794677633103546,6.651141358838321
2017-05-15,6.802743518466312,6.658581387216461
2017-06-01,6.81029955490473,6.665767649019375
2017-06-15,6.81765089567165,6.655323236739954
2017-07-01,6.818594044146769,6.6607232367284945
2017-07-15,6.816275987714999,6.662003795379246
2017-08-01,6.841756325876922,6.657755920277486
2017-08-15,6.837859359975327,6.673914955157913
2017-09-01,6.856297778828265,6.670388654990838
2017-09-15,6.828146904917544,6.647264212055518
2017-10-01,6.824710669043093,6.630568861681154
2017-10-15,6.78559093189116,6.637074274733229
2017-11-01,6.671429464873556,6.6510176747532395
2017-11-15,6.700512893768329,6.664975966741286
2017-12-01,6.72941128792138,6.669561124827782
2017-12-15,6.791459411432239,6.668684569781263
2018-01-01,6.759759979614422,6.6689260161183475
2018-01-15,6.7566361287981715,6.667517666091672
2018-02-01,6.756606659865112,6.6649977390414215
2018-02-15,6.754222657587084,6.665818678860372
2018-03-01,6.720362186991064,6.661096265241573
2018-03-15,6.743758663329377,6.674697865768655
2018-04-01,6.789641222281523,6.664262563497018
2018-04-15,6.788237301679952,6.659809276561418
2018-05-01,6.805475249509322,6.653201819598088
2018-05-15,6.80437423335443,6.659005048665789
2018-06-01,6.785056492055889,6.647588603737463
2018-06-15,6.765332120597391,
2018-07-01,6.714994011752926,
2018-07-15,6.7207646585079175,
2018-08-01,6.716524247478587,6.600573046815747
2018-08-15,6.7007371741623745,6.617306296845496
2018-09-01,6.71657941770138,6.61440822419771
2018-09-15,6.681182754941851,6.623072924813738
2018-10-01,6.714846285049665,6.628318701419613
2018-10-15,6.71768342595075,6.627558448366056
2018-11-01,6.722600088969929,6.629100317627914
2018-11-15,6.676651637364539,6.636799746645856
2018-12-01,6.678660885227514,6.638192654794407
2018-12-15,6.685251759471619,6.663210625225972
2019-01-01,6.707752652457285,6.655321267645033
2019-01-15,6.736654824225794,6.630667434440515
2019-02-01,6.627869209643369,6.6404734313287825
2019-02-15,6.657638174942715,6.6191186462889
2019-03-01,6.644861137314954,6.608868074557321
2019-03-15,6.641552832590525,6.595873385409056
2019-04-01,6.687766090223947,6.583410267806092
2019-04-15,6.71114546597463,6.576270675760085
2019-05-01,6.710404103204066,6.570920669456183
2019-05-15,6.761325118056105,6.573683448504491
2019-06-01,6.709348194898656,6.588178004034094
2019-06-15,6.710343448305114,6.565125371416499
2019-07-01,6.706572548026639,6.555929656478118
2019-07-15,,
2019-08-01,6.698987818413443,
2019-08-15,6.696712784906028,6.527823990363879
2019-09-01,6.698618671297639,6.523308578377271
2019-09-15,6.697666798152629,6.511744944632696
2019-10-01,6.6941109837239425,6.49898560044542
2019-10-15,6.6888326020961735,6.48619570722927
2019-11-01,6.686167394112799,
2019-11-15,6.686257294259389,
2019-12-01,6.6853024405543255,
2019-12-15,6.690208244650055,
2020-01-01,6.685214353074378,
2020-01-15,6.686768439199186,
2020-02-01,6.685716070563467,
2020-02-15,6.68645276785693,
