Date,Kamembe,Bujumbura
2016-01-01,,
2016-01-15,,6.408324341733965
2016-02-01,,6.353128378275389
2016-02-15,,6.336082441729019
2016-03-01,,6.0243224761995995
2016-03-15,,6.081754265055646
2016-04-01,,6.079421874236625
2016-04-15,,6.012658472146446
2016-05-01,,6.0122833577436054
2016-05-15,,6.044289204334289
2016-06-01,,6.030347088356919
2016-06-15,,5.970643660133654
2016-07-01,,5.9878582125535535
2016-07-15,,5.992230878135337
2016-08-01,,6.116105350570477
2016-08-15,,6.170486997256343
2016-09-01,,6.172502792744242
2016-09-15,,6.176662946397443
2016-10-01,,6.182281440645778
2016-10-15,,6.171191488735813
2016-11-01,,6.413760208119562
2016-11-15,,6.400722503014258
2016-12-01,,6.473325892802677
2016-12-15,,6.462027826738963
2017-01-01,,6.528886297135772
2017-01-15,,6.567095540628625
2017-02-01,,6.565791312261545
2017-02-15,,6.626893541057757
2017-03-01,,6.4441581889473545
2017-03-15,5.98790204900966,6.37104727317358
2017-04-01,5.8942718992540755,6.365750932198069
2017-04-15,5.745182453800344,6.368858932941139
2017-05-01,5.900901049243412,6.431644231272116
2017-05-15,6.041636172187146,6.411198717252972
2017-06-01,5.910786217851494,6.4420558997442585
2017-06-15,5.908853020990589,6.445190089887184
2017-07-01,5.911038020125913,6.388341042609541
2017-07-15,5.907886438557325,6.363567750828419
2017-08-01,5.860907057727357,6.358082072153762
2017-08-15,6.039276262897065,6.3465897333580825
2017-09-01,6.02454403925959,6.3330119198705015
2017-09-15,6.327715790077802,6.325420906950073
2017-10-01,6.327670314523226,6.314275279998097
2017-10-15,6.334514734891375,6.270445531269072
2017-11-01,5.737791438939411,6.228508072910977
2017-11-15,5.748963051232302,6.236197132903801
2017-12-01,6.039205129647183,6.140419399035851
2017-12-15,5.90606501640655,6.147795002839551
2018-01-01,5.906306462743634,6.048689786710134
2018-01-15,5.56778743432222,5.869877003772425
2018-02-01,5.344637572698077,5.93648210791234
2018-02-15,5.330928655379493,5.93868912606712
2018-03-01,5.325651148768367,5.940901025927034
2018-03-15,5.316212783347193,5.9378057342078145
2018-04-01,5.352231273406693,5.994059433549353
2018-04-15,5.302409381441243,5.865792788148753
2018-05-01,5.293747502268011,5.5518173164776075
2018-05-15,5.346195994673276,5.991861148377614
2018-06-01,5.296929524906737,5.871952065562694
2018-06-15,5.256929398529727,5.734255192375172
2018-07-01,5.224263701470508,5.739145179503344
2018-07-15,5.144446549724103,5.746743757330513
2018-08-01,5.299151024436736,5.746305679565559
2018-08-15,5.188851124901327,5.7580391240371
2018-09-01,5.135332129626853,5.767163274813551
2018-09-15,5.194617752869569,5.765964230432808
2018-10-01,5.14579630820517,5.883137017005585
2018-10-15,5.306952694766974,5.910530293317847
2018-11-01,5.52586908310351,5.899837737788793
2018-11-15,5.305237078716549,6.265201241728431
2018-12-01,5.313842779635041,6.240344949622186
2018-12-15,5.3095068314194505,6.010941278942428
2019-01-01,5.179697673286487,6.018907569523006
2019-01-15,5.305714382026771,6.021847837462467
2019-02-01,5.306277101088684,6.0268902477366115
2019-02-15,5.014896625135084,6.019053847920166
2019-03-01,4.99243712663225,5.809843680184293
2019-03-15,4.9823262802248225,5.687188845961639
2019-04-01,5.099795438260684,5.449604797936875
2019-04-15,5.254218583368548,5.447359120999331
2019-05-01,5.241125482914446,5.502527869073664
2019-05-15,5.243758235200941,5.554811501226343
2019-06-01,5.143007782837518,5.681526905035536
2019-06-15,5.108300859490772,
2019-07-01,,
2019-07-15,,5.986837857767325
2019-08-01,,6.013330416440484
2019-08-15,,6.005691526508355
2019-09-01,,6.079310870571581
2019-09-15,,6.076621493277819
2019-10-01,,6.17640548697065
2019-10-15,,6.213731975652058
2019-11-01,,6.252669623213981
2019-11-15,,6.283723763877686
2019-12-01,,6.357064639876909
2019-12-15,,6.3513939580807905
2020-01-01,,6.319087004597455
2020-01-15,,6.314079924416923
2020-02-01,,6.2023750675322935
2020-02-15,,6.010636633237032
