Date,Tororo,Owino
2016-01-01,6.191026517045488,6.425219904546283
2016-01-15,6.270550272921105,6.55895576741423
2016-02-01,6.344213214797799,6.502364627366297
2016-02-15,6.33963097598709,6.494874353063846
2016-03-01,6.3912827831916825,6.618277430407989
2016-03-15,6.3362568312128476,6.605846195190644
2016-04-01,,6.4525903644475
2016-04-15,,6.552406136343881
2016-05-01,,6.583306706487137
2016-05-15,6.079721765282146,6.615933575438553
2016-06-01,6.134167266475047,6.254477586647204
2016-06-15,6.290847287159116,6.477066337580395
2016-07-01,6.290276681284751,6.436759632406356
2016-07-15,6.294792179027007,6.394081671682812
2016-08-01,6.436160547191164,6.457941355652555
2016-08-15,6.518242265563295,6.541643195727906
2016-09-01,6.514882438844119,6.556107830249778
2016-09-15,6.547504969030527,6.589533478879123
2016-10-01,6.541587156469973,6.5743119407576085
2016-10-15,6.441994004612874,6.398114045424532
2016-11-01,6.374409866289913,6.273557312836522
2016-11-15,6.245436340302469,6.300161239991715
2016-12-01,6.238087458923326,6.461141600786897
2016-12-15,6.297315023835952,6.506716735358224
2017-01-01,6.380702644998204,6.503766816133705
2017-01-15,6.423005711453711,6.540788747110095
2017-02-01,6.463255465422941,6.538853054717605
2017-02-15,6.456406483124705,6.638017812616077
2017-03-01,6.455593811015265,6.6359067418606585
2017-03-15,6.558496210449027,6.751808050114444
2017-04-01,6.555653119439313,6.750390632850896
2017-04-15,6.586390305376329,6.798991123381322
2017-05-01,6.645468105605275,6.795426603304579
2017-05-15,6.477932645340147,6.477932645340147
2017-06-01,6.223600867954746,6.275183266455148
2017-06-15,6.124503715111705,6.277598763045304
2017-07-01,6.126432570911583,6.37044067943786
2017-07-15,6.22804477957373,6.451455080544969
2017-08-01,6.270286038406951,6.447769105613445
2017-08-15,6.316891171599328,6.4454039239282785
2017-09-01,6.356367204467341,6.479296931875494
2017-09-15,6.396547692538435,6.513422950125465
2017-10-01,6.392812303866773,6.491903206511004
2017-10-15,6.294347746024714,6.246809878751679
2017-11-01,5.978282284313611,6.200410091507986
2017-11-15,5.9514758358243025,6.097921742852849
2017-12-01,6.036528692625579,6.222810650635631
2017-12-15,6.097564753573258,6.341429322524985
2018-01-01,6.139101099205735,6.286661969353938
2018-01-15,6.199470848312016,6.293222309231491
2018-02-01,5.9749443426336715,5.9749443426336715
2018-02-15,5.970300452388205,6.08959064733516
2018-03-01,6.025080533902487,6.09620787791807
2018-03-15,5.960901815425774,6.077799615488465
2018-04-01,5.9515600169992435,6.2691793717656585
2018-04-15,5.9491645246753775,6.065927672431015
2018-05-01,5.939870241677762,6.00311230054583
2018-05-15,5.938402611669982,5.93608511352962
2018-06-01,5.636013349760888,5.737290303909339
2018-06-15,5.696111735973429,5.7954405532111
2018-07-01,5.683569252393964,5.85039437311795
2018-07-15,5.601992535895786,5.864851360215098
2018-08-01,5.800758587813922,5.869226387091382
2018-08-15,5.788688230196583,5.852730596523678
2018-09-01,5.906430146468122,6.023432237141434
2018-09-15,5.896394331465438,6.014703821464067
2018-10-01,5.902868399800893,6.020651435457276
2018-10-15,5.701762853127754,5.84284145138766
2018-11-01,5.6229466757934095,5.847339446508051
2018-11-15,5.634743279049029,5.713477319591533
2018-12-01,5.6372070103993535,5.85911523110557
2018-12-15,5.642355403325902,5.8667251963633555
2019-01-01,5.863266744713802,6.040662183171701
2019-01-15,5.871785452308936,6.047597628917374
2019-02-01,5.870525719778315,6.054468022470003
2019-02-15,6.050212405285479,6.251620427969974
2019-03-01,6.039841405289059,6.170044155741471
2019-03-15,6.1388784210552405,6.235529533008196
2019-04-01,6.133180094494065,6.274307334435037
2019-04-15,6.266086904446707,6.389061966805516
2019-05-01,6.378677568257577,6.456945258824288
2019-05-15,6.261581745912932,6.452777907140362
2019-06-01,6.262089117465058,6.344497805944682
2019-06-15,6.242826351629383,6.3903324887379735
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
