Date,Tororo,Kisumu
2016-01-01,6.701852140811479,6.962333576466893
2016-01-15,6.701370265931681,6.9644286955730585
2016-02-01,6.700888158736531,6.925020739609445
2016-02-15,6.712835221877033,6.916714914225894
2016-03-01,6.747314433444672,6.903102669897625
2016-03-15,6.769088580218906,6.944983520439066
2016-04-01,,6.944078734159975
2016-04-15,,6.959804721936134
2016-05-01,,6.962469649556401
2016-05-15,6.851732706010654,6.955863003621561
2016-06-01,6.76511962311692,6.802132625838909
2016-06-15,6.761624268926409,6.797132431201746
2016-07-01,6.747830171944618,6.792663010662613
2016-07-15,6.747654111243598,6.738179698461554
2016-08-01,6.676915752625248,6.790578410452024
2016-08-15,6.674876925007473,6.734416965742569
2016-09-01,6.6686852320788965,6.78819965270293
2016-09-15,6.663273905315209,6.732362083233483
2016-10-01,6.67272152530122,6.6109272019424825
2016-10-15,6.703047839584803,6.606750370556886
2016-11-01,6.684248913678229,6.661817556307076
2016-11-15,6.655948215838951,6.713376658101881
2016-12-01,6.383064056764999,6.707919411616958
2016-12-15,6.470538876919828,6.700426658395675
2017-01-01,6.541418322337393,6.690153584577086
2017-01-15,6.541445993272433,6.7756642982529165
2017-02-01,6.576508348170308,6.768181378927941
2017-02-15,6.570039397214098,6.8574173798129365
2017-03-01,6.6037573604714845,6.945844058659234
2017-03-15,6.722750961194981,6.846520602884505
2017-04-01,6.750390632850896,6.833333419119588
2017-04-15,6.775015211505611,6.827298231769488
2017-05-01,6.794677633103546,6.828201556120558
2017-05-15,6.802743518466312,6.831905765651529
2017-06-01,6.812276817041749,6.833093794382744
2017-06-15,6.81765089567165,6.840011086199327
2017-07-01,6.366186176791413,6.842086952579462
2017-07-15,6.816029043646575,6.743678034426032
2017-08-01,6.8359675977006775,6.737567502194116
2017-08-15,6.836897821439705,6.749620673390103
2017-09-01,6.8298959598977165,6.8468489001110076
2017-09-15,6.828628948792869,6.848159397488767
2017-10-01,6.824710669043093,6.853176764038861
2017-10-15,6.8128676043607825,6.849704299002957
2017-11-01,6.700884219954262,6.851787878926591
2017-11-15,6.701332006442114,6.938172336872028
2017-12-01,6.72941128792138,6.933386187411803
2017-12-15,6.762911306234433,6.9242602542843255
2018-01-01,6.5534664567841645,6.830563101473199
2018-01-15,6.381191082177448,6.826550927891677
2018-02-01,6.420960528206205,6.839075902690276
2018-02-15,6.419298808372001,6.909096409377089
2018-03-01,6.433390594142882,6.907241508137412
2018-03-15,6.475814638342035,6.903043764041586
2018-04-01,6.545950719111276,6.8972163678432175
2018-04-15,6.594152076181791,6.8990490718112625
2018-05-01,6.633594622830933,6.895078169691565
2018-05-15,6.663443156005881,6.809435037407744
2018-06-01,6.679309524299511,6.81028303247135
2018-06-15,6.654225433982608,6.7213571194261155
2018-07-01,6.650915155068403,6.724852999173771
2018-07-15,6.5666139786806585,6.818620079733808
2018-08-01,6.6264524243358505,6.819802918443612
2018-08-15,6.61767894313943,6.812001420758136
2018-09-01,6.68912257146834,6.806494489973673
2018-09-15,6.68010108907111,6.662215329684782
2018-10-01,6.686166677355136,6.717607132075606
2018-10-15,6.716637947549198,6.718006211657632
2018-11-01,6.722600088969929,6.800221540532602
2018-11-15,6.615958856191502,6.793248600397694
2018-12-01,6.619193001538903,6.792769087431823
2018-12-15,6.714023056750559,6.792414877194827
2019-01-01,6.7066961283230855,6.794825477266455
2019-01-15,6.709127768065042,6.794423815264695
2019-02-01,6.494419306649336,6.709252955693816
2019-02-15,6.4934929643904615,6.7010744499692105
2019-03-01,6.482112273675873,6.787359453208324
2019-03-15,6.47824577747728,6.687521299668765
2019-04-01,6.59552973763184,6.775413748508359
2019-04-15,6.681731580768336,6.768512121403341
2019-05-01,6.683148747336152,6.7725331795303925
2019-05-15,6.709876556220062,6.767813135058409
2019-06-01,6.709348194898656,6.764907859518475
2019-06-15,6.719636235880574,6.755210672344658
2019-07-01,,6.746615574853573
2019-07-15,,6.737945960721086
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
