Date,Kasese,Masindi
2016-01-01,6.59185124559715,
2016-01-15,6.6156565153423,
2016-02-01,6.538369229238757,
2016-02-15,6.3094171973905935,
2016-03-01,6.343958585768376,
2016-03-15,6.346395025516676,6.177429259904277
2016-04-01,6.339563748316634,6.1779149786102305
2016-04-15,6.368854314887885,6.203216766657812
2016-05-01,6.364867492656624,6.179494764568006
2016-05-15,6.302427584043952,6.130905644493703
2016-06-01,6.308085776465766,6.194913668721518
2016-06-15,6.304022708317681,6.193412836773711
2016-07-01,6.294245815492255,6.179648720459842
2016-07-15,6.267673380011114,6.182094873305326
2016-08-01,6.290076460134158,6.177661241496442
2016-08-15,6.286970364640864,6.178142286718774
2016-09-01,6.28124928085889,6.226156343329002
2016-09-15,6.275131015811402,6.221308394987518
2016-10-01,6.269905425364633,6.213213755990568
2016-10-15,6.2491060871399045,6.194689712562842
2016-11-01,6.227078885024721,6.173519819667611
2016-11-15,6.294226504471901,6.140075824644642
2016-12-01,6.288217806451714,6.133074570711704
2016-12-15,6.288004757684856,6.142251262294685
2017-01-01,6.287791754298108,6.134632646193144
2017-01-15,6.285826489962831,6.264355423921132
2017-02-01,,6.379166142370841
2017-02-15,,6.372391869941915
2017-03-01,6.279907416560918,6.393507427294286
2017-03-15,6.276007303184382,6.449836239932684
2017-04-01,6.218606555244162,6.442286155887745
2017-04-15,6.262058753777611,6.438389706434408
2017-05-01,6.257534701020181,6.612455971419808
2017-05-15,6.310628435613145,6.62002426828871
2017-06-01,6.347297581401177,6.365989714413329
2017-06-15,6.3668608091521115,6.4527123174634795
2017-07-01,6.369282154496541,6.6327158742379675
2017-07-15,6.369988885086579,6.6342506833302615
2017-08-01,6.407006548223583,6.62896068518407
2017-08-15,6.403286631758883,6.627369672143493
2017-09-01,,6.620159360657688
2017-09-15,6.395805026332744,6.618651356660965
2017-10-01,6.432204705577433,6.58143835029827
2017-10-15,6.418592104610791,6.570147672170397
2017-11-01,6.362657981567863,6.574369305791731
2017-11-15,6.252072422680107,6.574019539333248
2017-12-01,6.247963754674888,6.569954148308811
2017-12-15,6.15000395148156,6.202077452308745
2018-01-01,6.310346212392294,6.193168320476011
2018-01-15,6.336602604861716,6.293222309231491
2018-02-01,6.147625904162566,6.293192840298432
2018-02-15,6.090058919852007,6.290808838020404
2018-03-01,,6.327872237746034
2018-03-15,,6.323362040091088
2018-04-01,,6.357025125107407
2018-04-15,,6.354629632783541
2018-05-01,,6.500475312463859
2018-05-15,5.6507205392182005,6.49934027686332
2018-06-01,6.328376524008624,6.36684280483642
2018-06-15,6.299968870908157,6.347147431183248
2018-07-01,6.3294875493514295,6.340348788783034
2018-07-15,6.3329991274991535,5.866086690823091
2018-08-01,6.263107440216855,6.050321702162092
2018-08-15,6.187961368056826,6.0338106882295675
2018-09-01,6.22296592281651,6.264743092411093
2018-09-15,6.301859439573603,6.259917808488924
2018-10-01,6.369328020611899,6.266593901736292
2018-10-15,6.228904854325893,6.2689769936693915
2018-11-01,6.057161197187559,6.27462060814678
2018-11-15,6.405194907341884,6.1471133046663935
2018-12-01,6.371176185479554,6.096739339777794
2018-12-15,6.294808393059292,6.049863413063866
2019-01-01,6.328344255623482,6.094729404441977
2019-01-15,6.287738756600155,6.099299003294265
2019-02-01,6.204561901601647,6.107682547035447
2019-02-15,6.205810891938681,6.105453272996156
2019-03-01,6.143667001228802,6.285230565550589
2019-03-15,6.235529533008196,6.280563749181227
2019-04-01,6.357432088559859,6.292598102802026
2019-04-15,6.308781135544713,6.308006842048808
2019-05-01,6.341989667879001,6.339744998025177
2019-05-15,6.382780515227405,6.345481858979227
2019-06-01,6.344497805944682,6.344497805944682
2019-06-15,6.368670991956794,6.359873281253265
2019-07-01,,6.360684890580913
2019-07-15,,
2019-08-01,,6.3623061357761745
2019-08-15,,6.032433588346935
2019-09-01,,6.033179779515269
2019-09-15,,6.0322279063702595
2019-10-01,,6.029250595280933
2019-10-15,,5.843278421313797
2019-11-01,,6.021947850459032
2019-11-15,,6.021978097700296
2019-12-01,,6.019977765593679
2019-12-15,,6.025751556553039
2020-01-01,,6.020383092631721
2020-01-15,,6.022370671925227
2020-02-01,,5.903282199176756
2020-02-15,,5.902977771961809
