Date,Tororo,Masindi
2016-01-01,5.366612950491872,5.275479556124178
2016-01-15,5.340941584956898,5.112551408384965
2016-02-01,5.3145937976166415,5.193232940612374
2016-02-15,5.295622821353832,5.262470614036932
2016-03-01,5.291061483717872,5.291061483717872
2016-03-15,5.348429982859414,5.3013633293406315
2016-04-01,,5.360002190382771
2016-04-15,,5.384874158522637
2016-05-01,,5.385272553728783
2016-05-15,5.549749753989781,5.488427863115462
2016-06-01,5.610142423642327,5.501279277433299
2016-06-15,5.602991124233586,5.500265656213766
2016-07-01,5.576141902958443,5.485513885498625
2016-07-15,5.4923782278421704,5.4884566541889885
2016-08-01,5.423705056340891,5.453558019490573
2016-08-15,5.360092855457803,5.35787309871949
2016-09-01,5.454821743197266,5.351244553914868
2016-09-15,5.5281612144275725,5.47078410184427
2016-10-01,5.5139818386605155,5.462935610364402
2016-10-15,5.555958906579959,5.445999762404194
2016-11-01,5.635625854879024,5.546659148996874
2016-11-15,5.656488286964094,5.552289159742523
2016-12-01,5.725621390378153,5.544493151148241
2016-12-15,5.695102992115967,5.549632479119975
2017-01-01,5.643596694341668,5.54674686835175
2017-01-15,5.687556151203077,5.595701695395968
2017-02-01,5.72931576756422,5.642371381028475
2017-02-15,5.722318971851242,5.635845373847415
2017-03-01,5.7813879192895,5.675177687462979
2017-03-15,5.969114394466924,5.868849431235698
2017-04-01,5.9628779560878975,5.897916187093915
2017-04-15,5.964084995289282,5.893859837756065
2017-05-01,5.983435180334269,5.886718728325191
2017-05-15,6.007103365847976,5.959743895809117
2017-06-01,6.029826072147289,6.00134660082542
2017-06-15,5.797147848052577,6.005981854153889
2017-07-01,5.1801395887336295,5.535290529329386
2017-07-15,5.372561740665815,5.312198590938724
2017-08-01,5.366130350325041,5.368581761113166
2017-08-15,5.423792202869158,5.368956130992608
2017-09-01,5.527474771622853,5.41895718941226
2017-09-15,5.471308355088266,5.3563303703594904
2017-10-01,5.342139477487782,5.294200015198664
2017-10-15,5.342936347741292,5.280381673081202
2017-11-01,5.154580502417795,5.1520064984226215
2017-11-15,5.154315200331731,5.074272492658195
2017-12-01,5.075605806730655,5.074221723464717
2017-12-15,5.1529607047350146,5.078458177437094
2018-01-01,5.275061057675458,5.068819317163852
2018-01-15,5.133677469568224,5.074360892411804
2018-02-01,5.117816535418485,5.149232731651864
2018-02-15,5.211709363575876,5.146848729373835
2018-03-01,5.204488406774421,5.139302426889725
2018-03-15,5.054234707216013,5.132759470328324
2018-04-01,5.094273598728534,5.126191201696839
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.039616508713424,5.116156585835759
2018-05-15,5.073983710502667,5.111724038485514
2018-06-01,5.044143123349394,5.093877129023532
2018-06-15,5.072644476051474,5.072644476051474
2018-07-01,5.064955123696586,5.067713746135665
2018-07-15,4.53969047128427,4.544330850840772
2018-08-01,4.526104197836701,4.492688200916857
2018-08-15,4.526622869038901,4.478766847861266
2018-09-01,4.507543104770602,4.464766650080757
2018-09-15,,4.491005807556552
2018-10-01,4.468255461410195,4.516574038681002
2018-10-15,4.641371777279842,4.641371777279842
2018-11-01,4.8450582667783735,4.752465479950549
2018-11-15,4.943140500340458,4.760818943546503
2018-12-01,4.944059829839408,4.853675768371139
2018-12-15,4.8042179123373625,4.86609331605545
2019-01-01,5.019239533194721,4.942049894503591
2019-01-15,5.100216309973188,4.946942438619464
2019-02-01,5.033716055574165,5.033716055574165
2019-02-15,5.300741684808489,5.23877496105929
2019-03-01,5.227376269354647,5.227376269354647
2019-03-15,5.223509773156054,5.223509773156054
2019-04-01,5.367203805187378,5.303592620673194
2019-04-15,5.550062909233008,5.5467516479293515
2019-05-01,5.563053355337969,5.564680694997345
2019-05-15,5.520292489346226,5.520292489346226
2019-06-01,5.500180573695616,5.4791271644977835
2019-06-15,5.579045065873803,5.539695727085255
2019-07-01,,5.4441263027399
2019-07-15,,
2019-08-01,,
2019-08-15,,5.086228299901257
2019-09-01,,5.075033286849828
2019-09-15,,5.223319935534699
2019-10-01,,5.393261828560937
2019-10-15,,5.387802892630971
2019-11-01,,5.481495533484364
2019-11-15,,5.527281855864189
2019-12-01,,5.531926066476241
2019-12-15,,5.534926599493717
2020-01-01,,5.613902240403721
2020-01-15,,5.133041133779092
2020-02-01,,5.207854515918085
2020-02-15,,5.269516812452338
