Date,Kampala,Kisumu
2016-01-01,5.3845506511785395,5.663050592336632
2016-01-15,5.1937148154921715,5.658422997047921
2016-02-01,5.307425308138028,5.603264899627125
2016-02-15,5.356531574440825,5.658435682791919
2016-03-01,5.425347422518691,5.649614801044308
2016-03-15,5.413154735328748,5.6453157285155475
2016-04-01,5.448326518888029,5.644411917069104
2016-04-15,5.509585207304187,5.661726557228723
2016-05-01,5.477387842636589,5.662286980255242
2016-05-15,5.514758004367279,5.656204742720281
2016-06-01,5.606639793091126,5.802409186260294
2016-06-15,5.606502980345127,5.798528843119516
2016-07-01,5.518558680276081,5.795368494635372
2016-07-15,5.4923782278421704,5.792136561535243
2016-08-01,5.457606608016572,5.791749730263689
2016-08-15,5.4244927860608865,5.790034499001399
2016-09-01,5.470758335460079,5.79116715685274
2016-09-15,5.627181973628433,5.788058315131654
2016-10-01,5.554465747867358,5.784959108361613
2016-10-15,5.605005513884532,5.779982896630039
2016-11-01,5.694206580903874,5.77430474846033
2016-11-15,5.758867694182038,5.768359647969329
2016-12-01,5.823641598941343,5.763139938819203
2016-12-15,5.769210964269688,5.756721464185711
2017-01-01,5.587818608667763,5.747452117001923
2017-01-15,5.7164555007664255,5.852975591899102
2017-02-01,5.687172586241856,5.852145456585041
2017-02-15,5.682328731918932,5.964318411082766
2017-03-01,5.8162156113416374,6.070165435692222
2017-03-15,5.970263159670798,6.057741573514864
2017-04-01,5.950101940264485,6.045890772185865
2017-04-15,5.959476692203088,6.1341510512095425
2017-05-01,5.967570824954286,6.2214516905106825
2017-05-15,6.011498977321014,6.219830190693429
2017-06-01,6.04907800364661,6.230121695754557
2017-06-15,6.40700251050163,6.234106630229812
2017-07-01,5.343673231661951,6.236415078500186
2017-07-15,5.372561740665815,6.0489982865163086
2017-08-01,5.366831366827636,5.938092164952554
2017-08-15,5.423792202869158,5.832822456095262
2017-09-01,5.621333221193991,5.838244418011139
2017-09-15,5.489861762984013,5.838868489147492
2017-10-01,5.340009551229958,5.789942314452403
2017-10-15,5.281513535114885,5.838103387324477
2017-11-01,5.20226833320351,5.7086395710418545
2017-11-15,5.218853721469302,5.705968095397696
2017-12-01,5.1489231087502825,5.700392527317466
2017-12-15,5.222295398136079,5.690898990958889
2018-01-01,5.209309680112678,5.68728780791741
2018-01-15,5.112512658376181,5.595333601459176
2018-02-01,5.117816535418485,5.691082366106241
2018-02-15,5.272618116662868,5.6812723892289725
2018-03-01,5.15217261741026,5.7570714098044515
2018-03-15,5.059852699520237,5.67054198068604
2018-04-01,5.1672225983747015,5.748978841888254
2018-04-15,5.123795709372973,5.670452751457429
2018-05-01,5.039616508713424,5.741984323720734
2018-05-15,5.111724038485514,5.575087141284258
2018-06-01,5.112569262035685,5.54308517019238
2018-06-15,5.115661861135165,5.516384814767096
2018-07-01,5.108205107490402,5.51754129358232
2018-07-15,4.615789814822916,5.521002374922609
2018-08-01,4.549307094916364,5.339466838321893
2018-08-15,4.653708297357598,5.330396879833921
2018-09-01,4.594578261602748,5.507666154635059
2018-09-15,4.56091921874176,5.44265043059901
2018-10-01,4.615308879366691,5.512297429154828
2018-10-15,4.802639924875964,5.513197636284299
2018-11-01,4.9483758808064,5.5107485676315795
2018-11-15,5.037327715400159,5.527413550334973
2018-12-01,5.05496052587285,5.4941026261324355
2018-12-15,5.014513321173723,5.5611286309050945
2019-01-01,5.096200574330849,5.65008736520297
2019-01-15,5.15898161919944,5.493305968234323
2019-02-01,5.10420593332871,5.437422675972245
2019-02-15,5.326166783174299,5.427966688336249
2019-03-01,5.311310720839797,5.422118501286266
2019-03-15,5.1011077916433765,5.476715704823058
2019-04-01,5.369189903159008,5.476130764378098
2019-04-15,5.615633954984768,5.620836033319873
2019-05-01,5.607646730880788,5.878614745410771
2019-05-15,5.523688078347364,5.874398484848228
2019-06-01,5.54764711093454,5.872401062298474
2019-06-15,5.629212324591822,5.743380796726998
2019-07-01,5.584291539316778,5.841434452492073
2019-07-15,5.476083391530559,5.930726323901292
2019-08-01,5.35472937439742,5.864716772249512
2019-08-15,5.320824344947255,
2019-09-01,5.2944760673529565,5.717985684444245
2019-09-15,5.39421279650503,5.718253174917198
2019-10-01,5.459953203059609,5.714671083395043
2019-10-15,5.52756483500613,5.740418591141374
2019-11-01,5.529286197320713,
2019-11-15,5.576072020033621,
2019-12-01,5.656309786163976,
2019-12-15,5.667632569042072,
2020-01-01,5.698624413799216,
2020-01-15,5.357169421755842,
2020-02-01,5.383303193424278,5.904179009916696
2020-02-15,5.327866695514615,5.896530832160317
