Date,Kisumu,Mbale
2016-01-01,6.962333576466893,6.76639066194905
2016-01-15,6.9644286955730585,6.734175636730581
2016-02-01,6.925020739609445,6.700888158736531
2016-02-15,6.916714914225894,6.696305919925822
2016-03-01,6.903102669897625,6.747314433444672
2016-03-15,6.944983520439066,6.749458388940976
2016-04-01,6.944078734159975,
2016-04-15,6.959804721936134,
2016-05-01,6.962469649556401,
2016-05-15,6.955863003621561,6.757988539003953
2016-06-01,6.802132625838909,6.762637890145943
2016-06-15,6.797132431201746,6.760519296438291
2016-07-01,6.792663010662613,6.746150910424898
2016-07-15,6.738179698461554,6.715923403879571
2016-08-01,6.790578410452025,6.676617289707049
2016-08-15,6.734416965742569,6.676364356488018
2016-09-01,6.78819965270293,6.6686852320788965
2016-09-15,6.732362083233483,6.697623385329846
2016-10-01,6.6109272019424825,6.692853496253145
2016-10-15,6.606750370556886,6.735580153255599
2016-11-01,6.661817556307076,6.717010709988137
2016-11-15,6.713376658101881,6.650901448410633
2016-12-01,6.707919411616959,6.642807243899425
2016-12-15,6.700426658395675,6.648837711772252
2017-01-01,6.690153584577086,6.711791512623095
2017-01-15,6.7756642982529165,6.710872678054119
2017-02-01,6.768181378927941,6.709960773684591
2017-02-15,6.8574173798129365,6.791406974447403
2017-03-01,6.945844058659234,6.791408202813523
2017-03-15,6.846520602884505,6.867779438137442
2017-04-01,6.833333419119588,6.861353697393771
2017-04-15,6.827298231769488,6.85805959884089
2017-05-01,6.828201556120558,6.899838328598852
2017-05-15,6.831905765651529,6.907855494294352
2017-06-01,6.833093794382744,6.9176373326995755
2017-06-15,6.840011086199327,6.92138527452351
2017-07-01,6.842086952579462,6.787544980142807
2017-07-15,6.743678034426032,6.787724085786558
2017-08-01,6.737567502194116,6.836934715764452
2017-08-15,6.749620673390103,6.836416705240865
2017-09-01,6.8468489001110076,6.774140160250103
2017-09-15,6.848159397488766,6.772632156253379
2017-10-01,6.853176764038861,6.7690856058741335
2017-10-15,6.849704299002957,6.757807827177755
2017-11-01,6.851787878926591,6.733214621992752
2017-11-15,6.938172336872028,6.6702873847601545
2017-12-01,6.933386187411803,6.669712408417967
2017-12-15,6.9242602542843255,6.673427278751277
2018-01-01,6.830563101473199,6.750447961988804
2018-01-15,6.826550927891677,6.813851933094103
2018-02-01,6.839075902690276,6.812846378187989
2018-02-15,6.909096409377089,6.808507341074157
2018-03-01,6.907241508137412,6.803189271207565
2018-03-15,6.903043764041587,6.800368015617292
2018-04-01,6.8972163678432175,6.867850748873399
2018-04-15,6.8990490718112625,6.864537404259304
2018-05-01,6.895078169691565,6.8575456956748635
2018-05-15,6.809435037407744,6.777732302408008
2018-06-01,6.81028303247135,6.754796997292776
2018-06-15,6.7213571194261155,6.738691200772804
2018-07-01,6.724852999173771,6.710208041436984
2018-07-15,6.818620079733808,6.711795988525156
2018-08-01,6.819802918443612,6.657572333049655
2018-08-15,6.812001420758136,6.669982120033642
2018-09-01,6.806494489973673,6.684830719386799
2018-09-15,6.662215329684782,6.622178441338406
2018-10-01,6.717607132075606,6.62735883092655
2018-10-15,6.718006211657631,6.630387026869979
2018-11-01,6.800221540532602,6.6356833059358165
2018-11-15,6.793248600397694,6.551343082166565
2018-12-01,6.792769087431823,6.553497742273509
2018-12-15,6.792414877194827,6.559872376923301
2019-01-01,6.794825477266455,6.708808061526229
2019-01-15,6.794423815264695,6.711231924548906
2019-02-01,6.709252955693816,6.71678028325294
2019-02-15,6.7010744499692105,6.716636515704671
2019-03-01,6.787359453208324,6.73196556785697
2019-03-15,6.687521299668765,6.782866365657102
2019-04-01,6.775413748508359,6.772208707220093
2019-04-15,6.768512121403341,6.766029614012011
2019-05-01,6.7725331795303925,6.760818003799332
2019-05-15,6.767813135058409,6.761816639324294
2019-06-01,6.764907859518475,
2019-06-15,6.755210672344658,
2019-07-01,6.746615574853573,
2019-07-15,6.737945960721086,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
