Date,Soroti,Lira
2016-01-01,,5.410867959495913
2016-01-15,,5.2638587113706174
2016-02-01,,5.091450246302431
2016-02-15,,5.1276900020119776
2016-03-01,,5.215838062480285
2016-03-15,,5.2776013385717055
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,,5.492372641406479
2016-06-01,,5.547932192264347
2016-06-15,,5.558939057898939
2016-07-01,,5.654238814326608
2016-07-15,,5.6504351626364935
2016-08-01,,5.5446179850062025
2016-08-15,,5.540194655513445
2016-09-01,,5.533937237081611
2016-09-15,,5.412003251676704
2016-10-01,,5.460957370352296
2016-10-15,,5.445999762404194
2016-11-01,,5.526585482262797
2016-11-15,,5.4469286440846965
2016-12-01,,5.437939317926372
2016-12-15,,5.447627340142226
2017-01-01,,5.497376696581344
2017-01-15,,5.643384932889939
2017-02-01,,5.596310607651941
2017-02-15,5.635845373847415,5.635845373847415
2017-03-01,5.632550871001215,5.6341624748955565
2017-03-15,5.791608808453554,5.751701517861699
2017-04-01,5.862824867282645,5.788716895128923
2017-04-15,5.927802490107859,5.894476170595299
2017-05-01,5.919009075587126,6.043431360169944
2017-05-15,5.822576736495707,5.783409002071478
2017-06-01,5.7967794350841455,5.797460866115625
2017-06-15,5.630280035160463,5.71903860700354
2017-07-01,5.430325348723161,5.631893952120291
2017-07-15,5.407508770743049,5.720622281086634
2017-08-01,5.30802271951776,5.623736305825427
2017-08-15,5.366866266073148,5.423792202869158
2017-09-01,5.383759991607632,5.41895718941226
2017-09-15,5.41348878419944,5.417449185415537
2017-10-01,5.324971673865417,5.411983050855047
2017-10-15,5.342936347741292,5.342936347741292
2017-11-01,5.289075440965589,5.283441623247333
2017-11-15,5.154315200331731,5.283993023640264
2017-12-01,5.076987976957607,5.28116832756406
2017-12-15,5.1529607047350146,5.2848882477775625
2018-01-01,5.214152304588466,5.068819317163852
2018-01-15,5.149262200584922,4.993391829878138
2018-02-01,4.993362360945079,5.074331423478746
2018-02-15,5.187258267711711,5.146848729373835
2018-03-01,5.179917146043915,5.209331031250209
2018-03-15,5.178569006359618,5.132759470328324
2018-04-01,5.126191201696839,5.021412250463662
2018-04-15,5.047672013900172,5.123795709372973
2018-05-01,5.039616508713424,5.116156585835759
2018-05-15,5.111724038485514,5.084912781034857
2018-06-01,5.029877546190572,4.939726449196274
2018-06-15,4.831482419234586,4.5130286881160515
2018-07-01,4.829302722690667,4.510848991572132
2018-07-15,4.767474402154981,4.544330850840772
2018-08-01,4.770614098423273,4.661980257420478
2018-08-15,4.649584580173736,4.751633834527906
2018-09-01,4.637137876021543,4.522474967701403
2018-09-15,4.630512510540956,4.514828111541494
2018-10-01,4.6322584376804645,4.516574038681002
2018-10-15,4.8908326369114254,4.526708868959703
2018-11-01,4.898050796918883,4.642117422781683
2018-11-15,4.89896928202732,4.852756438872189
2018-12-01,4.853675768371139,4.853675768371139
2018-12-15,4.862754414789935,4.730655345160345
2019-01-01,4.901099290890496,4.942049894503591
2019-01-15,5.029341970386531,5.100216309973188
2019-02-01,5.109427877309861,5.109427877309861
2019-02-15,5.1775794000323705,5.241055463758015
2019-03-01,5.165598909658404,5.227376269354647
2019-03-15,5.193098072738031,5.161732413459811
2019-04-01,5.210398843775247,5.212721725191387
2019-04-15,5.269517842096371,5.271703635316351
2019-05-01,5.265551236705213,5.696991831216638
2019-05-15,5.523688078347364,5.691784644209972
2019-06-01,5.322017027050325,5.764146119530081
2019-06-15,5.532984292497268,5.54303462835077
2019-07-01,,5.497004148961136
2019-07-15,,5.448752198015116
2019-08-01,,5.283829017302559
2019-08-15,,5.086228299901257
2019-09-01,,5.088139634355128
2019-09-15,,5.087187761210118
2019-10-01,,5.086236793266025
2019-10-15,,5.211616324404532
2019-11-01,,5.326761933209239
2019-11-15,,5.32883091714035
2019-12-01,,5.459853718435117
2019-12-15,,5.330582130612325
2020-01-01,,5.430360427204537
2020-01-15,,5.329223491365282
2020-02-01,,5.212410332453946
2020-02-15,,5.212105905238999
