Date,Tororo,Mbale
2016-01-01,,
2016-01-15,,
2016-02-01,,
2016-02-15,,
2016-03-01,,
2016-03-15,,
2016-04-01,,
2016-04-15,,
2016-05-01,,
2016-05-15,6.185519821966424,6.125694585280951
2016-06-01,6.073898430220707,6.097763169405871
2016-06-15,6.068477088366464,6.069029117085975
2016-07-01,6.060260250682779,6.149586336358325
2016-07-15,5.990600297611413,5.990600297611413
2016-08-01,5.984066945929966,6.052661965810316
2016-08-15,6.003388257527522,6.090790989056548
2016-09-01,,
2016-09-15,,6.1629465457416766
2016-10-01,,6.1590428325528235
2016-10-15,6.077143615658899,6.076076948891097
2016-11-01,6.019229611621754,6.075212876056446
2016-11-15,5.957754267850688,6.151910282291645
2016-12-01,5.992409450916572,6.183377283779265
2016-12-15,,
2017-01-01,,
2017-01-15,,
2017-02-01,,
2017-02-15,,6.327378349052819
2017-03-01,,6.325294744437323
2017-03-15,,6.321873636062836
2017-04-01,,6.313997973116691
2017-04-15,,6.313607988105986
2017-05-01,,6.4301943469023986
2017-05-15,6.310628435613145,6.436508681502148
2017-06-01,6.316157340665454,6.2258225973734085
2017-06-15,6.125979730139825,6.22956876614927
2017-07-01,5.761986482247964,6.2275476341741385
2017-07-15,5.798048228634538,5.941103502770316
2017-08-01,5.866523058369317,5.936110990867579
2017-08-15,5.865483781999095,5.933629195808209
2017-09-01,5.858104237907202,5.928200534367122
2017-09-15,5.829480305294592,5.989968378186867
2017-10-01,5.779707830980365,5.985112557957192
2017-10-15,5.767369358556267,5.974660715674831
2017-11-01,5.690036036952649,5.914833599620557
2017-11-15,5.692456634744684,5.915600186058894
2017-12-01,5.689631938668482,6.198809498536087
2017-12-15,5.771605357997039,6.201628316886867
2018-01-01,5.759169293102736,6.191351789549613
2018-01-15,5.76750807297175,5.912089301782857
2018-02-01,5.805630370003067,5.909653092819234
2018-02-15,5.834827939775338,5.906063544885857
2018-03-01,5.832449607449671,5.900059830945873
2018-03-15,5.8717161869195635,5.896287447650069
2018-04-01,5.9515600169992435,5.8876329296930106
2018-04-15,6.0114068335525985,5.882789455730505
2018-05-01,6.030339835370349,5.875485673277005
2018-05-15,6.102425039976394,6.155975117934736
2018-06-01,6.038338737864384,6.139918530682304
2018-06-15,5.798226932364573,6.347915185539579
2018-07-01,5.769091425832126,6.340348788783034
2018-07-15,5.722985847182417,5.9568974254661855
2018-08-01,5.724427269620517,5.869226387091382
2018-08-15,5.71029759625086,5.852730596523678
2018-09-01,5.823455745108759,5.838607550129361
2018-09-15,5.896394331465438,6.015755899414871
2018-10-01,5.9646022840716135,6.020651435457276
2018-10-15,5.995917440085153,6.023490766989252
2018-11-01,6.028411783901574,6.029452908409985
2018-11-15,6.039693056045557,6.145259736017071
2018-12-01,6.042672118507518,6.148032634165344
2018-12-15,6.0478205114340655,6.154407268815136
2019-01-01,6.125441991129507,6.147872838117689
2019-01-15,6.150301557746637,6.152141484668644
2019-02-01,6.208040165977971,6.158207792230096
2019-02-15,6.251620427969974,6.155978518190804
2019-03-01,6.241069669764819,6.144588235748122
2019-03-15,6.25870937878719,6.14072173954953
2019-04-01,6.350019156170734,6.133180094494065
2019-04-15,6.407463052176407,6.346750768733793
2019-05-01,6.523314215617287,6.34869360360119
2019-05-15,6.5275549994261075,6.343990434392556
2019-06-01,6.526819362738636,
2019-06-15,6.407330065106544,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
