Date,Nairobi,Machakos
2016-01-01,6.646389256953784,6.6438798453483585
2016-01-15,6.639041435259668,6.645974964454524
2016-02-01,6.687488450843135,6.653087024125803
2016-02-15,6.664819458193112,6.639896049740655
2016-03-01,6.633927826383913,6.631078370601248
2016-03-15,6.635206259414846,6.562791194386278
2016-04-01,6.640537434794652,6.558673564716479
2016-04-15,6.642141817272417,6.642141817272417
2016-05-01,6.668774329881169,6.644353091804366
2016-05-15,6.661404307088801,6.636621028557028
2016-06-01,6.654662809002483,6.628910312900068
2016-06-15,6.650281053856099,6.6244969367003845
2016-07-01,6.623821061543903,6.623821061543903
2016-07-15,6.6209496072483445,6.61970505201614
2016-08-01,6.630053253646403,6.618032368987572
2016-08-15,6.616980130539704,6.616356883402047
2016-09-01,6.617135250433609,6.617135250433609
2016-09-15,6.614026408712523,6.614036043663568
2016-10-01,6.6109272019424825,6.6109272019424825
2016-10-15,6.607061460931148,6.606127899326081
2016-11-01,6.6247541389301885,6.600716001527368
2016-11-15,6.595038221153797,6.595038221153797
2016-12-01,6.608596743147879,6.588744974595147
2016-12-15,6.582504220773498,6.582190495280729
2017-01-01,6.597418561544886,6.57314099196354
2017-01-15,6.577088911765866,6.620523118161618
2017-02-01,6.5698298857950155,6.665761376585466
2017-02-15,6.564017031985086,6.656900779427753
2017-03-01,6.564431530349914,6.656551736270831
2017-03-15,6.5300176440869455,6.645415885178283
2017-04-01,6.53994365666427,6.634071769966371
2017-04-15,6.526892946567049,6.91999799368795
2017-05-01,6.534979303293161,6.91290825359272
2017-05-15,6.736087842754295,6.918917142641159
2017-06-01,6.73550882888961,6.9164661289917495
2017-06-15,6.7449322539958025,6.921298880389344
2017-07-01,6.7472407022661764,6.840693871323289
2017-07-15,6.7431674395719465,6.637693422977616
2017-08-01,6.740124394407893,6.632377649562559
2017-08-15,6.749620673390103,6.642341637789341
2017-09-01,6.753015007712652,6.632941201237457
2017-09-15,6.755159221021647,
2017-10-01,6.7583281582099595,
2017-10-15,6.755414007099377,
2017-11-01,6.756570373233819,
2017-11-15,6.753898897589661,
2017-12-01,6.750979665241188,
2017-12-15,6.742619896426794,
2018-01-01,6.733019947164562,
2018-01-15,6.721602231451038,6.544106889292635
2018-02-01,6.741763720215278,6.633950856878744
2018-02-15,6.732315032958749,6.623656490330998
2018-03-01,6.721296273593566,6.642193578858994
2018-03-15,,6.672984121029003
2018-04-01,,6.695339231698333
2018-04-15,,6.7157319947758065
2018-05-01,6.67596542327674,6.6354442258711
2018-05-15,6.662211052945607,6.566953392770506
2018-06-01,6.611632335676067,6.426866061584948
2018-06-15,6.559014468684269,6.556072424785176
2018-07-01,6.423072002342488,6.475108766062382
2018-07-15,6.368775520489862,6.498915566713621
2018-08-01,6.212608833725317,6.357925744754901
2018-08-15,6.287445604180244,6.352847807536467
2018-09-01,6.325240913570056,6.488495407646785
2018-09-15,6.356079930192133,6.490604189903722
2018-10-01,6.360072958526515,6.492708534554357
2018-10-15,6.317042236430258,6.494862660343422
2018-11-01,6.337217387275688,6.489478302761023
2018-11-15,6.2671555045009155,6.4760695667111605
2018-12-01,6.291762505427867,6.534558994643471
2018-12-15,6.343526241085852,6.570425394098724
2019-01-01,6.2697933143828655,6.582929713837039
2019-01-15,6.267272555535977,6.595279604605138
2019-02-01,6.427517382429762,6.6012381584511175
2019-02-15,6.452880812929591,6.5957691844564295
2019-03-01,6.390234301025007,6.589250736391131
2019-03-15,6.395011114949591,6.616283758327989
2019-04-01,6.4290748139002885,6.679103068370451
2019-04-15,6.492465994366607,6.670370760201973
2019-05-01,6.569547085641163,6.682706090693324
2019-05-15,6.541147052972701,6.694891113024504
2019-06-01,6.475104252705267,6.669688502111016
2019-06-15,6.497597010635765,6.7561260042163465
2019-07-01,6.312201996789736,6.74937695063103
2019-07-15,6.08443047547822,6.742582037638564
2019-08-01,,6.786871164936991
2019-08-15,,6.829281673783383
2019-09-01,,6.795380463594158
2019-09-15,,6.774277960220293
2019-10-01,,6.7944061888226805
2019-10-15,,6.81413725291223
2019-11-01,,6.736288078998341
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
