Date,Masindi,Kampala
2016-01-01,5.275479556124178,5.3845506511785395
2016-01-15,5.112551408384965,5.1937148154921715
2016-02-01,5.193232940612374,5.307425308138028
2016-02-15,5.262470614036932,5.356531574440825
2016-03-01,5.291061483717872,5.425347422518691
2016-03-15,5.3013633293406315,5.413154735328748
2016-04-01,5.360002190382771,5.448326518888029
2016-04-15,5.384874158522637,5.509585207304187
2016-05-01,5.385272553728783,5.477387842636589
2016-05-15,5.488427863115462,5.514758004367279
2016-06-01,5.501279277433299,5.606639793091126
2016-06-15,5.500265656213766,5.606502980345127
2016-07-01,5.485513885498625,5.518558680276081
2016-07-15,5.4884566541889885,5.4923782278421704
2016-08-01,5.453558019490573,5.457606608016572
2016-08-15,5.35787309871949,5.4244927860608865
2016-09-01,5.351244553914868,5.470758335460079
2016-09-15,5.47078410184427,5.627181973628433
2016-10-01,5.462935610364402,5.554465747867358
2016-10-15,5.445999762404194,5.605005513884532
2016-11-01,5.546659148996874,5.694206580903874
2016-11-15,5.552289159742523,5.758867694182038
2016-12-01,5.544493151148241,5.823641598941343
2016-12-15,5.549632479119975,5.769210964269688
2017-01-01,5.54674686835175,5.587818608667763
2017-01-15,5.595701695395968,5.7164555007664255
2017-02-01,5.642371381028475,5.687172586241856
2017-02-15,5.635845373847415,5.682328731918932
2017-03-01,5.675177687462979,5.8162156113416374
2017-03-15,5.868849431235698,5.970263159670798
2017-04-01,5.897916187093915,5.950101940264485
2017-04-15,5.893859837756065,5.959476692203088
2017-05-01,5.886718728325191,5.967570824954286
2017-05-15,5.959743895809117,6.011498977321014
2017-06-01,6.00134660082542,6.04907800364661
2017-06-15,6.005981854153889,6.40700251050163
2017-07-01,5.535290529329386,5.343673231661951
2017-07-15,5.312198590938724,5.372561740665815
2017-08-01,5.368581761113166,5.366831366827636
2017-08-15,5.368956130992608,5.423792202869158
2017-09-01,5.41895718941226,5.621333221193991
2017-09-15,5.3563303703594904,5.489861762984013
2017-10-01,5.294200015198664,5.340009551229958
2017-10-15,5.280381673081202,5.281513535114885
2017-11-01,5.1520064984226215,5.20226833320351
2017-11-15,5.074272492658195,5.218853721469302
2017-12-01,5.074221723464717,5.1489231087502825
2017-12-15,5.078458177437094,5.222295398136079
2018-01-01,5.068819317163852,5.209309680112678
2018-01-15,5.074360892411804,5.112512658376181
2018-02-01,5.149232731651864,5.117816535418485
2018-02-15,5.146848729373835,5.272618116662868
2018-03-01,5.139302426889725,5.15217261741026
2018-03-15,5.132759470328324,5.059852699520237
2018-04-01,5.126191201696839,5.1672225983747015
2018-04-15,5.123795709372973,5.123795709372973
2018-05-01,5.116156585835759,5.039616508713424
2018-05-15,5.111724038485514,5.111724038485514
2018-06-01,5.093877129023532,5.112569262035685
2018-06-15,5.072644476051474,5.115661861135165
2018-07-01,5.067713746135665,5.108205107490402
2018-07-15,4.544330850840772,4.615789814822916
2018-08-01,4.492688200916857,4.549307094916364
2018-08-15,4.478766847861266,4.653708297357598
2018-09-01,4.464766650080757,4.594578261602748
2018-09-15,4.491005807556552,4.56091921874176
2018-10-01,4.516574038681002,4.615308879366691
2018-10-15,4.641371777279842,4.802639924875964
2018-11-01,4.752465479950549,4.9483758808064
2018-11-15,4.760818943546503,5.037327715400159
2018-12-01,4.853675768371139,5.05496052587285
2018-12-15,4.86609331605545,5.014513321173723
2019-01-01,4.942049894503591,5.096200574330849
2019-01-15,4.946942438619464,5.15898161919944
2019-02-01,5.033716055574165,5.10420593332871
2019-02-15,5.23877496105929,5.326166783174299
2019-03-01,5.227376269354647,5.311310720839797
2019-03-15,5.223509773156054,5.1011077916433765
2019-04-01,5.303592620673194,5.369189903159008
2019-04-15,5.5467516479293515,5.615633954984768
2019-05-01,5.564680694997345,5.607646730880788
2019-05-15,5.520292489346226,5.523688078347364
2019-06-01,5.4791271644977835,5.54764711093454
2019-06-15,5.539695727085255,5.629212324591822
2019-07-01,5.4441263027399,5.584291539316778
2019-07-15,,5.476083391530559
2019-08-01,,5.35472937439742
2019-08-15,5.086228299901257,5.320824344947255
2019-09-01,5.075033286849828,5.2944760673529565
2019-09-15,5.223319935534699,5.39421279650503
2019-10-01,5.393261828560937,5.459953203059609
2019-10-15,5.387802892630971,5.52756483500613
2019-11-01,5.481495533484364,5.529286197320713
2019-11-15,5.527281855864189,5.576072020033621
2019-12-01,5.531926066476241,5.656309786163976
2019-12-15,5.534926599493717,5.667632569042072
2020-01-01,5.613902240403721,5.698624413799216
2020-01-15,5.133041133779092,5.357169421755842
2020-02-01,5.207854515918085,5.383303193424278
2020-02-15,5.269516812452338,5.327866695514615
