Date,Mombasa,Machakos
2016-01-01,6.867023396662568,6.6438798453483585
2016-01-15,6.639041435259668,6.645974964454524
2016-02-01,6.653087024125803,6.653087024125803
2016-02-15,6.649315271657147,6.639896049740655
2016-03-01,6.72483087276059,6.631078370601248
2016-03-15,6.691192740043291,6.562791194386278
2016-04-01,6.5965392641123,6.558673564716479
2016-04-15,6.603517199710777,6.642141817272417
2016-05-01,6.6059231660199265,6.644353091804366
2016-05-15,6.59809400287582,6.636621028557028
2016-06-01,6.577943869308041,6.628910312900068
2016-06-15,6.492385998860153,6.6244969367003845
2016-07-01,6.489935121849543,6.623821061543903
2016-07-15,6.485283742095189,6.61970505201614
2016-08-01,6.485608908005724,6.618032368987572
2016-08-15,6.476033686296057,6.616356883402047
2016-09-01,6.483603857809086,6.617135250433609
2016-09-15,6.481205495691599,6.614036043663568
2016-10-01,6.729262876463442,6.6109272019424825
2016-10-15,6.7246025457714955,6.606127899326081
2016-11-01,6.717736287086098,6.600716001527368
2016-11-15,6.713376658101881,6.595038221153797
2016-12-01,6.551727346650982,6.588744974595147
2016-12-15,6.546415361104011,6.582190495280729
2017-01-01,6.634839946593034,6.57314099196354
2017-01-15,6.658901150497279,6.620523118161618
2017-02-01,6.650398343271557,6.665761376585466
2017-02-15,6.7722955291145315,6.656900779427753
2017-03-01,6.864786495515487,6.656551736270831
2017-03-15,6.890342916202633,6.645415885178283
2017-04-01,6.876239074259295,6.634071769966371
2017-04-15,6.8291466611312694,6.91999799368795
2017-05-01,6.790673700251545,6.91290825359272
2017-05-15,6.876136802032304,6.918917142641159
2017-06-01,6.874203250480176,6.9164661289917495
2017-06-15,6.7449322539958025,6.921298880389344
2017-07-01,6.548042844548321,6.840693871323289
2017-07-15,6.626277773893939,6.637693422977616
2017-08-01,6.739613538713513,6.632377649562559
2017-08-15,6.744534192433729,6.642341637789341
2017-09-01,6.637289944255953,6.632941201237457
2017-09-15,6.6604579928244885,
2017-10-01,6.6421935094100535,
2017-10-15,6.641065433891629,
2017-11-01,6.639933469508058,
2017-11-15,6.63668909210088,
2017-12-01,6.528345797933935,
2017-12-15,6.5189016141027984,
2018-01-01,6.4874704854101575,
2018-01-15,6.482636796460079,6.544106889292635
2018-02-01,6.5174922785628135,6.633950856878744
2018-02-15,6.558296429881377,6.623656490330998
2018-03-01,6.610022196494444,6.642193578858994
2018-03-15,6.603315040793193,6.672984121029003
2018-04-01,6.48084053462889,6.695339231698333
2018-04-15,6.4810681557712675,6.7157319947758065
2018-05-01,6.477527063248365,6.6354442258711
2018-05-15,6.490754626020756,6.566953392770506
2018-06-01,6.428200284598085,6.426866061584948
2018-06-15,6.289574703000578,6.556072424785176
2018-07-01,6.212359318307083,6.475108766062382
2018-07-15,6.214149555482554,6.498915566713621
2018-08-01,6.229110858361705,6.357925744754901
2018-08-15,6.222394919139031,6.352847807536467
2018-09-01,6.200813335195003,6.488495407646785
2018-09-15,6.20312242554521,6.490604189903722
2018-10-01,6.207115453879592,6.492708534554357
2018-10-15,6.206344816844244,6.494862660343422
2018-11-01,6.198849480123901,6.489478302761023
2018-11-15,6.187112796827379,6.4760695667111605
2018-12-01,6.13506405352181,6.534558994643471
2018-12-15,6.187202434724281,6.570425394098724
2019-01-01,6.343234545762916,6.582929713837039
2019-01-15,6.342045789938428,6.595279604605138
2019-02-01,6.350872496844796,6.6012381584511175
2019-02-15,6.538350743312149,6.5957691844564295
2019-03-01,6.5318975236804,6.589250736391131
2019-03-15,6.460883859100299,6.616283758327989
2019-04-01,6.456334821995906,6.679103068370451
2019-04-15,6.5564785358549775,6.670370760201973
2019-05-01,6.569547085641163,6.682706090693324
2019-05-15,6.566436402953887,6.694891113024504
2019-06-01,6.564438980404133,6.669688502111016
2019-06-15,6.554031096916307,6.7561260042163465
2019-07-01,6.650210667962618,6.74937695063103
2019-07-15,6.737945960721086,6.742582037638564
2019-08-01,,6.786871164936991
2019-08-15,,6.829281673783383
2019-09-01,,6.795380463594158
2019-09-15,,6.774277960220293
2019-10-01,,6.7944061888226805
2019-10-15,,6.81413725291223
2019-11-01,,6.736288078998341
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
