Date,Busia,Mbale
2016-01-01,6.484273434130676,6.345177196872746
2016-01-15,6.5097193815338565,6.368214610247294
2016-02-01,6.487370746174096,6.3907332304326925
2016-02-15,6.480575301000738,6.408623847474042
2016-03-01,6.54795668949815,6.523607660487864
2016-03-15,6.549507351979705,6.517100976959076
2016-04-01,6.504827322206012,
2016-04-15,6.544519930548691,
2016-05-01,6.333078952381815,
2016-05-15,6.351968029604088,6.490642424291848
2016-06-01,6.348159339610958,6.454689250657641
2016-06-15,6.326456781179954,6.4774332427395285
2016-07-01,6.30475379309067,6.482272895773473
2016-07-15,6.336876534329248,6.39527238426644
2016-08-01,6.333496132248131,6.388736192476026
2016-08-15,6.44080757466837,6.474834526055797
2016-09-01,6.459829224395914,6.512793301594033
2016-09-15,6.5521888183429535,6.509919403873958
2016-10-01,6.557256755296448,6.541251078496721
2016-10-15,6.472967513574678,6.441994004612874
2016-11-01,6.362495507720012,6.327946247462975
2016-11-15,6.358446097206194,6.306900945368628
2016-12-01,6.477459806090242,6.419141635669155
2016-12-15,6.52600340998999,6.468766141124965
2017-01-01,6.527799111664322,6.503766816133705
2017-01-15,6.521873300117559,6.503275976301969
2017-02-01,6.5682621866316495,6.541146258015762
2017-02-15,6.755208606620563,6.76255386524853
2017-03-01,6.8144264820429035,6.816896839030441
2017-03-15,6.836408044213878,6.867779438137442
2017-04-01,6.763172859837966,6.861353697393771
2017-04-15,6.755151279648352,6.856648166002482
2017-05-01,6.757273450876662,6.845083920830362
2017-05-15,6.5686053536510105,6.745994329735111
2017-06-01,6.45524907719179,6.627582076102239
2017-06-15,6.335859699897743,6.529804686986427
2017-07-01,6.39597073814894,6.527619245638013
2017-07-15,6.452166065288748,6.528099966129934
2017-08-01,6.478555173605915,6.523633227923906
2017-08-15,6.474503260213176,6.55863096255904
2017-09-01,6.490188802656174,6.620159360657688
2017-09-15,6.587247809928879,6.437993100713827
2017-10-01,6.499956941318101,6.259280911242251
2017-10-15,6.395096163241861,6.199612585745824
2017-11-01,6.283574874774027,6.42589957911418
2017-11-15,6.212372552833423,6.425946653131482
2017-12-01,6.209992795585473,6.4220430143143945
2017-12-15,6.35076064995387,6.424951546577268
2018-01-01,6.306302535228485,6.413767803545446
2018-01-15,6.359145339474154,6.420989997139264
2018-02-01,6.384164618504159,6.420960528206205
2018-02-15,6.585852906913254,6.416406543159853
2018-03-01,6.583474574587587,6.411853508998498
2018-03-15,6.551717638267006,6.406870323508568
2018-04-01,6.564760051068772,6.397480079799721
2018-04-15,6.562364558744906,6.395084587475855
2018-05-01,6.631283818798618,6.3868037865875475
2018-05-15,6.258538428971502,6.386170099468836
2018-06-01,6.057030870876536,6.363062081996514
2018-06-15,6.0213704836787825,6.122466600550152
2018-07-01,5.955502967877606,6.126039556495682
2018-07-15,5.960273905882792,6.151915194625549
2018-08-01,5.956033494853461,6.156908459543163
2018-08-15,6.056329551764917,6.13979212908586
2018-09-01,6.0521816504274195,6.124408154481436
2018-09-15,6.133655764325433,6.123322182470887
2018-10-01,6.126954902622972,6.020651435457276
2018-10-15,6.132401458663641,6.129583232279798
2018-11-01,5.996663085586993,6.135021518959832
2018-11-15,5.94231889202038,6.145259736017071
2018-12-01,6.041642782338404,6.148032634165344
2018-12-15,6.064048048055822,6.154407268815136
2019-01-01,6.19304763747439,6.148796625712253
2019-01-15,6.266651194980059,6.152141484668644
2019-02-01,6.4511225008960125,6.158207792230096
2019-02-15,6.477744607422322,6.155978518190804
2019-03-01,6.470879912437218,6.144588235748122
2019-03-15,6.490652074375765,6.14072173954953
2019-04-01,6.551501210703764,6.135026817087231
2019-04-15,6.604173346422462,6.529444834379141
2019-05-01,6.590809707238734,6.676752137039459
2019-05-15,6.5736796800094,6.527554999426108
2019-06-01,6.473166649246316,
2019-06-15,6.4579911372117875,
2019-07-01,,
2019-07-15,,
2019-08-01,,
2019-08-15,,
2019-09-01,,
2019-09-15,,
2019-10-01,,
2019-10-15,,
2019-11-01,,
2019-11-15,,
2019-12-01,,
2019-12-15,,
2020-01-01,,
2020-01-15,,
2020-02-01,,
2020-02-15,,
