,Product,Origin,Destination,Helper,pairLength,pairCoint,pairIntegrated,pairSAD,issues
5,Green Grams,Kisumu,Eldoret,Green GramsKisumuEldoret,94,1.0,1.0,0.27647151077792975,1
8,Green Grams,Lira,Gulu,Green GramsLiraGulu,69,1.0,1.0,0.40851150407314724,0
13,Green Grams,Makueni,Machakos,Green GramsMakueniMachakos,79,1.0,1.0,0.4419446077339734,1
17,Green Grams,Meru,Makueni,Green GramsMeruMakueni,59,1.0,1.0,0.2617463431273785,1
19,Green Grams,Meru,Machakos,Green GramsMeruMachakos,51,1.0,1.0,0.3217519543200375,1
20,Green Grams,Meru,Eldoret,Green GramsMeruEldoret,61,0.0,1.0,0.30692010632351946,1
22,Green Grams,Mombasa,Machakos,Green GramsMombasaMachakos,84,1.0,1.0,0.5729317368419161,0
23,Green Grams,Mombasa,Makueni,Green GramsMombasaMakueni,87,1.0,1.0,0.3864041914858444,0
25,Green Grams,Nairobi,Makueni,Green GramsNairobiMakueni,84,1.0,1.0,0.3577818675768868,0
27,Green Grams,Nairobi,Mombasa,Green GramsNairobiMombasa,92,1.0,1.0,0.2313948817738433,1
28,Green Grams,Nairobi,Machakos,Green GramsNairobiMachakos,82,0.0,1.0,0.2898823217841023,1
29,Green Grams,Nairobi,Meru,Green GramsNairobiMeru,58,1.0,1.0,0.30814956585365505,0
30,Green Grams,Nairobi,Kisumu,Green GramsNairobiKisumu,91,1.0,1.0,0.1609224868021304,1
31,Green Grams,Nakuru,Meru,Green GramsNakuruMeru,61,1.0,1.0,0.41719155471155606,1
32,Green Grams,Nakuru,Eldoret,Green GramsNakuruEldoret,99,1.0,1.0,0.34217908447340284,0
33,Green Grams,Nakuru,Kisumu,Green GramsNakuruKisumu,93,0.0,1.0,0.33872795484714624,1
34,Green Grams,Nakuru,Nairobi,Green GramsNakuruNairobi,96,1.0,1.0,0.4852390504844951,0
35,Green Grams,Soroti,Lira,Green GramsSorotiLira,56,1.0,1.0,0.6282896816563464,0
47,Maize,Bujumbura,Arusha,MaizeBujumburaArusha,88,1.0,1.0,0.2883538354276879,0
59,Maize,Dodoma,Arusha,MaizeDodomaArusha,47,1.0,1.0,0.39764665575448876,0
62,Maize,Eldoret,Busia,MaizeEldoretBusia,84,1.0,1.0,0.25074340439940224,1
67,Maize,Gitega,Arusha,MaizeGitegaArusha,89,1.0,1.0,0.2604227539961136,0
69,Maize,Gitega,Dodoma,MaizeGitegaDodoma,55,1.0,1.0,0.15466766225382275,1
70,Maize,Gitega,Bujumbura,MaizeGitegaBujumbura,97,1.0,1.0,0.25626918842689084,1
78,Maize,Kamembe,Bujumbura,MaizeKamembeBujumbura,54,1.0,1.0,0.41599234039689414,0
84,Maize,Kampala,Busia,MaizeKampalaBusia,84,1.0,1.0,1.0399838611168826,1
85,Maize,Kampala,Arusha,MaizeKampalaArusha,89,1.0,1.0,0.3254917545502875,0
90,Maize,Kasese,Kabale,MaizeKaseseKabale,72,1.0,1.0,0.20061258777715943,1
93,Maize,Kasese,Kampala,MaizeKaseseKampala,76,1.0,1.0,0.23650289747491748,1
94,Maize,Kasese,Busia,MaizeKaseseBusia,76,0.0,1.0,0.343912718885357,1
98,Maize,Kigali,Kamembe,MaizeKigaliKamembe,55,1.0,1.0,0.24057321628827996,1
99,Maize,Kigali,Gitega,MaizeKigaliGitega,99,1.0,1.0,0.16649534783999628,1
105,Maize,Kisumu,Kampala,MaizeKisumuKampala,93,1.0,1.0,0.24153877920957234,1
106,Maize,Kisumu,Busia,MaizeKisumuBusia,84,1.0,1.0,0.276692688330431,1
107,Maize,Kisumu,Arusha,MaizeKisumuArusha,82,1.0,1.0,0.5045905418917401,0
109,Maize,Kisumu,Eldoret,MaizeKisumuEldoret,93,0.0,1.0,0.2726750472758556,1
113,Maize,Lira,Gulu,MaizeLiraGulu,66,1.0,1.0,0.4231568631544606,1
115,Maize,Machakos,Arusha,MaizeMachakosArusha,80,1.0,1.0,0.4133413581449838,1
119,Maize,Makueni,Arusha,MaizeMakueniArusha,78,1.0,1.0,0.25210268609957537,1
121,Maize,Makueni,Machakos,MaizeMakueniMachakos,81,1.0,1.0,1.1508586145830957,1
124,Maize,Masindi,Kasese,MaizeMasindiKasese,76,1.0,1.0,0.24840284147561162,1
127,Maize,Masindi,Kampala,MaizeMasindiKampala,98,1.0,1.0,0.6518042177633301,1
128,Maize,Masindi,Busia,MaizeMasindiBusia,84,1.0,1.0,0.7131878806002635,1
129,Maize,Masindi,Lira,MaizeMasindiLira,94,1.0,1.0,0.45216313603055747,1
131,Maize,Masindi,Gulu,MaizeMasindiGulu,66,1.0,1.0,0.3632927218602696,1
132,Maize,Mbale,Kasese,MaizeMbaleKasese,71,1.0,1.0,0.27271485158736025,1
134,Maize,Mbale,Kampala,MaizeMbaleKampala,79,1.0,1.0,1.0346484429205354,1
135,Maize,Mbale,Busia,MaizeMbaleBusia,79,1.0,1.0,0.0,1
136,Maize,Mbale,Masindi,MaizeMbaleMasindi,79,1.0,1.0,0.488878166972795,1
138,Maize,Mbale,Eldoret,MaizeMbaleEldoret,79,1.0,1.0,0.21098408417022702,1
139,Maize,Mbale,Kisumu,MaizeMbaleKisumu,79,0.0,1.0,0.23376873554441582,1
140,Maize,Meru,Makueni,MaizeMeruMakueni,59,1.0,1.0,0.7031494067945042,0
142,Maize,Meru,Machakos,MaizeMeruMachakos,52,1.0,1.0,0.7082153833675988,1
143,Maize,Meru,Eldoret,MaizeMeruEldoret,63,0.0,1.0,0.1684440864389707,1
145,Maize,Mombasa,Machakos,MaizeMombasaMachakos,84,1.0,1.0,0.30668103990802903,1
146,Maize,Mombasa,Makueni,MaizeMombasaMakueni,89,1.0,1.0,0.34132845275803675,0
147,Maize,Mombasa,Arusha,MaizeMombasaArusha,84,1.0,1.0,0.3570240985048645,0
149,Maize,Mulindi,Kigali,MaizeMulindiKigali,90,1.0,1.0,0.28081803499457025,0
151,Maize,Mulindi,Kabale,MaizeMulindiKabale,86,1.0,1.0,0.21304421037223212,1
152,Maize,Nairobi,Makueni,MaizeNairobiMakueni,87,1.0,1.0,0.19342534364429007,1
154,Maize,Nairobi,Kampala,MaizeNairobiKampala,98,1.0,1.0,0.11783171263415407,1
155,Maize,Nairobi,Arusha,MaizeNairobiArusha,87,0.0,1.0,0.1308033895705214,1
156,Maize,Nairobi,Mombasa,MaizeNairobiMombasa,93,1.0,1.0,0.3065174936624953,1
157,Maize,Nairobi,Machakos,MaizeNairobiMachakos,83,1.0,1.0,0.13326525131644323,1
158,Maize,Nairobi,Meru,MaizeNairobiMeru,61,1.0,1.0,0.28091432699322505,0
159,Maize,Nairobi,Kisumu,MaizeNairobiKisumu,91,1.0,1.0,0.36116288690107823,0
160,Maize,Nakuru,Kampala,MaizeNakuruKampala,100,1.0,1.0,0.22425518159203023,1
161,Maize,Nakuru,Arusha,MaizeNakuruArusha,89,1.0,1.0,0.2528935385882688,0
162,Maize,Nakuru,Meru,MaizeNakuruMeru,63,1.0,1.0,0.08586658569784522,0
163,Maize,Nakuru,Eldoret,MaizeNakuruEldoret,100,1.0,1.0,0.5678280477429286,0
164,Maize,Nakuru,Kisumu,MaizeNakuruKisumu,93,1.0,1.0,0.34666869268269984,1
165,Maize,Nakuru,Nairobi,MaizeNakuruNairobi,98,1.0,1.0,0.28774777468942314,1
166,Maize,Ngozi,Kamembe,MaizeNgoziKamembe,52,1.0,1.0,0.41428426120958345,0
167,Maize,Ngozi,Gitega,MaizeNgoziGitega,68,1.0,1.0,0.5622872330287926,0
168,Maize,Ngozi,Kigali,MaizeNgoziKigali,67,1.0,1.0,0.13078720452264886,1
170,Maize,Ngozi,Bujumbura,MaizeNgoziBujumbura,66,1.0,1.0,0.9540326559286363,0
