,Chain,Length,ChainAverage,startingChain,startingEdgeWeight,oneLevelDown,oneLevelDownEdgeWeight,marginalAvgIncrease
18,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Makueni')]",6,0.39169347868092674,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos')]",0.3816432528703174,0.010050225810609326
19,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru'), ('Meru', 'Makueni')]",7,0.35595922311414335,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru')]",0.37166136977860414,-0.015702146664460792
20,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Makueni')]",5,0.3443377437991031,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Mombasa')]",0.33382113187741774,0.010516611921685348
21,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Makueni')]",5,0.33475711094337224,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru')]",0.35300980289737066,-0.018252691953998423
22,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Makueni')]",6,0.3626226289405823,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos')]",0.346758233181904,0.015864395758678262
23,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa'), ('Mombasa', 'Makueni')]",7,0.3847324420338972,"('Kisumu', 'Eldoret')",0.2764715107779297,"[('Kisumu', 'Eldoret'), ('Eldoret', 'Nakuru'), ('Nakuru', 'Nairobi'), ('Nairobi', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",0.3844538171252394,0.00027862490865782075
24,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Makueni')]",2,0.2593521771895086,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi')]",0.1609224868021304,0.0984296903873782
25,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Makueni')]",4,0.3517984282879658,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos')]",0.32174970180596324,0.030048726482002575
26,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru'), ('Meru', 'Makueni')]",5,0.3097494805730612,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru')]",0.32175026493448183,-0.012000784361420658
27,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa'), ('Mombasa', 'Makueni')]",3,0.25957385335393934,"('Kisumu', 'Nairobi')",0.1609224868021304,"[('Kisumu', 'Nairobi'), ('Nairobi', 'Mombasa')]",0.19615868428798683,0.06341516906595251
