,Chain,Length,ChainAverage,startingChain
0,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Soroti'), ('Soroti', 'Lira')]",4,0.4974760803153737,"('Kasese', 'Kampala')"
1,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Soroti'), ('Soroti', 'Lira')]",5,0.35750473980469083,"('Kasese', 'Kampala')"
2,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira')]",3,0.12953427097735756,"('Kasese', 'Kampala')"
3,"[('Kasese', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",3,0.3445153174974565,"('Kasese', 'Kampala')"
4,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Soroti'), ('Soroti', 'Lira')]",4,0.29878026074368036,"('Kasese', 'Kampala')"
5,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Soroti'), ('Soroti', 'Lira')]",5,0.42475724014182115,"('Kasese', 'Kampala')"
6,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Soroti'), ('Soroti', 'Lira')]",5,0.4215697306588826,"('Kasese', 'Masindi')"
7,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Soroti'), ('Soroti', 'Lira')]",6,0.31757800517606205,"('Kasese', 'Masindi')"
8,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",4,0.2878725711313219,"('Kasese', 'Masindi')"
9,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Soroti'), ('Soroti', 'Lira')]",5,0.2626130750015279,"('Kasese', 'Masindi')"
10,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Soroti'), ('Soroti', 'Lira')]",6,0.373621755457004,"('Kasese', 'Masindi')"
11,"[('Kasese', 'Masindi'), ('Masindi', 'Lira')]",2,0.13492960584006763,"('Kasese', 'Masindi')"
12,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Soroti')]",3,0.48386936655856455,"('Kasese', 'Kampala')"
13,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Soroti')]",4,0.31230686935941326,"('Kasese', 'Kampala')"
14,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Soroti')]",4,0.23172475862946845,"('Kasese', 'Kampala')"
15,"[('Kasese', 'Kampala'), ('Kampala', 'Soroti')]",2,0.24762486545328416,"('Kasese', 'Kampala')"
16,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Soroti')]",3,0.2189416071296401,"('Kasese', 'Kampala')"
17,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Soroti')]",4,0.39637249478082615,"('Kasese', 'Kampala')"
18,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Soroti')]",4,0.39238810792715295,"('Kasese', 'Masindi')"
