,Chain,Length,ChainAverage,startingChain
2202,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",7,0.24380776119223316,"('Mulindi', 'Kabale')"
2203,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",7,0.1984104126834393,"('Mulindi', 'Kabale')"
2204,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",5,0.2385809170499089,"('Mulindi', 'Ruhengeri')"
2205,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",7,0.25552656396428675,"('Mulindi', 'Ruhengeri')"
2206,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",6,0.26076785951368214,"('Mulindi', 'Ruhengeri')"
2207,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",6,0.2667037613652202,"('Mulindi', 'Ruhengeri')"
2208,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",7,0.28170359143198137,"('Mulindi', 'Ruhengeri')"
2209,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",7,0.2799139427372808,"('Mulindi', 'Ruhengeri')"
2210,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",7,0.2617387733835243,"('Mulindi', 'Ruhengeri')"
2211,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",6,0.21374018810496068,"('Mulindi', 'Ruhengeri')"
2212,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",6,0.2265454891761314,"('Mulindi', 'Ruhengeri')"
2213,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",7,0.24728221526990526,"('Mulindi', 'Ruhengeri')"
2214,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Kisumu')]",7,0.25237013114265217,"('Mulindi', 'Ruhengeri')"
2215,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kisumu')]",7,0.2069727826338583,"('Mulindi', 'Ruhengeri')"
2216,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Rubavu')]",5,0.23159083258023472,"('Mulindi', 'Kabale')"
2217,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Rubavu')]",4,0.19508353769007092,"('Mulindi', 'Kabale')"
2218,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Rubavu')]",4,0.21917265776372713,"('Mulindi', 'Kabale')"
2219,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Rubavu')]",3,0.16635687297133953,"('Mulindi', 'Kabale')"
2220,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Rubavu')]",3,0.25675295696686584,"('Mulindi', 'Ruhengeri')"
2221,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Rubavu')]",2,0.1963194293798538,"('Mulindi', 'Ruhengeri')"
2222,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala')]",3,0.20674009183673578,"('Mulindi', 'Kabale')"
2223,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala')]",4,0.2568845646129959,"('Mulindi', 'Kabale')"
2224,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala')]",5,0.27734265788432566,"('Mulindi', 'Kabale')"
2225,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala')]",5,0.25189742078906646,"('Mulindi', 'Kabale')"
2226,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala')]",6,0.27220703614381647,"('Mulindi', 'Kabale')"
2227,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala')]",4,0.18990605170846864,"('Mulindi', 'Kabale')"
2228,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala')]",5,0.23338843795513023,"('Mulindi', 'Kabale')"
2229,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala')]",6,0.2543528701242159,"('Mulindi', 'Kabale')"
2230,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala')]",6,0.23314850587816663,"('Mulindi', 'Kabale')"
2231,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala')]",7,0.2532351640266523,"('Mulindi', 'Kabale')"
2232,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Kampala')]",3,0.21773081555985452,"('Mulindi', 'Ruhengeri')"
2233,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala')]",4,0.26512760740533503,"('Mulindi', 'Ruhengeri')"
2234,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala')]",5,0.2839370921181969,"('Mulindi', 'Ruhengeri')"
2235,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala')]",5,0.25849185502293776,"('Mulindi', 'Ruhengeri')"
2236,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala')]",6,0.27770239800537583,"('Mulindi', 'Ruhengeri')"
2237,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Kampala')]",4,0.20489019912170187,"('Mulindi', 'Ruhengeri')"
2238,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Kampala')]",5,0.2453757558857168,"('Mulindi', 'Ruhengeri')"
2239,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala')]",6,0.2643423017330381,"('Mulindi', 'Ruhengeri')"
2240,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala')]",6,0.24313793748698878,"('Mulindi', 'Ruhengeri')"
2241,"[('Mulindi', 'Ruhengeri'), ('Ruhengeri', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala')]",7,0.26179753397707123,"('Mulindi', 'Ruhengeri')"
2242,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Bujumbura')]",5,0.22417295095063064,"('Mulindi', 'Kabale')"
2243,"[('Mulindi', 'Kabale'), ('Kabale', 'Kasese'), ('Kasese', 'Ruhengeri'), ('Ruhengeri', 'Rubavu'), ('Rubavu', 'Ngozi'), ('Ngozi', 'Bujumbura')]",6,0.2012844166222891,"('Mulindi', 'Kabale')"
2244,"[('Mulindi', 'Kabale'), ('Kabale', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Bujumbura')]",4,0.20990030572672203,"('Mulindi', 'Kabale')"
