,Chain,Length,ChainAverage,startingChain
0,"[('Makueni', 'Machakos')]",1,0.711127438246849,"('Makueni', 'Machakos')"
1,"[('Makueni', 'Meru'), ('Meru', 'Machakos')]",2,0.20789750544113006,"('Makueni', 'Meru')"
2,"[('Makueni', 'Mombasa'), ('Mombasa', 'Machakos')]",2,0.18739093054911476,"('Makueni', 'Mombasa')"
3,"[('Makueni', 'Machakos'), ('Machakos', 'Meru')]",2,0.45984706509716844,"('Makueni', 'Machakos')"
4,"[('Makueni', 'Meru')]",1,0.2072283189347722,"('Makueni', 'Meru')"
5,"[('Makueni', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru')]",3,0.1944495176819058,"('Makueni', 'Mombasa')"
6,"[('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",2,0.42494440244931814,"('Makueni', 'Machakos')"
7,"[('Makueni', 'Meru'), ('Meru', 'Machakos'), ('Machakos', 'Mombasa')]",3,0.18485212584468247,"('Makueni', 'Meru')"
8,"[('Makueni', 'Mombasa')]",1,0.2360204944464422,"('Makueni', 'Mombasa')"
9,"[('Makueni', 'Machakos'), ('Machakos', 'Meru'), ('Meru', 'Eldoret')]",3,0.3605050103518869,"('Makueni', 'Machakos')"
10,"[('Makueni', 'Meru'), ('Meru', 'Eldoret')]",2,0.184524609898048,"('Makueni', 'Meru')"
11,"[('Makueni', 'Mombasa'), ('Mombasa', 'Machakos'), ('Machakos', 'Meru'), ('Meru', 'Eldoret')]",4,0.18629236347676031,"('Makueni', 'Mombasa')"
12,"[('Machakos', 'Makueni')]",1,0.711127438246849,"('Machakos', 'Makueni')"
13,"[('Machakos', 'Meru'), ('Meru', 'Makueni')]",2,0.20789750544113006,"('Machakos', 'Meru')"
14,"[('Machakos', 'Mombasa'), ('Mombasa', 'Makueni')]",2,0.18739093054911476,"('Machakos', 'Mombasa')"
15,"[('Machakos', 'Makueni'), ('Makueni', 'Meru')]",2,0.4591778785908106,"('Machakos', 'Makueni')"
16,"[('Machakos', 'Meru')]",1,0.2085666919474879,"('Machakos', 'Meru')"
17,"[('Machakos', 'Mombasa'), ('Mombasa', 'Makueni'), ('Makueni', 'Meru')]",3,0.19400339334433392,"('Machakos', 'Mombasa')"
18,"[('Machakos', 'Makueni'), ('Makueni', 'Mombasa')]",2,0.4735739663466456,"('Machakos', 'Makueni')"
19,"[('Machakos', 'Meru'), ('Meru', 'Makueni'), ('Makueni', 'Mombasa')]",3,0.21727183510956746,"('Machakos', 'Meru')"
20,"[('Machakos', 'Mombasa')]",1,0.1387613666517873,"('Machakos', 'Mombasa')"
21,"[('Machakos', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Eldoret')]",3,0.360058886014315,"('Machakos', 'Makueni')"
22,"[('Machakos', 'Meru'), ('Meru', 'Eldoret')]",2,0.18519379640440586,"('Machakos', 'Meru')"
23,"[('Machakos', 'Mombasa'), ('Mombasa', 'Makueni'), ('Makueni', 'Meru'), ('Meru', 'Eldoret')]",4,0.1859577702235814,"('Machakos', 'Mombasa')"
24,"[('Kigali', 'Kamembe'), ('Kamembe', 'Bujumbura')]",2,0.2296361341858007,"('Kigali', 'Kamembe')"
25,"[('Kigali', 'Kamembe'), ('Kamembe', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Gitega'), ('Gitega', 'Bujumbura')]",5,0.42543753020005654,"('Kigali', 'Kamembe')"
26,"[('Kigali', 'Kamembe'), ('Kamembe', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Bujumbura')]",4,0.33687512255261587,"('Kigali', 'Kamembe')"
27,"[('Kigali', 'Gitega'), ('Gitega', 'Bujumbura')]",2,0.4087088245841989,"('Kigali', 'Gitega')"
28,"[('Kigali', 'Gitega'), ('Gitega', 'Ngozi'), ('Ngozi', 'Bujumbura')]",3,0.3208042511395833,"('Kigali', 'Gitega')"
29,"[('Kigali', 'Gitega'), ('Gitega', 'Ngozi'), ('Ngozi', 'Ruhengeri'), ('Ruhengeri', 'Kamembe'), ('Kamembe', 'Bujumbura')]",5,0.30353052578874296,"('Kigali', 'Gitega')"
30,"[('Kigali', 'Ngozi'), ('Ngozi', 'Gitega'), ('Gitega', 'Bujumbura')]",3,0.4213040096620073,"('Kigali', 'Ngozi')"
31,"[('Kigali', 'Ngozi'), ('Ngozi', 'Bujumbura')]",2,0.24211243409810146,"('Kigali', 'Ngozi')"
32,"[('Kigali', 'Ngozi'), ('Ngozi', 'Ruhengeri'), ('Ruhengeri', 'Kamembe'), ('Kamembe', 'Bujumbura')]",4,0.259866185930292,"('Kigali', 'Ngozi')"
33,"[('Kigali', 'Ruhengeri'), ('Ruhengeri', 'Kamembe'), ('Kamembe', 'Bujumbura')]",3,0.31678671432124306,"('Kigali', 'Ruhengeri')"
34,"[('Kigali', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Gitega'), ('Gitega', 'Bujumbura')]",4,0.4435969812866437,"('Kigali', 'Ruhengeri')"
35,"[('Kigali', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Bujumbura')]",3,0.3315669214522519,"('Kigali', 'Ruhengeri')"
36,"[('Kigali', 'Kamembe'), ('Kamembe', 'Bujumbura'), ('Bujumbura', 'Gitega')]",3,0.36219638490181255,"('Kigali', 'Kamembe')"
37,"[('Kigali', 'Kamembe'), ('Kamembe', 'Bujumbura'), ('Bujumbura', 'Ngozi'), ('Ngozi', 'Gitega')]",4,0.30789606473894743,"('Kigali', 'Kamembe')"
38,"[('Kigali', 'Kamembe'), ('Kamembe', 'Ruhengeri'), ('Ruhengeri', 'Ngozi'), ('Ngozi', 'Gitega')]",4,0.3749676911666116,"('Kigali', 'Kamembe')"
