,Chain,Length,ChainAverage,startingChain
0,"[('Mbale', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",3,0.2710170383937361,"('Mbale', 'Kampala')"
1,"[('Mbale', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",4,0.2973108119367132,"('Mbale', 'Busia')"
2,"[('Mbale', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",5,0.41549727144225884,"('Mbale', 'Busia')"
3,"[('Mbale', 'Soroti'), ('Soroti', 'Lira')]",2,0.2504912331086421,"('Mbale', 'Soroti')"
4,"[('Mbale', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",4,0.32630600948441196,"('Mbale', 'Tororo')"
5,"[('Mbale', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira')]",5,0.36533094337605004,"('Mbale', 'Tororo')"
6,"[('Mbale', 'Kampala'), ('Kampala', 'Soroti')]",2,0.26092002460161234,"('Mbale', 'Kampala')"
7,"[('Mbale', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti')]",3,0.2993440605896231,"('Mbale', 'Busia')"
8,"[('Mbale', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti')]",4,0.4465688228083276,"('Mbale', 'Busia')"
9,"[('Mbale', 'Soroti')]",1,0.2097714002393004,"('Mbale', 'Soroti')"
10,"[('Mbale', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti')]",3,0.3380043239865547,"('Mbale', 'Tororo')"
11,"[('Mbale', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti')]",4,0.38386091272556666,"('Mbale', 'Tororo')"
12,"[('Mbale', 'Kampala'), ('Kampala', 'Busia')]",2,0.28170987032806705,"('Mbale', 'Kampala')"
13,"[('Mbale', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",3,0.48388761670685837,"('Mbale', 'Kampala')"
14,"[('Mbale', 'Busia')]",1,0.4193453581386139,"('Mbale', 'Busia')"
15,"[('Mbale', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia')]",3,0.22948607462318527,"('Mbale', 'Soroti')"
16,"[('Mbale', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",4,0.3941753333334992,"('Mbale', 'Soroti')"
17,"[('Mbale', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Busia')]",3,0.3518642211375245,"('Mbale', 'Tororo')"
18,"[('Mbale', 'Tororo'), ('Tororo', 'Busia')]",2,0.5283784136360056,"('Mbale', 'Tororo')"
19,"[('Mbale', 'Masindi')]",1,0.307161000786067,"('Mbale', 'Masindi')"
20,"[('Mbale', 'Kampala')]",1,0.3032864831145517,"('Mbale', 'Kampala')"
21,"[('Mbale', 'Busia'), ('Busia', 'Kampala')]",2,0.33973930784009815,"('Mbale', 'Busia')"
22,"[('Mbale', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Kampala')]",3,0.5225739083815458,"('Mbale', 'Busia')"
23,"[('Mbale', 'Soroti'), ('Soroti', 'Kampala')]",2,0.2141624831639867,"('Mbale', 'Soroti')"
24,"[('Mbale', 'Tororo'), ('Tororo', 'Kampala')]",2,0.39772970293549564,"('Mbale', 'Tororo')"
25,"[('Mbale', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala')]",3,0.4389633616045312,"('Mbale', 'Tororo')"
26,"[('Mbale', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",4,0.2877965524382118,"('Mbale', 'Kampala')"
27,"[('Mbale', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",5,0.30547566846369834,"('Mbale', 'Busia')"
28,"[('Mbale', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",6,0.4026035752971555,"('Mbale', 'Busia')"
29,"[('Mbale', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",3,0.2797058535963077,"('Mbale', 'Soroti')"
30,"[('Mbale', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",5,0.32867182650185733,"('Mbale', 'Tororo')"
31,"[('Mbale', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Soroti'), ('Soroti', 'Lira'), ('Lira', 'Gulu')]",6,0.3607983019086482,"('Mbale', 'Tororo')"
32,"[('Mbale', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo')]",3,0.42275221161988524,"('Mbale', 'Kampala')"
33,"[('Mbale', 'Kampala'), ('Kampala', 'Tororo')]",2,0.37341297795852674,"('Mbale', 'Kampala')"
34,"[('Mbale', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Tororo')]",3,0.374339362827566,"('Mbale', 'Busia')"
35,"[('Mbale', 'Busia'), ('Busia', 'Tororo')]",2,0.5620911261710678,"('Mbale', 'Busia')"
36,"[('Mbale', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo')]",4,0.34832377951826937,"('Mbale', 'Soroti')"
37,"[('Mbale', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo')]",3,0.2906214797101584,"('Mbale', 'Soroti')"
38,"[('Mbale', 'Tororo')]",1,0.3519199330684895,"('Mbale', 'Tororo')"
39,"[('Lira', 'Soroti'), ('Soroti', 'Mbale')]",2,0.2504912331086421,"('Lira', 'Soroti')"
40,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Mbale')]",4,0.29731081193671327,"('Lira', 'Soroti')"
41,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Mbale')]",5,0.36533094337605004,"('Lira', 'Soroti')"
42,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Mbale')]",3,0.2710170383937361,"('Lira', 'Soroti')"
43,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Mbale')]",4,0.32630600948441196,"('Lira', 'Soroti')"
44,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Mbale')]",5,0.4154972714422588,"('Lira', 'Soroti')"
45,"[('Lira', 'Soroti')]",1,0.2912110659779837,"('Lira', 'Soroti')"
46,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Kampala'), ('Kampala', 'Busia')]",4,0.26610055171835456,"('Lira', 'Soroti')"
47,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",5,0.39052906326757186,"('Lira', 'Soroti')"
48,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Busia')]",3,0.306775941451966,"('Lira', 'Soroti')"
49,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Busia')]",5,0.31131502592597154,"('Lira', 'Soroti')"
50,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Tororo'), ('Tororo', 'Busia')]",4,0.3894348233723238,"('Lira', 'Soroti')"
51,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia')]",3,0.25663262986941304,"('Lira', 'Soroti')"
52,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Mbale'), ('Mbale', 'Busia')]",4,0.30809911832995557,"('Lira', 'Soroti')"
53,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Mbale'), ('Mbale', 'Tororo'), ('Tororo', 'Busia')]",5,0.37396158849064387,"('Lira', 'Soroti')"
54,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Mbale'), ('Mbale', 'Busia')]",5,0.34491387921525235,"('Lira', 'Soroti')"
55,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",4,0.41453524976817,"('Lira', 'Soroti')"
56,"[('Lira', 'Soroti'), ('Soroti', 'Mbale'), ('Mbale', 'Masindi')]",3,0.2693811556677837,"('Lira', 'Soroti')"
57,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Mbale'), ('Mbale', 'Masindi')]",5,0.29928084970658403,"('Lira', 'Soroti')"
58,"[('Lira', 'Soroti'), ('Soroti', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Mbale'), ('Mbale', 'Masindi')]",6,0.3556359529443862,"('Lira', 'Soroti')"
