,Chain,Length,ChainAverage,startingChain
0,"[('Makueni', 'Machakos')]",1,0.1866346467334639,"('Makueni', 'Machakos')"
1,"[('Makueni', 'Mombasa'), ('Mombasa', 'Machakos')]",2,0.18293107030242678,"('Makueni', 'Mombasa')"
2,"[('Makueni', 'Machakos'), ('Machakos', 'Mombasa')]",2,0.22252828890471377,"('Makueni', 'Machakos')"
3,"[('Makueni', 'Mombasa')]",1,0.1074402095288899,"('Makueni', 'Mombasa')"
4,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Eldoret'), ('Eldoret', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira')]",6,0.2925951499533866,"('Kasese', 'Kampala')"
5,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Eldoret'), ('Eldoret', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira')]",7,0.31341078616309687,"('Kasese', 'Kampala')"
6,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira')]",5,0.371983418467283,"('Kasese', 'Kampala')"
7,"[('Kasese', 'Kampala'), ('Kampala', 'Busia'), ('Busia', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira')]",6,0.38303694929296217,"('Kasese', 'Kampala')"
8,"[('Kasese', 'Kampala'), ('Kampala', 'Lira')]",2,0.3145112957710689,"('Kasese', 'Kampala')"
9,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Lira')]",3,0.3854147761352042,"('Kasese', 'Kampala')"
10,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira')]",4,0.39863723295674264,"('Kasese', 'Kampala')"
11,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Lira')]",4,0.3380742194213407,"('Kasese', 'Kampala')"
12,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira')]",5,0.35812029622134417,"('Kasese', 'Kampala')"
13,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Lira')]",3,0.37422310753350874,"('Kasese', 'Masindi')"
14,"[('Kasese', 'Masindi'), ('Masindi', 'Lira')]",2,0.4504365912558015,"('Kasese', 'Masindi')"
15,"[('Kasese', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira')]",3,0.446392595310987,"('Kasese', 'Masindi')"
16,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Lira')]",4,0.32968046797006917,"('Kasese', 'Masindi')"
17,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Lira')]",5,0.3652684173062658,"('Kasese', 'Masindi')"
18,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia'), ('Busia', 'Kampala'), ('Kampala', 'Lira')]",6,0.28699931565253894,"('Kasese', 'Masindi')"
19,"[('Kasese', 'Kampala'), ('Kampala', 'Busia')]",2,0.2934219601844101,"('Kasese', 'Kampala')"
20,"[('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu'), ('Gulu', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",6,0.3900667278218484,"('Kasese', 'Kampala')"
21,"[('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Gulu'), ('Gulu', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",7,0.319436310616428,"('Kasese', 'Kampala')"
22,"[('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",5,0.38041915270194654,"('Kasese', 'Kampala')"
23,"[('Kasese', 'Kampala'), ('Kampala', 'Lira'), ('Lira', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",6,0.2996249284822729,"('Kasese', 'Kampala')"
24,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",4,0.3638080784499141,"('Kasese', 'Kampala')"
25,"[('Kasese', 'Kampala'), ('Kampala', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",5,0.2701772242367122,"('Kasese', 'Kampala')"
26,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",3,0.3998712444670649,"('Kasese', 'Kampala')"
27,"[('Kasese', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",4,0.27381688519627484,"('Kasese', 'Kampala')"
28,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Busia')]",3,0.36016355047573617,"('Kasese', 'Masindi')"
29,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",4,0.42331511611489575,"('Kasese', 'Masindi')"
30,"[('Kasese', 'Masindi'), ('Masindi', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",5,0.3177828543686975,"('Kasese', 'Masindi')"
31,"[('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Busia')]",4,0.3818385252843213,"('Kasese', 'Masindi')"
32,"[('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",5,0.4280247828339319,"('Kasese', 'Masindi')"
33,"[('Kasese', 'Masindi'), ('Masindi', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",6,0.33929628692559405,"('Kasese', 'Masindi')"
34,"[('Kasese', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Busia')]",5,0.39313174091172864,"('Kasese', 'Masindi')"
35,"[('Kasese', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Busia')]",6,0.42973808626516957,"('Kasese', 'Masindi')"
36,"[('Kasese', 'Masindi'), ('Masindi', 'Gulu'), ('Gulu', 'Lira'), ('Lira', 'Kampala'), ('Kampala', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",7,0.3534403321392746,"('Kasese', 'Masindi')"
37,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Kampala'), ('Kampala', 'Busia')]",4,0.31913580017673976,"('Kasese', 'Masindi')"
38,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Busia')]",3,0.3999537226352156,"('Kasese', 'Masindi')"
39,"[('Kasese', 'Masindi'), ('Masindi', 'Tororo'), ('Tororo', 'Eldoret'), ('Eldoret', 'Busia')]",4,0.27387874382238786,"('Kasese', 'Masindi')"
