,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long,Unnatural
0,Arusha,Dodoma,0.1,-3.386925,36.682993,-6.162959,35.751607,0
1,Arusha,Kigoma,0.1,-3.386925,36.682993,-4.88615,29.638321,0
2,Arusha,Machakos,0.1,-3.386925,36.682993,-1.517684,37.263415,0
3,Arusha,Makueni,0.1,-3.386925,36.682993,-1.786495,37.631107,0
4,Arusha,Morogoro,0.1,-3.386925,36.682993,-6.82824,37.667789,0
5,Arusha,Moshi,0.1,-3.386925,36.682993,-3.34882,37.343151,0
6,Arusha,Musoma,0.1,-3.386925,36.682993,-1.4997,33.806351,0
7,Arusha,Mwanza,0.1,-3.386925,36.682993,-2.51788,32.8991,0
8,Arusha,Nairobi,0.1,-3.386925,36.682993,-1.292066,36.821945,0
9,Bujumbura,Gitega,0.1,-3.361378,29.359878,-3.428803,29.924903,0
10,Bujumbura,Kamembe,0.1,-3.361378,29.359878,-2.462016,28.907371,0
11,Bujumbura,Kigoma,0.1,-3.361378,29.359878,-4.88615,29.638321,0
12,Bujumbura,Ngozi,0.1,-3.361378,29.359878,-2.91084,29.82443,0
13,Busia,Eldoret,0.1,0.470669,34.09198,0.514277,35.26978,0
14,Busia,Kampala,0.1,0.470669,34.09198,0.347596,32.58252,0
15,Busia,Kisumu,0.1,0.470669,34.09198,-0.091702,34.767957,0
16,Busia,Kitale,0.1,0.470669,34.09198,1.01837,35.00283,0
17,Busia,Owino,0.1,0.470669,34.09198,0.31569,32.57811,0
18,Busia,Tororo,0.1,0.470669,34.09198,0.69313,34.181,0
19,Dar es salaam,Morogoro,0.1,-6.792354,39.208328,-6.82824,37.667789,0
20,Dar es salaam,Moshi,0.1,-6.792354,39.208328,-3.34882,37.343151,0
21,Dar es salaam,Songea,0.1,-6.792354,39.208328,-10.66551,35.645039,0
22,Dar es salaam,Tanga,0.1,-6.792354,39.208328,-5.07013,39.104931,0
23,Dodoma,Arusha,0.1,-6.162959,35.751607,-3.386925,36.682993,0
24,Dodoma,Iringa,0.1,-6.162959,35.751607,-7.768059,35.686072,0
25,Dodoma,Mbeya,0.1,-6.162959,35.751607,-8.909401,33.460774,0
26,Dodoma,Morogoro,0.1,-6.162959,35.751607,-6.82824,37.667789,0
27,Dodoma,Mwanza,0.1,-6.162959,35.751607,-2.51788,32.8991,0
28,Eldoret,Busia,0.1,0.514277,35.26978,0.470669,34.09198,0
29,Eldoret,Kisumu,0.1,0.514277,35.26978,-0.091702,34.767957,0
30,Eldoret,Kitale,0.1,0.514277,35.26978,1.01837,35.00283,0
31,Eldoret,Meru,0.1,0.514277,35.26978,0.051472,37.645604,0
32,Eldoret,Nakuru,0.1,0.514277,35.26978,-0.28149,36.078419,0
33,Eldoret,Tororo,0.1,0.514277,35.26978,0.69313,34.181,0
34,Gicumbi,Kigali,0.1,-1.76971,29.94208,-1.970579,30.104429,0
35,Gicumbi,Kimironko,0.1,-1.76971,29.94208,-1.936238,30.13006,0
36,Gicumbi,Mulindi,0.1,-1.76971,29.94208,-1.477311,30.041967,0
37,Gicumbi,Ruhengeri,0.1,-1.76971,29.94208,-1.50442,29.63516,0
38,Gitega,Bujumbura,0.1,-3.428803,29.924903,-3.361378,29.359878,0
39,Gitega,Kigoma,0.1,-3.428803,29.924903,-4.88615,29.638321,0
40,Gitega,Kobero,0.1,-3.428803,29.924903,-2.664787968,30.40996919,0
41,Gitega,Mwanza,0.1,-3.428803,29.924903,-2.51788,32.8991,0
42,Gitega,Ngozi,0.1,-3.428803,29.924903,-2.91084,29.82443,0
43,Gulu,Lira,0.1,2.772404,32.288073,2.258083,32.887407,0
44,Gulu,Masindi,0.1,2.772404,32.288073,1.687313,31.713846,0
45,Iringa,Dodoma,0.1,-7.768059,35.686072,-6.162959,35.751607,0
46,Iringa,Mbeya,0.1,-7.768059,35.686072,-8.909401,33.460774,0
47,Iringa,Morogoro,0.1,-7.768059,35.686072,-6.82824,37.667789,0
48,Iringa,Songea,0.1,-7.768059,35.686072,-10.66551,35.645039,0
49,Kabale,Kasese,0.1,-1.241956,29.985616,0.169899,30.078078,0
50,Kabale,Mulindi,0.1,-1.241956,29.985616,-1.477311,30.041967,0
51,Kabale,Ruhengeri,0.1,-1.241956,29.985616,-1.50442,29.63516,0
52,Kamembe,Bujumbura,0.1,-2.462016,28.907371,-3.361378,29.359878,0
53,Kamembe,Kigali,0.1,-2.462016,28.907371,-1.970579,30.104429,0
54,Kamembe,Kimironko,0.1,-2.462016,28.907371,-1.936238,30.13006,0
55,Kamembe,Ngozi,0.1,-2.462016,28.907371,-2.91084,29.82443,0
56,Kamembe,Rubavu,0.1,-2.462016,28.907371,-1.69026,29.295179,0
57,Kamembe,Ruhuha,0.1,-2.462016,28.907371,-2.30838,30.0535,0
58,Kampala,Busia,0.1,0.347596,32.58252,0.470669,34.09198,0
59,Kampala,Kasese,0.1,0.347596,32.58252,0.169899,30.078078,0
60,Kampala,Masindi,0.1,0.347596,32.58252,1.687313,31.713846,0
61,Kampala,Mbale,0.1,0.347596,32.58252,1.078444,34.181006,0
62,Kampala,Musoma,0.1,0.347596,32.58252,-1.4997,33.806351,0
