,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long,Unnatural
63,Kampala,Owino,0.1,0.347596,32.58252,0.31569,32.57811,0
64,Kampala,Soroti,0.1,0.347596,32.58252,1.71553,33.610088,0
65,Kampala,Tororo,0.1,0.347596,32.58252,0.69313,34.181,0
66,Kapchorwa,Kitale,0.1,1.399349131,34.44225016,1.01837,35.00283,0
67,Kapchorwa,Mbale,0.1,1.399349131,34.44225016,1.078444,34.181006,0
68,Kasese,Kabale,0.1,0.169899,30.078078,-1.241956,29.985616,0
69,Kasese,Kampala,0.1,0.169899,30.078078,0.347596,32.58252,0
70,Kasese,Masindi,0.1,0.169899,30.078078,1.687313,31.713846,0
71,Kasese,Owino,0.1,0.169899,30.078078,0.31569,32.57811,0
72,Kasese,Ruhengeri,0.1,0.169899,30.078078,-1.50442,29.63516,0
73,Kicukiro,Kigali,0.1,1.98076,30.104811,-1.970579,30.104429,0
74,Kicukiro,Kimironko,0.1,1.98076,30.104811,-1.936238,30.13006,0
75,Kigali,Gicumbi,0.1,-1.970579,30.104429,-1.76971,29.94208,0
76,Kigali,Kamembe,0.1,-1.970579,30.104429,-2.462016,28.907371,0
77,Kigali,Kicukiro,0.1,-1.970579,30.104429,1.98076,30.104811,0
78,Kigali,Kimironko,0.1,-1.970579,30.104429,-1.936238,30.13006,0
79,Kigali,Kobero,0.1,-1.970579,30.104429,-2.664787968,30.40996919,0
80,Kigali,Ngozi,0.1,-1.970579,30.104429,-2.91084,29.82443,0
81,Kigali,Ruhengeri,0.1,-1.970579,30.104429,-1.50442,29.63516,0
82,Kigali,Ruhuha,0.1,-1.970579,30.104429,-2.30838,30.0535,0
83,Kigoma,Arusha,0.1,-4.88615,29.638321,-3.386925,36.682993,0
84,Kigoma,Bujumbura,0.1,-4.88615,29.638321,-3.361378,29.359878,0
85,Kigoma,Gitega,0.1,-4.88615,29.638321,-3.428803,29.924903,0
86,Kigoma,Kobero,0.1,-4.88615,29.638321,-2.664787968,30.40996919,0
87,Kigoma,Mbeya,0.1,-4.88615,29.638321,-8.909401,33.460774,0
88,Kigoma,Mwanza,0.1,-4.88615,29.638321,-2.51788,32.8991,0
89,Kigoma,Tunduma,0.1,-4.88615,29.638321,-9.30806,32.77507,0
90,Kimironko,Gicumbi,0.1,-1.936238,30.13006,-1.76971,29.94208,0
91,Kimironko,Kamembe,0.1,-1.936238,30.13006,-2.462016,28.907371,0
92,Kimironko,Kicukiro,0.1,-1.936238,30.13006,1.98076,30.104811,0
93,Kimironko,Kigali,0.1,-1.936238,30.13006,-1.970579,30.104429,0
94,Kimironko,Ruhuha,0.1,-1.936238,30.13006,-2.30838,30.0535,0
95,Kisumu,Busia,0.1,-0.091702,34.767957,0.470669,34.09198,0
96,Kisumu,Eldoret,0.1,-0.091702,34.767957,0.514277,35.26978,0
97,Kisumu,Kitale,0.1,-0.091702,34.767957,1.01837,35.00283,0
98,Kisumu,Musoma,0.1,-0.091702,34.767957,-1.4997,33.806351,0
99,Kisumu,Nakuru,0.1,-0.091702,34.767957,-0.28149,36.078419,0
100,Kisumu,Tororo,0.1,-0.091702,34.767957,0.69313,34.181,4
101,Kitale,Busia,0.1,1.01837,35.00283,0.470669,34.09198,0
102,Kitale,Eldoret,0.1,1.01837,35.00283,0.514277,35.26978,0
103,Kitale,Kapchorwa,0.1,1.01837,35.00283,1.399349131,34.44225016,0
104,Kitale,Kisumu,0.1,1.01837,35.00283,-0.091702,34.767957,0
105,Kitale,Mbale,0.1,1.01837,35.00283,1.078444,34.181006,0
106,Kitale,Tororo,0.1,1.01837,35.00283,0.69313,34.181,0
107,Kobero,Gitega,0.1,-2.664787968,30.40996919,-3.428803,29.924903,0
108,Kobero,Kigali,0.1,-2.664787968,30.40996919,-1.970579,30.104429,0
109,Kobero,Kigoma,0.1,-2.664787968,30.40996919,-4.88615,29.638321,0
110,Kobero,Mwanza,0.1,-2.664787968,30.40996919,-2.51788,32.8991,0
111,Kobero,Ngozi,0.1,-2.664787968,30.40996919,-2.91084,29.82443,0
112,Kobero,Ruhuha,0.1,-2.664787968,30.40996919,-2.30838,30.0535,0
113,Lira,Gulu,0.1,2.258083,32.887407,2.772404,32.288073,0
114,Lira,Masindi,0.1,2.258083,32.887407,1.687313,31.713846,0
115,Lira,Soroti,0.1,2.258083,32.887407,1.71553,33.610088,0
116,Machakos,Arusha,0.1,-1.517684,37.263415,-3.386925,36.682993,0
117,Machakos,Makueni,0.1,-1.517684,37.263415,-1.786495,37.631107,0
118,Machakos,Meru,0.1,-1.517684,37.263415,0.051472,37.645604,0
119,Machakos,Mombasa,0.1,-1.517684,37.263415,-4.043477,39.668207,0
120,Machakos,Moshi,0.1,-1.517684,37.263415,-3.34882,37.343151,0
121,Machakos,Nairobi,0.1,-1.517684,37.263415,-1.292066,36.821945,0
122,Makueni,Arusha,0.1,-1.786495,37.631107,-3.386925,36.682993,0
123,Makueni,Machakos,0.1,-1.786495,37.631107,-1.517684,37.263415,0
124,Makueni,Meru,0.1,-1.786495,37.631107,0.051472,37.645604,0
125,Makueni,Mombasa,0.1,-1.786495,37.631107,-4.043477,39.668207,0
126,Makueni,Moshi,0.1,-1.786495,37.631107,-3.34882,37.343151,0
127,Makueni,Nairobi,0.1,-1.786495,37.631107,-1.292066,36.821945,0
128,Masindi,Gulu,0.1,1.687313,31.713846,2.772404,32.288073,0
129,Masindi,Kampala,0.1,1.687313,31.713846,0.347596,32.58252,0
130,Masindi,Kasese,0.1,1.687313,31.713846,0.169899,30.078078,0
131,Masindi,Lira,0.1,1.687313,31.713846,2.258083,32.887407,0
132,Masindi,Owino,0.1,1.687313,31.713846,0.31569,32.57811,
133,Mbale,Kampala,0.1,1.078444,34.181006,0.347596,32.58252,
134,Mbale,Kapchorwa,0.1,1.078444,34.181006,1.399349131,34.44225016,
135,Mbale,Kitale,0.1,1.078444,34.181006,1.01837,35.00283,
136,Mbale,Owino,0.1,1.078444,34.181006,0.31569,32.57811,
137,Mbale,Soroti,0.1,1.078444,34.181006,1.71553,33.610088,
138,Mbale,Tororo,0.1,1.078444,34.181006,0.69313,34.181,
139,Mbeya,Dodoma,0.1,-8.909401,33.460774,-6.162959,35.751607,
140,Mbeya,Iringa,0.1,-8.909401,33.460774,-7.768059,35.686072,
141,Mbeya,Kigoma,0.1,-8.909401,33.460774,-4.88615,29.638321,
142,Mbeya,Mwanza,0.1,-8.909401,33.460774,-2.51788,32.8991,
143,Mbeya,Songea,0.1,-8.909401,33.460774,-10.66551,35.645039,
144,Mbeya,Tunduma,0.1,-8.909401,33.460774,-9.30806,32.77507,
145,Meru,Eldoret,0.1,0.051472,37.645604,0.514277,35.26978,
146,Meru,Machakos,0.1,0.051472,37.645604,-1.517684,37.263415,
147,Meru,Makueni,0.1,0.051472,37.645604,-1.786495,37.631107,
148,Meru,Nairobi,0.1,0.051472,37.645604,-1.292066,36.821945,
149,Meru,Nakuru,0.1,0.051472,37.645604,-0.28149,36.078419,
150,Mombasa,Machakos,0.1,-4.043477,39.668207,-1.517684,37.263415,
151,Mombasa,Makueni,0.1,-4.043477,39.668207,-1.786495,37.631107,
152,Mombasa,Moshi,0.1,-4.043477,39.668207,-3.34882,37.343151,
153,Mombasa,Nairobi,0.1,-4.043477,39.668207,-1.292066,36.821945,
154,Mombasa,Tanga,0.1,-4.043477,39.668207,-5.07013,39.104931,
155,Morogoro,Arusha,0.1,-6.82824,37.667789,-3.386925,36.682993,
156,Morogoro,Dar es salaam,0.1,-6.82824,37.667789,-6.792354,39.208328,
157,Morogoro,Dodoma,0.1,-6.82824,37.667789,-6.162959,35.751607,
158,Morogoro,Iringa,0.1,-6.82824,37.667789,-7.768059,35.686072,
159,Morogoro,Moshi,0.1,-6.82824,37.667789,-3.34882,37.343151,
160,Morogoro,Tanga,0.1,-6.82824,37.667789,-5.07013,39.104931,
161,Moshi,Arusha,0.1,-3.34882,37.343151,-3.386925,36.682993,
162,Moshi,Dar es salaam,0.1,-3.34882,37.343151,-6.792354,39.208328,
163,Moshi,Machakos,0.1,-3.34882,37.343151,-1.517684,37.263415,
164,Moshi,Makueni,0.1,-3.34882,37.343151,-1.786495,37.631107,
165,Moshi,Mombasa,0.1,-3.34882,37.343151,-4.043477,39.668207,
166,Moshi,Morogoro,0.1,-3.34882,37.343151,-6.82824,37.667789,
167,Moshi,Nairobi,0.1,-3.34882,37.343151,-1.292066,36.821945,
168,Moshi,Tanga,0.1,-3.34882,37.343151,-5.07013,39.104931,
169,Mulindi,Gicumbi,0.1,-1.477311,30.041967,-1.76971,29.94208,
170,Mulindi,Kabale,0.1,-1.477311,30.041967,-1.241956,29.985616,
171,Mulindi,Ruhengeri,0.1,-1.477311,30.041967,-1.50442,29.63516,
172,Musoma,Arusha,0.1,-1.4997,33.806351,-3.386925,36.682993,
173,Musoma,Kampala,0.1,-1.4997,33.806351,0.347596,32.58252,
174,Musoma,Kisumu,0.1,-1.4997,33.806351,-0.091702,34.767957,
175,Musoma,Mwanza,0.1,-1.4997,33.806351,-2.51788,32.8991,
176,Musoma,Nairobi,0.1,-1.4997,33.806351,-1.292066,36.821945,
177,Musoma,Nakuru,0.1,-1.4997,33.806351,-0.28149,36.078419,
178,Musoma,Owino,0.1,-1.4997,33.806351,0.31569,32.57811,
179,Mwanza,Arusha,0.1,-2.51788,32.8991,-3.386925,36.682993,
180,Mwanza,Dodoma,0.1,-2.51788,32.8991,-6.162959,35.751607,
181,Mwanza,Gitega,0.1,-2.51788,32.8991,-3.428803,29.924903,
182,Mwanza,Kigoma,0.1,-2.51788,32.8991,-4.88615,29.638321,
183,Mwanza,Kobero,0.1,-2.51788,32.8991,-2.664787968,30.40996919,
184,Mwanza,Mbeya,0.1,-2.51788,32.8991,-8.909401,33.460774,
185,Mwanza,Musoma,0.1,-2.51788,32.8991,-1.4997,33.806351,
186,Nairobi,Arusha,0.1,-1.292066,36.821945,-3.386925,36.682993,
187,Nairobi,Machakos,0.1,-1.292066,36.821945,-1.517684,37.263415,
188,Nairobi,Makueni,0.1,-1.292066,36.821945,-1.786495,37.631107,
189,Nairobi,Meru,0.1,-1.292066,36.821945,0.051472,37.645604,
190,Nairobi,Mombasa,0.1,-1.292066,36.821945,-4.043477,39.668207,
191,Nairobi,Moshi,0.1,-1.292066,36.821945,-3.34882,37.343151,
192,Nairobi,Musoma,0.1,-1.292066,36.821945,-1.4997,33.806351,
193,Nairobi,Nakuru,0.1,-1.292066,36.821945,-0.28149,36.078419,
194,Nakuru,Eldoret,0.1,-0.28149,36.078419,0.514277,35.26978,
195,Nakuru,Kisumu,0.1,-0.28149,36.078419,-0.091702,34.767957,
196,Nakuru,Meru,0.1,-0.28149,36.078419,0.051472,37.645604,
197,Nakuru,Musoma,0.1,-0.28149,36.078419,-1.4997,33.806351,
198,Nakuru,Nairobi,0.1,-0.28149,36.078419,-1.292066,36.821945,
199,Ngozi,Bujumbura,0.1,-2.91084,29.82443,-3.361378,29.359878,
200,Ngozi,Gitega,0.1,-2.91084,29.82443,-3.428803,29.924903,
201,Ngozi,Kamembe,0.1,-2.91084,29.82443,-2.462016,28.907371,
202,Ngozi,Kigali,0.1,-2.91084,29.82443,-1.970579,30.104429,
203,Ngozi,Kobero,0.1,-2.91084,29.82443,-2.664787968,30.40996919,
204,Ngozi,Rubavu,0.1,-2.91084,29.82443,-1.69026,29.295179,
205,Ngozi,Ruhuha,0.1,-2.91084,29.82443,-2.30838,30.0535,
206,Owino,Busia,0.1,0.31569,32.57811,0.470669,34.09198,
207,Owino,Kampala,0.1,0.31569,32.57811,0.347596,32.58252,
208,Owino,Kasese,0.1,0.31569,32.57811,0.169899,30.078078,
209,Owino,Masindi,0.1,0.31569,32.57811,1.687313,31.713846,
210,Owino,Mbale,0.1,0.31569,32.57811,1.078444,34.181006,
211,Owino,Musoma,0.1,0.31569,32.57811,-1.4997,33.806351,
212,Owino,Soroti,0.1,0.31569,32.57811,1.71553,33.610088,
213,Owino,Tororo,0.1,0.31569,32.57811,0.69313,34.181,
214,Rubavu,Kamembe,0.1,-1.69026,29.295179,-2.462016,28.907371,
215,Rubavu,Ngozi,0.1,-1.69026,29.295179,-2.91084,29.82443,
216,Rubavu,Ruhengeri,0.1,-1.69026,29.295179,-1.50442,29.63516,
217,Ruhengeri,Gicumbi,0.1,-1.50442,29.63516,-1.76971,29.94208,
218,Ruhengeri,Kabale,0.1,-1.50442,29.63516,-1.241956,29.985616,
219,Ruhengeri,Kasese,0.1,-1.50442,29.63516,0.169899,30.078078,
220,Ruhengeri,Kigali,0.1,-1.50442,29.63516,-1.970579,30.104429,
221,Ruhengeri,Mulindi,0.1,-1.50442,29.63516,-1.477311,30.041967,
222,Ruhengeri,Rubavu,0.1,-1.50442,29.63516,-1.69026,29.295179,
223,Ruhuha,Kamembe,0.1,-2.30838,30.0535,-2.462016,28.907371,
224,Ruhuha,Kigali,0.1,-2.30838,30.0535,-1.970579,30.104429,
225,Ruhuha,Kimironko,0.1,-2.30838,30.0535,-1.936238,30.13006,
226,Ruhuha,Kobero,0.1,-2.30838,30.0535,-2.664787968,30.40996919,
227,Ruhuha,Ngozi,0.1,-2.30838,30.0535,-2.91084,29.82443,
228,Songea,Dar es salaam,0.1,-10.66551,35.645039,-6.792354,39.208328,
229,Songea,Iringa,0.1,-10.66551,35.645039,-7.768059,35.686072,
230,Songea,Mbeya,0.1,-10.66551,35.645039,-8.909401,33.460774,
231,Soroti,Kampala,0.1,1.71553,33.610088,0.347596,32.58252,
232,Soroti,Lira,0.1,1.71553,33.610088,2.258083,32.887407,
233,Soroti,Mbale,0.1,1.71553,33.610088,1.078444,34.181006,
234,Soroti,Owino,0.1,1.71553,33.610088,0.31569,32.57811,
235,Tanga,Dar es salaam,0.1,-5.07013,39.104931,-6.792354,39.208328,
236,Tanga,Mombasa,0.1,-5.07013,39.104931,-4.043477,39.668207,
237,Tanga,Morogoro,0.1,-5.07013,39.104931,-6.82824,37.667789,
238,Tanga,Moshi,0.1,-5.07013,39.104931,-3.34882,37.343151,
239,Tororo,Busia,0.1,0.69313,34.181,0.470669,34.09198,
240,Tororo,Eldoret,0.1,0.69313,34.181,0.514277,35.26978,
241,Tororo,Kampala,0.1,0.69313,34.181,0.347596,32.58252,
242,Tororo,Kisumu,0.1,0.69313,34.181,-0.091702,34.767957,
243,Tororo,Kitale,0.1,0.69313,34.181,1.01837,35.00283,
244,Tororo,Mbale,0.1,0.69313,34.181,1.078444,34.181006,
245,Tororo,Owino,0.1,0.69313,34.181,0.31569,32.57811,
246,Tunduma,Kigoma,0.1,-9.30806,32.77507,-4.88615,29.638321,
247,Tunduma,Mbeya,0.1,-9.30806,32.77507,-8.909401,33.460774,
