,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Gitega,Bujumbura,0.2124974604974137,-3.428803,29.924903,-3.361378,29.359878
1,Kampala,Busia,0.6039989567786956,0.347596,32.58252,0.470669,34.09198
2,Kasese,Kabale,0.1927877337511159,0.169899,30.078078,-1.241956,29.985616
3,Kasese,Kampala,0.3088252329920837,0.169899,30.078078,0.347596,32.58252
4,Lira,Gulu,0.1525929322629343,2.258083,32.887407,2.772404,32.288073
5,Masindi,Kasese,0.1309210114145828,1.687313,31.713846,0.169899,30.078078
6,Masindi,Kampala,0.1629444250714392,1.687313,31.713846,0.347596,32.58252
7,Mulindi,Kigali,0.2008942857872771,-1.477311,30.041967,-1.970579,30.104429
8,Nairobi,Kisumu,0.1787415251216695,-1.292066,36.821945,-0.091702,34.767957
9,Nakuru,Kisumu,0.158597874856114,-0.28149,36.078419,-0.091702,34.767957
10,Nakuru,Nairobi,0.1893836924443468,-0.28149,36.078419,-1.292066,36.821945
11,Ngozi,Gitega,0.1920103646662599,-2.91084,29.82443,-3.428803,29.924903
12,Ngozi,Bujumbura,0.2388082329621888,-2.91084,29.82443,-3.361378,29.359878
13,Ruhengeri,Kigali,0.2883684209026394,-1.50442,29.63516,-1.970579,30.104429
14,Ruhengeri,Rubavu,0.6175296752388141,-1.50442,29.63516,-1.69026,29.295179
15,Ruhengeri,Mulindi,0.2795906377204364,-1.50442,29.63516,-1.477311,30.041967
16,Soroti,Kasese,0.3349233329286757,1.71553,33.610088,0.169899,30.078078
17,Soroti,Kampala,0.597297233210425,1.71553,33.610088,0.347596,32.58252
18,Soroti,Lira,0.5893366360826464,1.71553,33.610088,2.258083,32.887407
19,Tororo,Soroti,0.4911474360686187,0.69313,34.181,1.71553,33.610088
20,Tororo,Kampala,0.4430013909927298,0.69313,34.181,0.347596,32.58252
21,Tororo,Busia,0.4159959724157553,0.69313,34.181,0.470669,34.09198
22,Tororo,Masindi,0.1340526873171802,0.69313,34.181,1.687313,31.713846
