,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Kampala,Busia,0.5970215079597254,0.347596,32.58252,0.470669,34.09198
1,Kasese,Kabale,0.643335656603913,0.169899,30.078078,-1.241956,29.985616
2,Kasese,Kampala,0.5844372312459511,0.169899,30.078078,0.347596,32.58252
3,Kisumu,Eldoret,0.1615169755435048,-0.091702,34.767957,0.514277,35.26978
4,Lira,Gulu,0.1538097640925319,2.258083,32.887407,2.772404,32.288073
5,Masindi,Kasese,0.6630771246882646,1.687313,31.713846,0.169899,30.078078
6,Masindi,Kampala,0.1928410682747511,1.687313,31.713846,0.347596,32.58252
7,Masindi,Lira,0.1953032653213811,1.687313,31.713846,2.258083,32.887407
8,Nairobi,Kisumu,0.1815481900296655,-1.292066,36.821945,-0.091702,34.767957
9,Nakuru,Eldoret,0.2700127139737869,-0.28149,36.078419,0.514277,35.26978
10,Nakuru,Kisumu,0.1525031269749431,-0.28149,36.078419,-0.091702,34.767957
11,Ruhengeri,Kasese,0.7217661620399222,-1.50442,29.63516,0.169899,30.078078
12,Ruhengeri,Mulindi,0.1697765379011177,-1.50442,29.63516,-1.477311,30.041967
13,Soroti,Kampala,0.7038337247480283,1.71553,33.610088,0.347596,32.58252
14,Soroti,Busia,1.127294736749637,1.71553,33.610088,0.470669,34.09198
15,Soroti,Lira,0.6305192901681618,1.71553,33.610088,2.258083,32.887407
16,Tororo,Soroti,0.2285590138268129,0.69313,34.181,1.71553,33.610088
17,Tororo,Kampala,0.3720472370601577,0.69313,34.181,0.347596,32.58252
18,Tororo,Busia,0.3436898717760154,0.69313,34.181,0.470669,34.09198
