,name,country,lat,long
0,Lira,Uganda,2.258083,32.887407
1,Masindi,Uganda,1.687313,31.713846
2,Kampala,Uganda,0.347596,32.58252
3,Ngozi,Burundi,-2.91084,29.82443
4,Rubavu,Rwanda,-1.69026,29.295179
5,Tororo,Uganda,0.69313,34.181
6,Ruhengeri,Rwanda,-1.50442,29.63516
7,Kamembe,Rwanda,-2.462016,28.907371
8,Gulu,Uganda,2.772404,32.288073
9,Mbale,Uganda,1.078444,34.181006
10,Bujumbura,Burundi,-3.361378,29.359878
11,Busia,Uganda,0.470669,34.09198
12,Kigali,Rwanda,-1.970579,30.104429
13,Soroti,Uganda,1.71553,33.610088
14,Gitega,Burundi,-3.428803,29.924903
