,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Kisumu,Eldoret,0.2764715107779297,-0.091702,34.767957,0.514277,35.26978
1,Lira,Gulu,0.4085115040731472,2.258083,32.887407,2.772404,32.288073
2,Makueni,Machakos,0.4419446077339734,-1.786495,37.631107,-1.517684,37.263415
3,Meru,Makueni,0.2617463431273785,0.051472,37.645604,-1.786495,37.631107
4,Meru,Machakos,0.3217519543200375,0.051472,37.645604,-1.517684,37.263415
5,Mombasa,Machakos,0.5729317368419161,-4.043477,39.668207,-1.517684,37.263415
6,Mombasa,Makueni,0.3864041914858444,-4.043477,39.668207,-1.786495,37.631107
7,Nairobi,Makueni,0.3577818675768868,-1.292066,36.821945,-1.786495,37.631107
8,Nairobi,Mombasa,0.2313948817738433,-1.292066,36.821945,-4.043477,39.668207
9,Nairobi,Meru,0.308149565853655,-1.292066,36.821945,0.051472,37.645604
10,Nairobi,Kisumu,0.1609224868021304,-1.292066,36.821945,-0.091702,34.767957
11,Nakuru,Meru,0.417191554711556,-0.28149,36.078419,0.051472,37.645604
12,Nakuru,Eldoret,0.3421790844734028,-0.28149,36.078419,0.514277,35.26978
13,Nakuru,Nairobi,0.4852390504844951,-0.28149,36.078419,-1.292066,36.821945
14,Soroti,Lira,0.6282896816563464,1.71553,33.610088,2.258083,32.887407
