,Origin,Destination,lineSize,start_lat,start_long,end_lat,end_long
0,Dodoma,Arusha,0.3976466557544887,-6.162959,35.751607,-3.386925,36.682993
1,Eldoret,Busia,0.2507434043994022,0.514277,35.26978,0.470669,34.09198
2,Gitega,Bujumbura,0.2562691884268908,-3.428803,29.924903,-3.361378,29.359878
3,Kamembe,Bujumbura,0.4159923403968941,-2.462016,28.907371,-3.361378,29.359878
4,Kampala,Busia,1.0399838611168826,0.347596,32.58252,0.470669,34.09198
5,Kasese,Kabale,0.2006125877771594,0.169899,30.078078,-1.241956,29.985616
6,Kasese,Kampala,0.2365028974749174,0.169899,30.078078,0.347596,32.58252
7,Kigali,Kamembe,0.2405732162882799,-1.970579,30.104429,-2.462016,28.907371
8,Kigali,Gitega,0.1664953478399962,-1.970579,30.104429,-3.428803,29.924903
9,Kisumu,Busia,0.276692688330431,-0.091702,34.767957,0.470669,34.09198
10,Kisumu,Arusha,0.5045905418917401,-0.091702,34.767957,-3.386925,36.682993
11,Lira,Gulu,0.4231568631544606,2.258083,32.887407,2.772404,32.288073
12,Machakos,Arusha,0.4133413581449838,-1.517684,37.263415,-3.386925,36.682993
13,Makueni,Arusha,0.2521026860995753,-1.786495,37.631107,-3.386925,36.682993
14,Makueni,Machakos,1.1508586145830957,-1.786495,37.631107,-1.517684,37.263415
15,Masindi,Kasese,0.2484028414756116,1.687313,31.713846,0.169899,30.078078
16,Masindi,Kampala,0.6518042177633301,1.687313,31.713846,0.347596,32.58252
17,Masindi,Busia,0.7131878806002635,1.687313,31.713846,0.470669,34.09198
18,Masindi,Lira,0.4521631360305574,1.687313,31.713846,2.258083,32.887407
19,Masindi,Gulu,0.3632927218602696,1.687313,31.713846,2.772404,32.288073
20,Mbale,Kampala,1.0346484429205354,1.078444,34.181006,0.347596,32.58252
21,Mbale,Eldoret,0.210984084170227,1.078444,34.181006,0.514277,35.26978
22,Meru,Makueni,0.7031494067945042,0.051472,37.645604,-1.786495,37.631107
23,Meru,Machakos,0.7082153833675988,0.051472,37.645604,-1.517684,37.263415
24,Mombasa,Machakos,0.306681039908029,-4.043477,39.668207,-1.517684,37.263415
25,Mombasa,Makueni,0.3413284527580367,-4.043477,39.668207,-1.786495,37.631107
26,Mombasa,Arusha,0.3570240985048645,-4.043477,39.668207,-3.386925,36.682993
27,Mulindi,Kigali,0.2808180349945702,-1.477311,30.041967,-1.970579,30.104429
28,Mulindi,Kabale,0.2130442103722321,-1.477311,30.041967,-1.241956,29.985616
29,Nairobi,Makueni,0.19342534364429,-1.292066,36.821945,-1.786495,37.631107
30,Nairobi,Mombasa,0.3065174936624953,-1.292066,36.821945,-4.043477,39.668207
31,Nairobi,Machakos,0.1332652513164432,-1.292066,36.821945,-1.517684,37.263415
32,Nairobi,Meru,0.280914326993225,-1.292066,36.821945,0.051472,37.645604
33,Nairobi,Kisumu,0.3611628869010782,-1.292066,36.821945,-0.091702,34.767957
34,Nakuru,Meru,0.0858665856978452,-0.28149,36.078419,0.051472,37.645604
35,Nakuru,Eldoret,0.5678280477429286,-0.28149,36.078419,0.514277,35.26978
36,Nakuru,Kisumu,0.3466686926826998,-0.28149,36.078419,-0.091702,34.767957
37,Nakuru,Nairobi,0.2877477746894231,-0.28149,36.078419,-1.292066,36.821945
38,Ngozi,Kamembe,0.4142842612095834,-2.91084,29.82443,-2.462016,28.907371
39,Ngozi,Gitega,0.5622872330287926,-2.91084,29.82443,-3.428803,29.924903
40,Ngozi,Kigali,0.1307872045226488,-2.91084,29.82443,-1.970579,30.104429
41,Ngozi,Bujumbura,0.9540326559286364,-2.91084,29.82443,-3.361378,29.359878
42,Rubavu,Kamembe,0.210731353069365,-1.69026,29.295179,-2.462016,28.907371
43,Rubavu,Ngozi,0.2365237543300049,-1.69026,29.295179,-2.91084,29.82443
44,Ruhengeri,Kasese,0.4301773511299908,-1.50442,29.63516,0.169899,30.078078
45,Ruhengeri,Kabale,0.2426188110501554,-1.50442,29.63516,-1.241956,29.985616
46,Ruhengeri,Kigali,0.2968675493681122,-1.50442,29.63516,-1.970579,30.104429
47,Ruhengeri,Rubavu,0.5938296394208572,-1.50442,29.63516,-1.69026,29.295179
48,Ruhengeri,Mulindi,0.4363452149666258,-1.50442,29.63516,-1.477311,30.041967
49,Soroti,Mbale,0.8912099066882583,1.71553,33.610088,1.078444,34.181006
50,Soroti,Kampala,0.8874154733977536,1.71553,33.610088,0.347596,32.58252
51,Tororo,Mbale,1.0208654670591737,0.69313,34.181,1.078444,34.181006
52,Tororo,Kampala,0.9030933435043552,0.69313,34.181,0.347596,32.58252
53,Tororo,Busia,1.1098113623545691,0.69313,34.181,0.470669,34.09198
54,Tororo,Masindi,0.4897453751558668,0.69313,34.181,1.687313,31.713846
55,Tororo,Eldoret,0.2171371818375372,0.69313,34.181,0.514277,35.26978
